rank,Category,Indicator,Policy,Country,ISO,value,unit,year
1,Demographics,Individuals using the Internet,C4_Restrictions on gatherings,Dominica,DMA,69.6197,percent of population,2019.0
2,Governance,Corruption Perceptions Index,C4_Restrictions on gatherings,Dominica,DMA,55.0,score,2020.0
3,Demographics,Secure Internet servers ,C4_Restrictions on gatherings,Dominica,DMA,9817.847593582886,per 1 million people,2019.0
4,Demographics,Fixed broadband subscriptions,C4_Restrictions on gatherings,Dominica,DMA,16.0754,per 100 people,2019.0
10,Environment,CO2 emissions (kt),C4_Restrictions on gatherings,Dominica,DMA,179.683,kt,2016.0
11,Governance,Voice and accountability estimate,C4_Restrictions on gatherings,Dominica,DMA,0.8967021,score,2019.0
13,Health,Summary exposure value tobacco,C4_Restrictions on gatherings,Dominica,DMA,12.01604,Rate (risk-weighted prevalence),2019.0
14,Economics,Volume of imports,C4_Restrictions on gatherings,Dominica,DMA,-7.425,percent change,2020.0
15,Health,Domestic General Government Health Expenditure (GGHE-D) as % General Government Expenditure (GGE),C4_Restrictions on gatherings,Dominica,DMA,4.3,percent,2018.0
16,Governance,Serious assault (rate),C4_Restrictions on gatherings,Dominica,DMA,103.31,rate,2018.0
17,Health,"Incidence of tuberculosis (per 100,000 people)",C4_Restrictions on gatherings,Dominica,DMA,16.0,Cases,2019.0
18,Health,"Immunization, DPT (% of children ages 12-23 months)",C4_Restrictions on gatherings,Dominica,DMA,99.0,percent,2019.0
19,Governance,Human Development Index,C4_Restrictions on gatherings,Dominica,DMA,0.742,index,2019.0
21,Health,Prevalence of anxiety disorders,C4_Restrictions on gatherings,Dominica,DMA,0.047509,percent,2019.0
23,Governance,Total freedom in the world score ,C4_Restrictions on gatherings,Dominica,DMA,93.0,score,2021.0
25,Social issues ,Proportion of seats held by women in national parliaments (%),C4_Restrictions on gatherings,Dominica,DMA,34.375,proportion,2020.0
26,Health,"Immunization, measles (% of children ages 12-23 months)",C4_Restrictions on gatherings,Dominica,DMA,92.0,percent,2019.0
27,Health,Prevalence of Respiratory infections and tuberculosis,C4_Restrictions on gatherings,Dominica,DMA,0.295447,percent,2019.0
28,Health,"Nurses and midwives (per 1,000 people)",C4_Restrictions on gatherings,Dominica,DMA,6.4385,Ones,2018.0
29,Demographics,Mobile cellular subscriptions,C4_Restrictions on gatherings,Dominica,DMA,105.788,per 100 people,2019.0
30,Governance,Political stability and absence of violence/terrorism estimate,C4_Restrictions on gatherings,Dominica,DMA,1.073779,score,2019.0
31,Health,Prevalence of COVID-19,C4_Restrictions on gatherings,Dominica,DMA,88.0,"Number (cumulative total by Dec 26,2020)",2020.0
33,Governance,Aggregate score for the Civil Liberties category,C4_Restrictions on gatherings,Dominica,DMA,56.0,score,2021.0
34,Social issues ,"Intentional homicides (per 100,000 people)",C4_Restrictions on gatherings,Dominica,DMA,26.588301147,"proportion, pero 100,000 people",2017.0
38,Governance,Rule of law estimate ,C4_Restrictions on gatherings,Dominica,DMA,0.6863382,score,2019.0
42,Health,"Physicians (per 1,000 people)",C4_Restrictions on gatherings,Dominica,DMA,1.1189,Ones,2017.0
46,Health,Mortality due to COVID-19,C4_Restrictions on gatherings,Dominica,DMA,0.0,"Number (cumulative total by Dec 26,2020)",2020.0
48,Environment,Access to electricity ,C4_Restrictions on gatherings,Dominica,DMA,100.0,percent of population,2018.0
49,Environment,CO2 emissions (metric tons per capita),C4_Restrictions on gatherings,Dominica,DMA,2.519851,metric tons per capita,2016.0
52,Demographics,People using at least basic sanitation services (% of population),C4_Restrictions on gatherings,Dominica,DMA,77.8927614955628,proportion,2015.0
53,Governance,Regulatory quality estimate,C4_Restrictions on gatherings,Dominica,DMA,0.1019005,score,2019.0
54,Health,Prevalence of down syndrome,C4_Restrictions on gatherings,Dominica,DMA,0.000324,percent,2019.0
56,Health,Prevalence of Depressive disorders,C4_Restrictions on gatherings,Dominica,DMA,0.035738,percent,2019.0
57,Demographics,Fixed telephone subscriptions,C4_Restrictions on gatherings,Dominica,DMA,2660.0,number,2019.0
58,Environment,Renewable energy consumption ,C4_Restrictions on gatherings,Dominica,DMA,7.82979664019173,percent of total final energy consumption,2015.0
59,Economics,Volume of exports,C4_Restrictions on gatherings,Dominica,DMA,15.527,percent change,2020.0
60,Governance,Control of corruption estimate,C4_Restrictions on gatherings,Dominica,DMA,0.5262952,score,2019.0
64,Health,Prevalence of obesity,C4_Restrictions on gatherings,Dominica,DMA,27.9,percent,2016.0
67,Social issues ,"Primary completion rate, total (% of relevant age group)",C4_Restrictions on gatherings,Dominica,DMA,113.926696777344,proportion,2016.0
69,Governance,Aggregate score for the Political Rights category,C4_Restrictions on gatherings,Dominica,DMA,37.0,score,2021.0
70,Health,Prevalence of Hypertensive heart disease,C4_Restrictions on gatherings,Dominica,DMA,0.003627,percent,2019.0
71,Health,Prevalence of total cancers,C4_Restrictions on gatherings,Dominica,DMA,0.016689,percent,2019.0
