rank,Category,Indicator,Policy,Country,ISO,value,unit,year
1,Demographics,Individuals using the Internet,C4_Restrictions on gatherings,Canada,CAN,91.0,percent of population,2019.0
2,Governance,Corruption Perceptions Index,C4_Restrictions on gatherings,Canada,CAN,77.0,score,2020.0
3,Demographics,Secure Internet servers ,C4_Restrictions on gatherings,Canada,CAN,35900.83785097989,per 1 million people,2019.0
4,Demographics,Fixed broadband subscriptions,C4_Restrictions on gatherings,Canada,CAN,39.7796,per 100 people,2019.0
6,Social issues ,Press freedom score,C4_Restrictions on gatherings,Canada,CAN,15.29,score,2020.0
7,Environment,"Adjusted net savings, including particulate emission damage",C4_Restrictions on gatherings,Canada,CAN,6.03696575246356,percent of GNI,2018.0
8,Governance,Economic Freedom Score,C4_Restrictions on gatherings,Canada,CAN,8.17,score,2018.0
9,Governance,Fragile States Index Total ,C4_Restrictions on gatherings,Canada,CAN,18.668898507980952,score,2020.0
10,Environment,CO2 emissions (kt),C4_Restrictions on gatherings,Canada,CAN,544894.2,kt,2016.0
11,Governance,Voice and accountability estimate,C4_Restrictions on gatherings,Canada,CAN,1.462505,score,2019.0
12,Economics,Employment in services (% of total employment) (modeled ILO estimate),C4_Restrictions on gatherings,Canada,CAN,79.1829987,Percentage of total employment,2020.0
13,Health,Summary exposure value tobacco,C4_Restrictions on gatherings,Canada,CAN,21.86551,Rate (risk-weighted prevalence),2019.0
14,Economics,Volume of imports,C4_Restrictions on gatherings,Canada,CAN,2.236,percent change,2020.0
15,Health,Domestic General Government Health Expenditure (GGHE-D) as % General Government Expenditure (GGE),C4_Restrictions on gatherings,Canada,CAN,7.9,percent,2018.0
16,Governance,Serious assault (rate),C4_Restrictions on gatherings,Canada,CAN,150.81,rate,2017.0
17,Health,"Incidence of tuberculosis (per 100,000 people)",C4_Restrictions on gatherings,Canada,CAN,5.5,Cases,2019.0
18,Health,"Immunization, DPT (% of children ages 12-23 months)",C4_Restrictions on gatherings,Canada,CAN,91.0,percent,2019.0
19,Governance,Human Development Index,C4_Restrictions on gatherings,Canada,CAN,0.929,index,2019.0
20,Economics,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",C4_Restrictions on gatherings,Canada,CAN,64.8669968,Percentage of total population,2020.0
21,Health,Prevalence of anxiety disorders,C4_Restrictions on gatherings,Canada,CAN,0.049854,percent,2019.0
22,Environment,"Electricity production from renewable sources, excluding hydroelectric",C4_Restrictions on gatherings,Canada,CAN,42037000000.0,kWh,2015.0
23,Governance,Total freedom in the world score ,C4_Restrictions on gatherings,Canada,CAN,98.0,score,2021.0
24,Social issues ,Net migration,C4_Restrictions on gatherings,Canada,CAN,1210159.0,net total / data are 5 year estimates,2019.0
25,Social issues ,Proportion of seats held by women in national parliaments (%),C4_Restrictions on gatherings,Canada,CAN,28.99408284,proportion,2020.0
26,Health,"Immunization, measles (% of children ages 12-23 months)",C4_Restrictions on gatherings,Canada,CAN,90.0,percent,2019.0
27,Health,Prevalence of Respiratory infections and tuberculosis,C4_Restrictions on gatherings,Canada,CAN,0.155781,percent,2019.0
28,Health,"Nurses and midwives (per 1,000 people)",C4_Restrictions on gatherings,Canada,CAN,9.9438,Ones,2018.0
29,Demographics,Mobile cellular subscriptions,C4_Restrictions on gatherings,Canada,CAN,92.5261,per 100 people,2019.0
30,Governance,Political stability and absence of violence/terrorism estimate,C4_Restrictions on gatherings,Canada,CAN,1.029905,score,2019.0
31,Health,Prevalence of COVID-19,C4_Restrictions on gatherings,Canada,CAN,488638.0,"Number (cumulative total by Dec 26,2020)",2020.0
33,Governance,Aggregate score for the Civil Liberties category,C4_Restrictions on gatherings,Canada,CAN,58.0,score,2021.0
34,Social issues ,"Intentional homicides (per 100,000 people)",C4_Restrictions on gatherings,Canada,CAN,1.755921136,"proportion, pero 100,000 people",2018.0
35,Environment,"Electricity production from oil, gas and coal sources",C4_Restrictions on gatherings,Canada,CAN,21.06717953305305,percent of total,2015.0
36,Environment,Energy use (kg of oil equivalent per capita),C4_Restrictions on gatherings,Canada,CAN,7631.341570272091,kg of oil equivalent per capita,2015.0
37,Governance,Human Freedom Score ,C4_Restrictions on gatherings,Canada,CAN,8.64,score,2018.0
38,Governance,Rule of law estimate ,C4_Restrictions on gatherings,Canada,CAN,1.75994,score,2019.0
39,Environment,Electricity production from oil sources,C4_Restrictions on gatherings,Canada,CAN,1.21477770820288,percent of total,2015.0
40,Environment,"Energy imports, net ",C4_Restrictions on gatherings,Canada,CAN,-72.5281697658652,percent of energy use,2015.0
42,Health,"Physicians (per 1,000 people)",C4_Restrictions on gatherings,Canada,CAN,2.6102,Ones,2017.0
43,Environment,Electricity production from coal sources ,C4_Restrictions on gatherings,Canada,CAN,9.83644929480872,percent of total,2015.0
45,Social issues ,Proportion of women in managerial positions (%),C4_Restrictions on gatherings,Canada,CAN,35.52,percent,2014.0
46,Health,Mortality due to COVID-19,C4_Restrictions on gatherings,Canada,CAN,13916.0,"Number (cumulative total by Dec 26,2020)",2020.0
47,Environment,Fossil fuel energy consumption,C4_Restrictions on gatherings,Canada,CAN,74.08906,percent of total,2015.0
48,Environment,Access to electricity ,C4_Restrictions on gatherings,Canada,CAN,100.0,percent of population,2018.0
49,Environment,CO2 emissions (metric tons per capita),C4_Restrictions on gatherings,Canada,CAN,15.09006,metric tons per capita,2016.0
50,Economics,"Unemployment, total (% of total labor force) (modeled ILO estimate)",C4_Restrictions on gatherings,Canada,CAN,5.41200018,percent of total labor force,2020.0
51,Social issues ,Life Ladder ,C4_Restrictions on gatherings,Canada,CAN,7.103300094604492,score,2021.0
53,Governance,Regulatory quality estimate,C4_Restrictions on gatherings,Canada,CAN,1.716097,score,2019.0
54,Health,Prevalence of down syndrome,C4_Restrictions on gatherings,Canada,CAN,0.000413,percent,2019.0
55,Environment,Combustible renewables and waste,C4_Restrictions on gatherings,Canada,CAN,4.102835,percent of total energy,2015.0
56,Health,Prevalence of Depressive disorders,C4_Restrictions on gatherings,Canada,CAN,0.037364,percent,2019.0
57,Demographics,Fixed telephone subscriptions,C4_Restrictions on gatherings,Canada,CAN,13267000.0,number,2019.0
58,Environment,Renewable energy consumption ,C4_Restrictions on gatherings,Canada,CAN,22.0253592107108,percent of total final energy consumption,2015.0
59,Economics,Volume of exports,C4_Restrictions on gatherings,Canada,CAN,2.684,percent change,2020.0
60,Governance,Control of corruption estimate,C4_Restrictions on gatherings,Canada,CAN,1.766974,score,2019.0
64,Health,Prevalence of obesity,C4_Restrictions on gatherings,Canada,CAN,29.4,percent,2016.0
65,Health,"Prevalence of overweight (modeled estimate, % of children under 5)",C4_Restrictions on gatherings,Canada,CAN,11.8,percent,2020.0
68,Governance,Personal Freedom Score ,C4_Restrictions on gatherings,Canada,CAN,9.1,score,2018.0
69,Governance,Aggregate score for the Political Rights category,C4_Restrictions on gatherings,Canada,CAN,40.0,score,2021.0
70,Health,Prevalence of Hypertensive heart disease,C4_Restrictions on gatherings,Canada,CAN,0.001526,percent,2019.0
71,Health,Prevalence of total cancers,C4_Restrictions on gatherings,Canada,CAN,0.066252,percent,2019.0
72,Environment,Energy use ,C4_Restrictions on gatherings,Canada,CAN,159.7503700467943,"(kg of oil equivalent) per $1,000 GDP (constant 2017 PPP)",2015.0
73,Environment,Electric power consumption ,C4_Restrictions on gatherings,Canada,CAN,15588.48714643145,kWh per capita,2014.0
74,Health,Prevalence of chronic kidney disease,C4_Restrictions on gatherings,Canada,CAN,0.108708,percent,2019.0
76,Health,Prevalence of Diabetes,C4_Restrictions on gatherings,Canada,CAN,0.070483,percent,2019.0
