rank,Category,Indicator,Policy,Country,ISO,value,unit,year
5,Health,Prevalence of COVID-19,C4_Restrictions on gatherings,Turks and Caicos Islands,TCA,781.0,"Number (cumulative total by Dec 26,2020)",2020.0
7,Demographics,Secure Internet servers ,C4_Restrictions on gatherings,Turks and Caicos Islands,TCA,759.3412060433087,per 1 million people,2019.0
15,Health,Mortality due to COVID-19,C4_Restrictions on gatherings,Turks and Caicos Islands,TCA,6.0,"Number (cumulative total by Dec 26,2020)",2020.0
28,Social issues ,"Intentional homicides (per 100,000 people)",C4_Restrictions on gatherings,Turks and Caicos Islands,TCA,5.6543496084,"proportion, pero 100,000 people",2014.0
30,Health,"Incidence of tuberculosis (per 100,000 people)",C4_Restrictions on gatherings,Turks and Caicos Islands,TCA,12.0,Cases,2019.0
43,Environment,CO2 emissions (kt),C4_Restrictions on gatherings,Turks and Caicos Islands,TCA,216.353,kt,2016.0
46,Demographics,Fixed telephone subscriptions,C4_Restrictions on gatherings,Turks and Caicos Islands,TCA,4000.0,number,2019.0
50,Environment,CO2 emissions (metric tons per capita),C4_Restrictions on gatherings,Turks and Caicos Islands,TCA,5.917914,metric tons per capita,2016.0
54,Environment,Access to electricity ,C4_Restrictions on gatherings,Turks and Caicos Islands,TCA,100.0,percent of population,2018.0
69,Demographics,Urban population (% of total population),C4_Restrictions on gatherings,Turks and Caicos Islands,TCA,93.36,total,2019.0
70,Demographics,People using at least basic sanitation services (% of population),C4_Restrictions on gatherings,Turks and Caicos Islands,TCA,87.9886363636364,proportion,2017.0
73,Demographics,Refugee population by country or territory of asylum,C4_Restrictions on gatherings,Turks and Caicos Islands,TCA,5.0,proportion,2019.0
82,Social issues ,"Primary completion rate, total (% of relevant age group)",C4_Restrictions on gatherings,Turks and Caicos Islands,TCA,129.401412963867,proportion,2018.0
83,Environment,Renewable energy consumption ,C4_Restrictions on gatherings,Turks and Caicos Islands,TCA,0.572166001038355,percent of total final energy consumption,2015.0
89,Demographics,"Population, total",C4_Restrictions on gatherings,Turks and Caicos Islands,TCA,38191.0,total,2019.0
111,Demographics,Rural population (% of total population),C4_Restrictions on gatherings,Turks and Caicos Islands,TCA,6.640000000000001,proportion,2019.0
