rank,Category,Indicator,Policy,Country,ISO,value,unit,year
1,Demographics,Individuals using the Internet,C4_Restrictions on gatherings,Cyprus,CYP,86.0636,percent of population,2019.0
2,Governance,Corruption Perceptions Index,C4_Restrictions on gatherings,Cyprus,CYP,57.0,score,2020.0
3,Governance,Regulatory quality estimate,C4_Restrictions on gatherings,Cyprus,CYP,1.012343,score,2019.0
4,Demographics,Fixed broadband subscriptions,C4_Restrictions on gatherings,Cyprus,CYP,37.7881,per 100 people,2019.0
5,Health,Prevalence of COVID-19,C4_Restrictions on gatherings,Cyprus,CYP,17057.0,"Number (cumulative total by Dec 26,2020)",2020.0
6,Health,Summary exposure value tobacco,C4_Restrictions on gatherings,Cyprus,CYP,31.52972,Rate (risk-weighted prevalence),2019.0
7,Demographics,Secure Internet servers ,C4_Restrictions on gatherings,Cyprus,CYP,8221.429614333689,per 1 million people,2019.0
8,Governance,Human Freedom Score ,C4_Restrictions on gatherings,Cyprus,CYP,8.05,score,2018.0
9,Environment,"Energy imports, net ",C4_Restrictions on gatherings,Cyprus,CYP,94.0267505230889,percent of energy use,2014.0
10,Environment,Electricity production from oil sources,C4_Restrictions on gatherings,Cyprus,CYP,91.21994264284139,percent of total,2015.0
11,Governance,Control of corruption estimate,C4_Restrictions on gatherings,Cyprus,CYP,0.6048772,score,2019.0
13,Demographics,Mobile cellular subscriptions,C4_Restrictions on gatherings,Cyprus,CYP,143.85,per 100 people,2019.0
14,Social issues ,Press freedom score,C4_Restrictions on gatherings,Cyprus,CYP,20.45,score,2020.0
15,Health,Mortality due to COVID-19,C4_Restrictions on gatherings,Cyprus,CYP,87.0,"Number (cumulative total by Dec 26,2020)",2020.0
16,Economics,Employment in services (% of total employment) (modeled ILO estimate),C4_Restrictions on gatherings,Cyprus,CYP,81.7360001,Percentage of total employment,2020.0
18,Social issues ,Proportion of seats held by women in national parliaments (%),C4_Restrictions on gatherings,Cyprus,CYP,19.64285714,proportion,2020.0
19,Environment,"PM2.5 air pollution, mean annual exposure",C4_Restrictions on gatherings,Cyprus,CYP,17.29441,micrograms per cubic meter,2017.0
20,Health,Prevalence of obesity,C4_Restrictions on gatherings,Cyprus,CYP,21.8,percent,2016.0
21,Environment,Electricity production from coal sources ,C4_Restrictions on gatherings,Cyprus,CYP,0.0,percent of total,2015.0
22,Environment,Energy use (kg of oil equivalent per capita),C4_Restrictions on gatherings,Cyprus,CYP,1712.159752144652,kg of oil equivalent per capita,2014.0
23,Health,Prevalence of chronic kidney disease,C4_Restrictions on gatherings,Cyprus,CYP,0.092513,percent,2019.0
24,Environment,"Electricity production from renewable sources, excluding hydroelectric",C4_Restrictions on gatherings,Cyprus,CYP,398000000.0,kWh,2015.0
25,Social issues ,Net migration,C4_Restrictions on gatherings,Cyprus,CYP,25000.0,net total / data are 5 year estimates,2019.0
26,Health,"Immunization, measles (% of children ages 12-23 months)",C4_Restrictions on gatherings,Cyprus,CYP,86.0,percent,2019.0
27,Health,"Physicians (per 1,000 people)",C4_Restrictions on gatherings,Cyprus,CYP,1.9509,Ones,2016.0
28,Social issues ,"Intentional homicides (per 100,000 people)",C4_Restrictions on gatherings,Cyprus,CYP,1.2612864112,"proportion, pero 100,000 people",2018.0
29,Environment,Energy use ,C4_Restrictions on gatherings,Cyprus,CYP,69.93378131805301,"(kg of oil equivalent) per $1,000 GDP (constant 2017 PPP)",2014.0
30,Health,"Incidence of tuberculosis (per 100,000 people)",C4_Restrictions on gatherings,Cyprus,CYP,5.3,Cases,2019.0
31,Environment,Fossil fuel energy consumption,C4_Restrictions on gatherings,Cyprus,CYP,92.90622,percent of total,2014.0
32,Health,Domestic General Government Health Expenditure (GGHE-D) as % General Government Expenditure (GGE),C4_Restrictions on gatherings,Cyprus,CYP,2.9,percent,2018.0
33,Governance,Fragile States Index Total ,C4_Restrictions on gatherings,Cyprus,CYP,56.05796495249495,score,2020.0
34,Health,Prevalence of anxiety disorders,C4_Restrictions on gatherings,Cyprus,CYP,0.072166,percent,2019.0
35,Health,Prevalence of Depressive disorders,C4_Restrictions on gatherings,Cyprus,CYP,0.038063,percent,2019.0
36,Governance,Aggregate score for the Political Rights category,C4_Restrictions on gatherings,Cyprus,CYP,38.0,score,2021.0
37,Governance,Government effectiveness estimate,C4_Restrictions on gatherings,Cyprus,CYP,0.9924904,score,2019.0
38,Environment,"Adjusted net savings, including particulate emission damage",C4_Restrictions on gatherings,Cyprus,CYP,8.13654050110795,percent of GNI,2018.0
40,Economics,Volume of imports,C4_Restrictions on gatherings,Cyprus,CYP,4.449,percent change,2020.0
42,Governance,Human Development Index,C4_Restrictions on gatherings,Cyprus,CYP,0.887,index,2019.0
43,Environment,CO2 emissions (kt),C4_Restrictions on gatherings,Cyprus,CYP,6626.269,kt,2016.0
44,Health,Prevalence of Diabetes,C4_Restrictions on gatherings,Cyprus,CYP,0.097302,percent,2019.0
46,Demographics,Fixed telephone subscriptions,C4_Restrictions on gatherings,Cyprus,CYP,323914.0,number,2019.0
47,Governance,Political stability and absence of violence/terrorism estimate,C4_Restrictions on gatherings,Cyprus,CYP,0.5165108,score,2019.0
48,Social issues ,Proportion of women in managerial positions (%),C4_Restrictions on gatherings,Cyprus,CYP,16.95,percent,2018.0
49,Governance,Total freedom in the world score ,C4_Restrictions on gatherings,Cyprus,CYP,94.0,score,2021.0
50,Environment,CO2 emissions (metric tons per capita),C4_Restrictions on gatherings,Cyprus,CYP,5.662573,metric tons per capita,2016.0
52,Governance,Aggregate score for the Civil Liberties category,C4_Restrictions on gatherings,Cyprus,CYP,56.0,score,2021.0
54,Environment,Access to electricity ,C4_Restrictions on gatherings,Cyprus,CYP,100.0,percent of population,2018.0
55,Health,Prevalence of Respiratory infections and tuberculosis,C4_Restrictions on gatherings,Cyprus,CYP,0.122908,percent,2019.0
57,Economics,"Unemployment, total (% of total labor force) (modeled ILO estimate)",C4_Restrictions on gatherings,Cyprus,CYP,7.23400021,percent of total labor force,2020.0
58,Health,"Immunization, DPT (% of children ages 12-23 months)",C4_Restrictions on gatherings,Cyprus,CYP,96.0,percent,2019.0
60,Economics,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",C4_Restrictions on gatherings,Cyprus,CYP,57.757,Percentage of females of the total population,2020.0
61,Environment,"PM2.5 air pollution, population exposed to levels exceeding WHO guideline value ",C4_Restrictions on gatherings,Cyprus,CYP,100.0,percent of total,2017.0
62,Governance,Voice and accountability estimate,C4_Restrictions on gatherings,Cyprus,CYP,1.077345,score,2019.0
64,Health,"Nurses and midwives (per 1,000 people)",C4_Restrictions on gatherings,Cyprus,CYP,5.2512,Ones,2016.0
65,Environment,Combustible renewables and waste,C4_Restrictions on gatherings,Cyprus,CYP,1.287295,percent of total energy,2014.0
66,Health,Prevalence of Hypertensive heart disease,C4_Restrictions on gatherings,Cyprus,CYP,0.001163,percent,2019.0
68,Health,Prevalence of total cancers,C4_Restrictions on gatherings,Cyprus,CYP,0.028626,percent,2019.0
71,Governance,Economic Freedom Score,C4_Restrictions on gatherings,Cyprus,CYP,7.84,score,2018.0
72,Social issues ,Life Ladder ,C4_Restrictions on gatherings,Cyprus,CYP,6.223499774932861,score,2021.0
