Country,Date,C1_School closing,C2_Workplace closing,C3_Cancel public events,C4_Restrictions on gatherings,C5_Close public transport,C6_Stay at home requirements,C7_Restrictions on internal movement,C8_International travel controls,E1_Income support,E2_Debt/contract relief,H1_Public information campaigns,H2_Testing policy,H3_Contact tracing,H6_Facial Coverings,H7_Vaccination policy,history,lower,average,upper,ISO,Population
Taiwan,2020-01-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,4.1987212794343487e-08,,,,TWN,23816775.0
Taiwan,2020-01-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,4.1987212794343487e-08,,,,TWN,23816775.0
Taiwan,2020-01-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,1.0,2.0,1.0,0.0,1.2596163838303043e-07,,,,TWN,23816775.0
Taiwan,2020-01-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,1.0,2.0,1.0,0.0,1.2596163838303043e-07,,,,TWN,23816775.0
Taiwan,2020-01-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,1.0,2.0,1.0,0.0,1.6794885117737395e-07,,,,TWN,23816775.0
Taiwan,2020-01-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,1.0,2.0,1.0,0.0,2.0993606397171733e-07,,,,TWN,23816775.0
Taiwan,2020-01-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,1.0,2.0,1.0,0.0,3.358977023547479e-07,,,,TWN,23816775.0
Taiwan,2020-01-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,1.0,2.0,1.0,0.0,3.358977023547479e-07,,,,TWN,23816775.0
Taiwan,2020-01-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,1.0,2.0,1.0,0.0,3.7788491514909133e-07,,,,TWN,23816775.0
Taiwan,2020-01-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,1.0,2.0,1.0,0.0,4.1987212794343477e-07,,,,TWN,23816775.0
Taiwan,2020-02-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,1.0,2.0,1.0,0.0,4.1987212794343477e-07,,,,TWN,23816775.0
Taiwan,2020-02-02,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,1.0,2.0,1.0,0.0,4.1987212794343477e-07,,,,TWN,23816775.0
Taiwan,2020-02-03,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,1.0,2.0,1.0,0.0,4.1987212794343477e-07,,,,TWN,23816775.0
Taiwan,2020-02-04,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,1.0,2.0,1.0,0.0,4.6185934073777827e-07,,,,TWN,23816775.0
Taiwan,2020-02-05,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,1.0,2.0,1.0,0.0,4.6185934073777827e-07,,,,TWN,23816775.0
Taiwan,2020-02-06,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,1.0,2.0,1.0,0.0,6.717954047094958e-07,,,,TWN,23816775.0
Taiwan,2020-02-07,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,1.0,2.0,1.0,0.0,6.717954047094958e-07,,,,TWN,23816775.0
Taiwan,2020-02-08,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,1.0,2.0,1.0,0.0,7.137826175038392e-07,,,,TWN,23816775.0
Taiwan,2020-02-09,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,1.0,2.0,1.0,0.0,7.557698302981827e-07,,,,TWN,23816775.0
Taiwan,2020-02-10,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,1.0,2.0,1.0,0.0,7.557698302981827e-07,,,,TWN,23816775.0
Taiwan,2020-02-11,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,1.0,2.0,1.0,0.0,7.557698302981827e-07,,,,TWN,23816775.0
Taiwan,2020-02-12,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,1.0,2.0,1.0,0.0,7.557698302981827e-07,,,,TWN,23816775.0
