Country,Date,C1_School closing,C2_Workplace closing,C3_Cancel public events,C4_Restrictions on gatherings,C5_Close public transport,C6_Stay at home requirements,C7_Restrictions on internal movement,C8_International travel controls,E1_Income support,E2_Debt/contract relief,H1_Public information campaigns,H2_Testing policy,H3_Contact tracing,H6_Facial Coverings,H7_Vaccination policy,history,lower,average,upper,ISO,Population
South Sudan,2020-01-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,SSD,11193729.0
South Sudan,2020-01-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,SSD,11193729.0
South Sudan,2020-01-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,SSD,11193729.0
South Sudan,2020-01-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,SSD,11193729.0
South Sudan,2020-01-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,SSD,11193729.0
South Sudan,2020-01-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,SSD,11193729.0
South Sudan,2020-01-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,SSD,11193729.0
South Sudan,2020-01-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,SSD,11193729.0
South Sudan,2020-01-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,SSD,11193729.0
South Sudan,2020-01-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,SSD,11193729.0
South Sudan,2020-02-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,SSD,11193729.0
South Sudan,2020-02-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,SSD,11193729.0
South Sudan,2020-02-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,SSD,11193729.0
South Sudan,2020-02-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,SSD,11193729.0
South Sudan,2020-02-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,SSD,11193729.0
South Sudan,2020-02-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,SSD,11193729.0
South Sudan,2020-02-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,SSD,11193729.0
South Sudan,2020-02-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,SSD,11193729.0
South Sudan,2020-02-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,SSD,11193729.0
South Sudan,2020-02-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,SSD,11193729.0
South Sudan,2020-02-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,SSD,11193729.0
South Sudan,2020-02-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,SSD,11193729.0
South Sudan,2020-02-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,SSD,11193729.0
South Sudan,2020-02-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,SSD,11193729.0
South Sudan,2020-02-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,SSD,11193729.0
South Sudan,2020-02-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,SSD,11193729.0
South Sudan,2020-02-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,SSD,11193729.0
South Sudan,2020-02-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,SSD,11193729.0
South Sudan,2020-02-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,SSD,11193729.0
South Sudan,2020-02-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,SSD,11193729.0
South Sudan,2020-02-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,SSD,11193729.0
South Sudan,2020-02-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,SSD,11193729.0
South Sudan,2020-02-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,SSD,11193729.0
South Sudan,2020-02-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,SSD,11193729.0
South Sudan,2020-02-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,SSD,11193729.0
South Sudan,2020-02-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,SSD,11193729.0
South Sudan,2020-02-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,SSD,11193729.0
South Sudan,2020-02-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,SSD,11193729.0
South Sudan,2020-02-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,SSD,11193729.0
South Sudan,2020-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,SSD,11193729.0
South Sudan,2020-03-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,SSD,11193729.0
South Sudan,2020-03-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,SSD,11193729.0
South Sudan,2020-03-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,SSD,11193729.0
South Sudan,2020-03-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,SSD,11193729.0
South Sudan,2020-03-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,SSD,11193729.0
South Sudan,2020-03-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,SSD,11193729.0
South Sudan,2020-03-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,SSD,11193729.0
South Sudan,2020-03-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,SSD,11193729.0
South Sudan,2020-03-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,SSD,11193729.0
South Sudan,2020-03-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,SSD,11193729.0
South Sudan,2020-03-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,SSD,11193729.0
South Sudan,2020-03-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,SSD,11193729.0
South Sudan,2020-03-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,SSD,11193729.0
South Sudan,2020-03-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,SSD,11193729.0
South Sudan,2020-03-16,0.0,0.0,2.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,,,,SSD,11193729.0
South Sudan,2020-03-17,0.0,0.0,2.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,,,,SSD,11193729.0
South Sudan,2020-03-18,0.0,0.0,2.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,,,,SSD,11193729.0
South Sudan,2020-03-19,0.0,0.0,2.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,,,,SSD,11193729.0
South Sudan,2020-03-20,3.0,0.0,2.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,,,,SSD,11193729.0
South Sudan,2020-03-21,3.0,0.0,2.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,,,,SSD,11193729.0
South Sudan,2020-03-22,3.0,0.0,2.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,,,,SSD,11193729.0
South Sudan,2020-03-23,3.0,0.0,2.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,,,,SSD,11193729.0
South Sudan,2020-03-24,3.0,0.0,2.0,3.0,0.0,1.0,0.0,4.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,,,,SSD,11193729.0
South Sudan,2020-03-25,3.0,1.0,2.0,3.0,0.0,1.0,0.0,4.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,,,,SSD,11193729.0
South Sudan,2020-03-26,3.0,1.0,2.0,3.0,0.0,1.0,0.0,4.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,,,,SSD,11193729.0
South Sudan,2020-03-27,3.0,1.0,2.0,3.0,0.0,1.0,0.0,4.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,,,,SSD,11193729.0
South Sudan,2020-03-28,3.0,3.0,2.0,3.0,0.0,1.0,0.0,4.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,,,,SSD,11193729.0
South Sudan,2020-03-29,3.0,3.0,2.0,3.0,1.0,1.0,0.0,4.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,,,,SSD,11193729.0
South Sudan,2020-03-30,3.0,3.0,2.0,3.0,1.0,1.0,0.0,4.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,,,,SSD,11193729.0
South Sudan,2020-03-31,3.0,3.0,2.0,3.0,1.0,1.0,0.0,4.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,,,,SSD,11193729.0
South Sudan,2020-04-01,3.0,3.0,2.0,3.0,1.0,1.0,0.0,4.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,,,,SSD,11193729.0
South Sudan,2020-04-02,3.0,3.0,2.0,3.0,1.0,1.0,0.0,4.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,,,,SSD,11193729.0
South Sudan,2020-04-03,3.0,3.0,2.0,3.0,1.0,1.0,0.0,4.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,,,,SSD,11193729.0
South Sudan,2020-04-04,3.0,3.0,2.0,3.0,1.0,1.0,0.0,4.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,,,,SSD,11193729.0
South Sudan,2020-04-05,3.0,3.0,2.0,3.0,1.0,1.0,0.0,4.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,8.933573432052894e-08,,,,SSD,11193729.0
South Sudan,2020-04-06,3.0,3.0,2.0,3.0,1.0,1.0,0.0,4.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,8.933573432052894e-08,,,,SSD,11193729.0
South Sudan,2020-04-07,3.0,3.0,2.0,3.0,1.0,1.0,0.0,4.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,1.7867146864105788e-07,,,,SSD,11193729.0
South Sudan,2020-04-08,3.0,3.0,2.0,3.0,1.0,1.0,0.0,4.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,1.7867146864105788e-07,,,,SSD,11193729.0
South Sudan,2020-04-09,3.0,3.0,2.0,3.0,1.0,1.0,0.0,4.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,2.680072029615868e-07,,,,SSD,11193729.0
South Sudan,2020-04-10,3.0,3.0,2.0,3.0,1.0,1.0,0.0,4.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,3.573429372821157e-07,,,,SSD,11193729.0
South Sudan,2020-04-11,3.0,3.0,2.0,3.0,1.0,1.0,0.0,4.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,3.573429372821157e-07,,,,SSD,11193729.0
South Sudan,2020-04-12,3.0,3.0,2.0,3.0,1.0,1.0,2.0,4.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,3.573429372821157e-07,,,,SSD,11193729.0
South Sudan,2020-04-13,3.0,3.0,2.0,3.0,1.0,1.0,2.0,4.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,3.573429372821157e-07,,,,SSD,11193729.0
South Sudan,2020-04-14,3.0,3.0,2.0,3.0,1.0,1.0,2.0,4.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,3.573429372821157e-07,,,,SSD,11193729.0
South Sudan,2020-04-15,3.0,3.0,2.0,3.0,1.0,1.0,2.0,4.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,3.573429372821157e-07,,,,SSD,11193729.0
South Sudan,2020-04-16,3.0,3.0,2.0,3.0,1.0,1.0,2.0,4.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,3.573429372821157e-07,,,,SSD,11193729.0
South Sudan,2020-04-17,3.0,3.0,2.0,3.0,1.0,1.0,2.0,4.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,3.573429372821157e-07,,,,SSD,11193729.0
South Sudan,2020-04-18,3.0,3.0,2.0,3.0,1.0,2.0,2.0,4.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,3.573429372821157e-07,,,,SSD,11193729.0
South Sudan,2020-04-19,3.0,3.0,2.0,3.0,1.0,2.0,2.0,4.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,3.573429372821157e-07,,,,SSD,11193729.0
South Sudan,2020-04-20,3.0,3.0,2.0,3.0,1.0,2.0,2.0,4.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,3.573429372821157e-07,,,,SSD,11193729.0
South Sudan,2020-04-21,3.0,3.0,2.0,3.0,1.0,2.0,2.0,4.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,3.573429372821157e-07,,,,SSD,11193729.0
South Sudan,2020-04-22,3.0,3.0,2.0,3.0,1.0,2.0,2.0,4.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,3.573429372821157e-07,,,,SSD,11193729.0
South Sudan,2020-04-23,3.0,3.0,2.0,3.0,1.0,2.0,2.0,4.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,4.466786716026447e-07,,,,SSD,11193729.0
South Sudan,2020-04-24,3.0,3.0,2.0,3.0,1.0,2.0,2.0,4.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,4.466786716026447e-07,,,,SSD,11193729.0
South Sudan,2020-04-25,3.0,3.0,2.0,3.0,1.0,2.0,2.0,4.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,4.466786716026447e-07,,,,SSD,11193729.0
South Sudan,2020-04-26,3.0,3.0,2.0,3.0,1.0,2.0,2.0,4.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,5.360144059231736e-07,,,,SSD,11193729.0
South Sudan,2020-04-27,3.0,3.0,2.0,3.0,1.0,2.0,2.0,4.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,5.360144059231736e-07,,,,SSD,11193729.0
South Sudan,2020-04-28,3.0,3.0,2.0,3.0,1.0,2.0,2.0,4.0,1.0,0.0,2.0,2.0,1.0,0.0,0.0,3.037414966897984e-06,,,,SSD,11193729.0
South Sudan,2020-04-29,3.0,3.0,2.0,3.0,1.0,2.0,2.0,4.0,1.0,0.0,2.0,2.0,1.0,0.0,0.0,3.037414966897984e-06,,,,SSD,11193729.0
South Sudan,2020-04-30,3.0,3.0,2.0,3.0,1.0,2.0,2.0,4.0,1.0,0.0,2.0,2.0,1.0,0.0,0.0,3.1267507012185125e-06,,,,SSD,11193729.0
South Sudan,2020-05-01,3.0,3.0,2.0,3.0,1.0,2.0,2.0,4.0,1.0,0.0,2.0,2.0,1.0,0.0,0.0,4.020108044423802e-06,,,,SSD,11193729.0
South Sudan,2020-05-02,3.0,3.0,2.0,3.0,1.0,2.0,2.0,4.0,1.0,0.0,2.0,2.0,1.0,0.0,0.0,4.020108044423802e-06,,,,SSD,11193729.0
South Sudan,2020-05-03,3.0,3.0,2.0,3.0,1.0,2.0,2.0,4.0,1.0,0.0,2.0,2.0,1.0,0.0,0.0,4.109443778744331e-06,,,,SSD,11193729.0
South Sudan,2020-05-04,3.0,3.0,2.0,3.0,1.0,2.0,2.0,4.0,1.0,0.0,2.0,2.0,1.0,0.0,0.0,4.109443778744331e-06,,,,SSD,11193729.0
South Sudan,2020-05-05,3.0,3.0,2.0,3.0,1.0,2.0,2.0,4.0,1.0,0.0,2.0,2.0,1.0,0.0,0.0,4.645458184667504e-06,,,,SSD,11193729.0
South Sudan,2020-05-06,3.0,3.0,2.0,3.0,1.0,2.0,2.0,4.0,1.0,0.0,2.0,2.0,1.0,0.0,0.0,5.181472590590678e-06,,,,SSD,11193729.0
South Sudan,2020-05-07,3.0,3.0,2.0,3.0,0.0,2.0,2.0,4.0,1.0,0.0,2.0,2.0,2.0,0.0,0.0,6.610844339719141e-06,,,,SSD,11193729.0
South Sudan,2020-05-08,3.0,2.0,2.0,3.0,0.0,2.0,2.0,4.0,1.0,0.0,2.0,2.0,2.0,3.0,0.0,1.0720288118463472e-05,,,,SSD,11193729.0
South Sudan,2020-05-09,3.0,2.0,2.0,3.0,0.0,2.0,2.0,4.0,1.0,0.0,2.0,2.0,2.0,3.0,0.0,1.0720288118463472e-05,,,,SSD,11193729.0
South Sudan,2020-05-10,3.0,2.0,2.0,3.0,0.0,2.0,2.0,4.0,1.0,0.0,2.0,2.0,2.0,3.0,0.0,1.0720288118463472e-05,,,,SSD,11193729.0
South Sudan,2020-05-11,3.0,2.0,2.0,3.0,0.0,2.0,2.0,4.0,1.0,0.0,2.0,2.0,2.0,3.0,0.0,1.3936374554002514e-05,,,,SSD,11193729.0
South Sudan,2020-05-12,3.0,2.0,2.0,3.0,0.0,2.0,2.0,2.0,1.0,0.0,2.0,2.0,2.0,3.0,0.0,1.7331132458182613e-05,,,,SSD,11193729.0
South Sudan,2020-05-13,3.0,2.0,2.0,3.0,0.0,2.0,2.0,2.0,1.0,0.0,2.0,2.0,2.0,3.0,0.0,1.813515406706737e-05,,,,SSD,11193729.0
South Sudan,2020-05-14,3.0,2.0,2.0,3.0,0.0,2.0,2.0,2.0,1.0,0.0,2.0,2.0,2.0,3.0,0.0,1.813515406706737e-05,,,,SSD,11193729.0
South Sudan,2020-05-15,3.0,2.0,2.0,3.0,0.0,2.0,2.0,2.0,1.0,0.0,2.0,2.0,2.0,3.0,0.0,2.108323329964483e-05,,,,SSD,11193729.0
South Sudan,2020-05-16,3.0,2.0,2.0,3.0,0.0,2.0,2.0,2.0,1.0,0.0,2.0,2.0,2.0,3.0,0.0,2.108323329964483e-05,,,,SSD,11193729.0
South Sudan,2020-05-17,3.0,2.0,2.0,3.0,0.0,2.0,2.0,2.0,1.0,0.0,2.0,2.0,2.0,3.0,0.0,2.590736295295339e-05,,,,SSD,11193729.0
South Sudan,2020-05-18,3.0,2.0,2.0,3.0,0.0,2.0,2.0,2.0,1.0,0.0,2.0,2.0,2.0,3.0,0.0,2.590736295295339e-05,,,,SSD,11193729.0
