rank,Category,Indicator,Policy,Country,ISO,value,unit,year
1,Demographics,Individuals using the Internet,H7_Vaccination policy,Tajikistan,TJK,21.96,percent of population,2019.0
2,Governance,Corruption Perceptions Index,H7_Vaccination policy,Tajikistan,TJK,25.0,score,2020.0
3,Health,Prevalence of COVID-19,H7_Vaccination policy,Tajikistan,TJK,13130.0,"Number (cumulative total by Dec 26,2020)",2020.0
4,Economics,"Foreign direct investment, net",H7_Vaccination policy,Tajikistan,TJK,212809730.0,US Dollar,2019.0
5,Demographics,Secure Internet servers ,H7_Vaccination policy,Tajikistan,TJK,71.12956975300338,per 1 million people,2019.0
7,Social issues ,Press freedom score,H7_Vaccination policy,Tajikistan,TJK,55.34,score,2020.0
8,Environment,Electricity production from oil sources,H7_Vaccination policy,Tajikistan,TJK,0.0,percent of total,2015.0
9,Health,Prevalence of total cancers,H7_Vaccination policy,Tajikistan,TJK,0.002886,percent,2019.0
10,Demographics,Fixed telephone subscriptions,H7_Vaccination policy,Tajikistan,TJK,479000.0,number,2019.0
11,Health,Domestic General Government Health Expenditure (GGHE-D) as % General Government Expenditure (GGE),H7_Vaccination policy,Tajikistan,TJK,2.0,percent,2018.0
12,Social issues ,Life Ladder ,H7_Vaccination policy,Tajikistan,TJK,5.46619987487793,score,2021.0
13,Health,"Incidence of tuberculosis (per 100,000 people)",H7_Vaccination policy,Tajikistan,TJK,83.0,Cases,2019.0
14,Environment,Renewable energy consumption ,H7_Vaccination policy,Tajikistan,TJK,44.6592039196129,percent of total final energy consumption,2015.0
15,Health,Prevalence of Respiratory infections and tuberculosis,H7_Vaccination policy,Tajikistan,TJK,0.292141,percent,2019.0
16,Economics,Employment in services (% of total employment) (modeled ILO estimate),H7_Vaccination policy,Tajikistan,TJK,39.855999,Percentage of total employment,2020.0
17,Environment,"PM2.5 air pollution, mean annual exposure",H7_Vaccination policy,Tajikistan,TJK,46.15219,micrograms per cubic meter,2017.0
18,Health,Prevalence of Diabetes,H7_Vaccination policy,Tajikistan,TJK,0.042692,percent,2019.0
19,Demographics,Fixed broadband subscriptions,H7_Vaccination policy,Tajikistan,TJK,0.0675655,per 100 people,2019.0
20,Environment,CO2 emissions (kt),H7_Vaccination policy,Tajikistan,TJK,5309.816,kt,2016.0
21,Health,Summary exposure value tobacco,H7_Vaccination policy,Tajikistan,TJK,24.92262,Rate (risk-weighted prevalence),2019.0
22,Economics,Volume of exports,H7_Vaccination policy,Tajikistan,TJK,10.34,percent change,2020.0
23,Social issues ,Net migration,H7_Vaccination policy,Tajikistan,TJK,-99999.0,net total / data are 5 year estimates,2019.0
24,Economics,"Unemployment, total (% of total labor force) (modeled ILO estimate)",H7_Vaccination policy,Tajikistan,TJK,10.9890003,percent of total labor force,2020.0
25,Environment,"Energy imports, net ",H7_Vaccination policy,Tajikistan,TJK,36.24549557660006,percent of energy use,2014.0
26,Health,Prevalence of anxiety disorders,H7_Vaccination policy,Tajikistan,TJK,0.02429,percent,2019.0
27,Economics,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",H7_Vaccination policy,Tajikistan,TJK,31.2959995,Percentage of females of the total population,2020.0
