rank,Category,Indicator,Policy,Country,ISO,value,unit,year
1,Demographics,Individuals using the Internet,H7_Vaccination policy,Kiribati,KIR,14.5818,percent of population,2019.0
3,Health,Prevalence of COVID-19,H7_Vaccination policy,Kiribati,KIR,0.0,"Number (cumulative total by Dec 26,2020)",2020.0
4,Economics,"Foreign direct investment, net",H7_Vaccination policy,Kiribati,KIR,-1144360.0,US Dollar,2018.0
5,Demographics,Secure Internet servers ,H7_Vaccination policy,Kiribati,KIR,8.50296753566995,per 1 million people,2019.0
9,Health,Prevalence of total cancers,H7_Vaccination policy,Kiribati,KIR,0.00563,percent,2019.0
10,Demographics,Fixed telephone subscriptions,H7_Vaccination policy,Kiribati,KIR,20.0,number,2019.0
11,Health,Domestic General Government Health Expenditure (GGHE-D) as % General Government Expenditure (GGE),H7_Vaccination policy,Kiribati,KIR,9.3,percent,2018.0
13,Health,"Incidence of tuberculosis (per 100,000 people)",H7_Vaccination policy,Kiribati,KIR,436.0,Cases,2019.0
14,Environment,Renewable energy consumption ,H7_Vaccination policy,Kiribati,KIR,4.25399869303377,percent of total final energy consumption,2015.0
15,Health,Prevalence of Respiratory infections and tuberculosis,H7_Vaccination policy,Kiribati,KIR,0.456248,percent,2019.0
17,Environment,"PM2.5 air pollution, mean annual exposure",H7_Vaccination policy,Kiribati,KIR,10.64086,micrograms per cubic meter,2017.0
18,Health,Prevalence of Diabetes,H7_Vaccination policy,Kiribati,KIR,0.100787,percent,2019.0
19,Demographics,Fixed broadband subscriptions,H7_Vaccination policy,Kiribati,KIR,0.0578202,per 100 people,2019.0
20,Environment,CO2 emissions (kt),H7_Vaccination policy,Kiribati,KIR,66.006,kt,2016.0
21,Health,Summary exposure value tobacco,H7_Vaccination policy,Kiribati,KIR,34.87527,Rate (risk-weighted prevalence),2019.0
22,Economics,Volume of exports,H7_Vaccination policy,Kiribati,KIR,3.494,percent change,2020.0
23,Social issues ,Net migration,H7_Vaccination policy,Kiribati,KIR,-3999.0,net total / data are 5 year estimates,2019.0
26,Health,Prevalence of anxiety disorders,H7_Vaccination policy,Kiribati,KIR,0.040167,percent,2019.0
29,Demographics,Mobile cellular subscriptions,H7_Vaccination policy,Kiribati,KIR,46.4755,per 100 people,2019.0
30,Social issues ,Proportion of seats held by women in national parliaments (%),H7_Vaccination policy,Kiribati,KIR,8.888888889,proportion,2020.0
32,Health,Prevalence of chronic kidney disease,H7_Vaccination policy,Kiribati,KIR,0.081214,percent,2019.0
33,Health,Mortality due to COVID-19,H7_Vaccination policy,Kiribati,KIR,0.0,"Number (cumulative total by Dec 26,2020)",2020.0
34,Social issues ,Proportion of women in managerial positions (%),H7_Vaccination policy,Kiribati,KIR,37.22,percent,2015.0
36,Governance,Aggregate score for the Political Rights category,H7_Vaccination policy,Kiribati,KIR,37.0,score,2021.0
37,Health,"Prevalence of overweight (modeled estimate, % of children under 5)",H7_Vaccination policy,Kiribati,KIR,2.4,percent,2020.0
38,Health,Prevalence of down syndrome,H7_Vaccination policy,Kiribati,KIR,0.000182,percent,2019.0
42,Economics,Volume of imports,H7_Vaccination policy,Kiribati,KIR,3.047,percent change,2020.0
44,Environment,"PM2.5 air pollution, population exposed to levels exceeding WHO guideline value ",H7_Vaccination policy,Kiribati,KIR,99.9999995006364,percent of total,2017.0
45,Health,Prevalence of obesity,H7_Vaccination policy,Kiribati,KIR,46.0,percent,2016.0
46,Health,Prevalence of Hypertensive heart disease,H7_Vaccination policy,Kiribati,KIR,0.00103,percent,2019.0
48,Health,"Immunization, DPT (% of children ages 12-23 months)",H7_Vaccination policy,Kiribati,KIR,97.0,percent,2019.0
49,Governance,Political stability and absence of violence/terrorism estimate,H7_Vaccination policy,Kiribati,KIR,1.204567,score,2019.0
54,Environment,Access to electricity ,H7_Vaccination policy,Kiribati,KIR,100.0,percent of population,2018.0
55,Governance,Rule of law estimate ,H7_Vaccination policy,Kiribati,KIR,0.7377026,score,2019.0
57,Demographics,"Population, total",H7_Vaccination policy,Kiribati,KIR,117606.0,total,2019.0
58,Health,"Prevalence of stunting, height for age (modeled estimate, % of children under 5)",H7_Vaccination policy,Kiribati,KIR,14.9,percent,2020.0
62,Health,Prevalence of Depressive disorders,H7_Vaccination policy,Kiribati,KIR,0.027194,percent,2019.0
63,Health,"Immunization, measles (% of children ages 12-23 months)",H7_Vaccination policy,Kiribati,KIR,94.0,percent,2019.0
64,Governance,Government effectiveness estimate,H7_Vaccination policy,Kiribati,KIR,-0.2355355,score,2019.0
68,Governance,Voice and accountability estimate,H7_Vaccination policy,Kiribati,KIR,1.122499,score,2019.0
70,Economics,Expenditure on social protection (% of GDP),H7_Vaccination policy,Kiribati,KIR,1.20154,percent,2018.0
71,Governance,Aggregate score for the Civil Liberties category,H7_Vaccination policy,Kiribati,KIR,56.0,score,2021.0
73,Demographics,"Age dependency ratio, old (% of working-age population)",H7_Vaccination policy,Kiribati,KIR,6.794797401531342,proportion,2019.0
75,Health,"Nurses and midwives (per 1,000 people)",H7_Vaccination policy,Kiribati,KIR,3.8342,Ones,2018.0
78,Governance,"CPIA transparency, accountability, and corruption in the public sector rating (1=low to 6=high)",H7_Vaccination policy,Kiribati,KIR,3.5,rating,2019.0
79,Governance,Regulatory quality estimate,H7_Vaccination policy,Kiribati,KIR,-0.6217977,score,2019.0
80,Demographics,People using at least basic sanitation services (% of population),H7_Vaccination policy,Kiribati,KIR,47.802889981692,proportion,2017.0
82,Governance,Control of corruption estimate,H7_Vaccination policy,Kiribati,KIR,0.3710443,score,2019.0
83,Environment,CO2 emissions (metric tons per capita),H7_Vaccination policy,Kiribati,KIR,0.586595,metric tons per capita,2016.0
84,Governance,Total freedom in the world score ,H7_Vaccination policy,Kiribati,KIR,93.0,score,2021.0
86,Demographics,Age dependency ratio (% of working-age population),H7_Vaccination policy,Kiribati,KIR,66.44635351062173,proportion,2019.0
87,Economics,Expenditure on education (% of GDP),H7_Vaccination policy,Kiribati,KIR,11.96829,percent,2018.0
88,Social issues ,"Primary completion rate, total (% of relevant age group)",H7_Vaccination policy,Kiribati,KIR,100.869567871094,proportion,2016.0
92,Demographics,Rural population (% of total population),H7_Vaccination policy,Kiribati,KIR,45.165,proportion,2019.0
95,Social issues ,Progression to secondary school (%),H7_Vaccination policy,Kiribati,KIR,96.34146,proportion,2015.0
96,Governance,Human Development Index,H7_Vaccination policy,Kiribati,KIR,0.63,index,2019.0
98,Demographics,Urban population (% of total population),H7_Vaccination policy,Kiribati,KIR,54.835,total,2019.0
100,Economics,Expenditure on health (% of GDP),H7_Vaccination policy,Kiribati,KIR,12.19047,percent,2018.0
101,Economics,"Trade, total as % of GDP",H7_Vaccination policy,Kiribati,KIR,56.33725,percent,2018.0
102,Economics,"International tourism, receipts",H7_Vaccination policy,Kiribati,KIR,3000000.0,US Dollar,2018.0
108,Economics,Unemployment rate (%) - Annual,H7_Vaccination policy,Kiribati,KIR,9.5,percent,2015.0
