rank,Category,Indicator,Policy,Country,ISO,value,unit,year
1,Demographics,Individuals using the Internet,H7_Vaccination policy,United Kingdom,GBR,92.5166,percent of population,2019.0
2,Governance,Corruption Perceptions Index,H7_Vaccination policy,United Kingdom,GBR,77.0,score,2020.0
3,Health,Prevalence of COVID-19,H7_Vaccination policy,United Kingdom,GBR,1977171.0,"Number (cumulative total by Dec 26,2020)",2020.0
5,Demographics,Secure Internet servers ,H7_Vaccination policy,United Kingdom,GBR,35989.50271196399,per 1 million people,2019.0
6,Governance,Serious assault (rate),H7_Vaccination policy,United Kingdom,GBR,925.4,rate,2018.0
7,Social issues ,Press freedom score,H7_Vaccination policy,United Kingdom,GBR,22.93,score,2020.0
8,Environment,CO2 emissions (kt),H7_Vaccination policy,United Kingdom,GBR,379024.8,kt,2016.0
9,Demographics,Fixed telephone subscriptions,H7_Vaccination policy,United Kingdom,GBR,31973300.0,number,2019.0
10,Environment,Electric power consumption ,H7_Vaccination policy,United Kingdom,GBR,5130.390253300277,kWh per capita,2014.0
11,Economics,Employment in services (% of total employment) (modeled ILO estimate),H7_Vaccination policy,United Kingdom,GBR,81.3379974,Percentage of total employment,2020.0
12,Demographics,Fixed broadband subscriptions,H7_Vaccination policy,United Kingdom,GBR,39.597,per 100 people,2019.0
13,Economics,Volume of imports,H7_Vaccination policy,United Kingdom,GBR,1.242,percent change,2020.0
14,Health,Prevalence of Respiratory infections and tuberculosis,H7_Vaccination policy,United Kingdom,GBR,0.129437,percent,2019.0
15,Governance,Political stability and absence of violence/terrorism estimate,H7_Vaccination policy,United Kingdom,GBR,0.5191886,score,2019.0
16,Environment,Renewable energy consumption ,H7_Vaccination policy,United Kingdom,GBR,8.71168557437913,percent of total final energy consumption,2015.0
17,Health,"Incidence of tuberculosis (per 100,000 people)",H7_Vaccination policy,United Kingdom,GBR,8.0,Cases,2019.0
18,Health,Domestic General Government Health Expenditure (GGHE-D) as % General Government Expenditure (GGE),H7_Vaccination policy,United Kingdom,GBR,7.9,percent,2018.0
19,Health,"Physicians (per 1,000 people)",H7_Vaccination policy,United Kingdom,GBR,2.8117,Ones,2018.0
20,Health,Summary exposure value tobacco,H7_Vaccination policy,United Kingdom,GBR,25.35924,Rate (risk-weighted prevalence),2019.0
21,Health,Prevalence of anxiety disorders,H7_Vaccination policy,United Kingdom,GBR,0.049807,percent,2019.0
22,Governance,Rule of law estimate ,H7_Vaccination policy,United Kingdom,GBR,1.600911,score,2019.0
23,Environment,Electricity production from oil sources,H7_Vaccination policy,United Kingdom,GBR,0.6341495320434302,percent of total,2015.0
24,Economics,"Unemployment, total (% of total labor force) (modeled ILO estimate)",H7_Vaccination policy,United Kingdom,GBR,4.11499977,percent of total labor force,2020.0
25,Environment,Fossil fuel energy consumption,H7_Vaccination policy,United Kingdom,GBR,80.35177,percent of total,2015.0
26,Social issues ,Net migration,H7_Vaccination policy,United Kingdom,GBR,1303250.0,net total / data are 5 year estimates,2019.0
27,Economics,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",H7_Vaccination policy,United Kingdom,GBR,62.7649994,Percentage of total population,2020.0
28,Health,Prevalence of total cancers,H7_Vaccination policy,United Kingdom,GBR,0.035098,percent,2019.0
29,Governance,Total freedom in the world score ,H7_Vaccination policy,United Kingdom,GBR,93.0,score,2021.0
30,Governance,Aggregate score for the Civil Liberties category,H7_Vaccination policy,United Kingdom,GBR,54.0,score,2021.0
32,Environment,Combustible renewables and waste,H7_Vaccination policy,United Kingdom,GBR,2.79409,percent of total energy,2015.0
33,Governance,Personal Freedom Score ,H7_Vaccination policy,United Kingdom,GBR,8.79,score,2018.0
34,Health,Mortality due to COVID-19,H7_Vaccination policy,United Kingdom,GBR,66541.0,"Number (cumulative total by Dec 26,2020)",2020.0
35,Environment,"PM2.5 air pollution, mean annual exposure",H7_Vaccination policy,United Kingdom,GBR,10.47269,micrograms per cubic meter,2017.0
36,Demographics,Mobile cellular subscriptions,H7_Vaccination policy,United Kingdom,GBR,117.549,per 100 people,2019.0
37,Social issues ,Proportion of seats held by women in national parliaments (%),H7_Vaccination policy,United Kingdom,GBR,33.84615385,proportion,2020.0
38,Governance,Fragile States Index Total ,H7_Vaccination policy,United Kingdom,GBR,38.260475361020404,score,2020.0
39,Governance,Economic Freedom Score,H7_Vaccination policy,United Kingdom,GBR,8.08,score,2018.0
41,Environment,"Energy imports, net ",H7_Vaccination policy,United Kingdom,GBR,34.62999026752639,percent of energy use,2015.0
45,Health,Prevalence of chronic kidney disease,H7_Vaccination policy,United Kingdom,GBR,0.090669,percent,2019.0
46,Social issues ,Gini index (World Bank estimate),H7_Vaccination policy,United Kingdom,GBR,34.8,index ,2016.0
47,Environment,"Adjusted net savings, including particulate emission damage",H7_Vaccination policy,United Kingdom,GBR,3.0392590611375,percent of GNI,2018.0
48,Environment,CO2 emissions (metric tons per capita),H7_Vaccination policy,United Kingdom,GBR,5.776796,metric tons per capita,2016.0
49,Economics,Volume of exports,H7_Vaccination policy,United Kingdom,GBR,1.775,percent change,2020.0
51,Health,Prevalence of down syndrome,H7_Vaccination policy,United Kingdom,GBR,0.000738,percent,2019.0
53,Social issues ,Life Ladder ,H7_Vaccination policy,United Kingdom,GBR,7.063600063323975,score,2021.0
55,Governance,Aggregate score for the Political Rights category,H7_Vaccination policy,United Kingdom,GBR,39.0,score,2021.0
56,Governance,Control of corruption estimate,H7_Vaccination policy,United Kingdom,GBR,1.774812,score,2019.0
58,Environment,Electricity production from coal sources ,H7_Vaccination policy,United Kingdom,GBR,22.80649074195198,percent of total,2015.0
61,Environment,Electricity production from nuclear sources ,H7_Vaccination policy,United Kingdom,GBR,20.91385317936948,percent of total,2015.0
63,Environment,"Electricity production from oil, gas and coal sources",H7_Vaccination policy,United Kingdom,GBR,53.18085599781184,percent of total,2015.0
65,Health,Prevalence of Depressive disorders,H7_Vaccination policy,United Kingdom,GBR,0.050213,percent,2019.0
66,Environment,"PM2.5 air pollution, population exposed to levels exceeding WHO guideline value ",H7_Vaccination policy,United Kingdom,GBR,66.5332490328298,percent of total,2017.0
67,Health,"Immunization, DPT (% of children ages 12-23 months)",H7_Vaccination policy,United Kingdom,GBR,93.0,percent,2019.0
69,Health,Prevalence of Hypertensive heart disease,H7_Vaccination policy,United Kingdom,GBR,0.001117,percent,2019.0
70,Health,Prevalence of Diabetes,H7_Vaccination policy,United Kingdom,GBR,0.136351,percent,2019.0
72,Health,"Nurses and midwives (per 1,000 people)",H7_Vaccination policy,United Kingdom,GBR,8.1723,Ones,2018.0
73,Governance,Human Development Index,H7_Vaccination policy,United Kingdom,GBR,0.932,index,2019.0
74,Environment,Energy use (kg of oil equivalent per capita),H7_Vaccination policy,United Kingdom,GBR,2764.516671338058,kg of oil equivalent per capita,2015.0
75,Economics,"Central government debt, total",H7_Vaccination policy,United Kingdom,GBR,114.9722447592783,percent of GDP,2016.0
