rank,Category,Indicator,Policy,Country,ISO,value,unit,year
1,Demographics,Individuals using the Internet,H7_Vaccination policy,Senegal,SEN,46.0,percent of population,2019.0
2,Governance,Corruption Perceptions Index,H7_Vaccination policy,Senegal,SEN,45.0,score,2020.0
3,Health,Prevalence of COVID-19,H7_Vaccination policy,Senegal,SEN,17559.0,"Number (cumulative total by Dec 26,2020)",2020.0
5,Demographics,Secure Internet servers ,H7_Vaccination policy,Senegal,SEN,19.39082853083056,per 1 million people,2019.0
7,Social issues ,Press freedom score,H7_Vaccination policy,Senegal,SEN,23.99,score,2020.0
8,Environment,CO2 emissions (kt),H7_Vaccination policy,Senegal,SEN,10901.99,kt,2016.0
9,Demographics,Fixed telephone subscriptions,H7_Vaccination policy,Senegal,SEN,207592.0,number,2019.0
10,Environment,Electric power consumption ,H7_Vaccination policy,Senegal,SEN,229.3517951063763,kWh per capita,2014.0
11,Economics,Employment in services (% of total employment) (modeled ILO estimate),H7_Vaccination policy,Senegal,SEN,56.9449997,Percentage of total employment,2020.0
12,Demographics,Fixed broadband subscriptions,H7_Vaccination policy,Senegal,SEN,0.933012,per 100 people,2019.0
13,Economics,Volume of imports,H7_Vaccination policy,Senegal,SEN,17.786,percent change,2020.0
14,Health,Prevalence of Respiratory infections and tuberculosis,H7_Vaccination policy,Senegal,SEN,0.240196,percent,2019.0
15,Governance,Political stability and absence of violence/terrorism estimate,H7_Vaccination policy,Senegal,SEN,0.0573639,score,2019.0
16,Environment,Renewable energy consumption ,H7_Vaccination policy,Senegal,SEN,42.7117516284132,percent of total final energy consumption,2015.0
17,Health,"Incidence of tuberculosis (per 100,000 people)",H7_Vaccination policy,Senegal,SEN,117.0,Cases,2019.0
18,Health,Domestic General Government Health Expenditure (GGHE-D) as % General Government Expenditure (GGE),H7_Vaccination policy,Senegal,SEN,0.9,percent,2018.0
19,Health,"Physicians (per 1,000 people)",H7_Vaccination policy,Senegal,SEN,0.0691,Ones,2017.0
20,Health,Summary exposure value tobacco,H7_Vaccination policy,Senegal,SEN,19.94981,Rate (risk-weighted prevalence),2019.0
21,Health,Prevalence of anxiety disorders,H7_Vaccination policy,Senegal,SEN,0.027979,percent,2019.0
22,Governance,Rule of law estimate ,H7_Vaccination policy,Senegal,SEN,-0.1907603,score,2019.0
23,Environment,Electricity production from oil sources,H7_Vaccination policy,Senegal,SEN,83.6156763590392,percent of total,2015.0
24,Economics,"Unemployment, total (% of total labor force) (modeled ILO estimate)",H7_Vaccination policy,Senegal,SEN,6.67600012,percent of total labor force,2020.0
25,Environment,Fossil fuel energy consumption,H7_Vaccination policy,Senegal,SEN,53.90912,percent of total,2014.0
26,Social issues ,Net migration,H7_Vaccination policy,Senegal,SEN,-100001.0,net total / data are 5 year estimates,2019.0
27,Economics,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",H7_Vaccination policy,Senegal,SEN,45.6990013,Percentage of total population,2020.0
28,Health,Prevalence of total cancers,H7_Vaccination policy,Senegal,SEN,0.002207,percent,2019.0
29,Governance,Total freedom in the world score ,H7_Vaccination policy,Senegal,SEN,71.0,score,2021.0
30,Governance,Aggregate score for the Civil Liberties category,H7_Vaccination policy,Senegal,SEN,42.0,score,2021.0
31,Health,Prevalence of obesity,H7_Vaccination policy,Senegal,SEN,8.8,percent,2016.0
32,Environment,Combustible renewables and waste,H7_Vaccination policy,Senegal,SEN,27.93987,percent of total energy,2014.0
33,Governance,Personal Freedom Score ,H7_Vaccination policy,Senegal,SEN,7.05,score,2018.0
34,Health,Mortality due to COVID-19,H7_Vaccination policy,Senegal,SEN,357.0,"Number (cumulative total by Dec 26,2020)",2020.0
35,Environment,"PM2.5 air pollution, mean annual exposure",H7_Vaccination policy,Senegal,SEN,40.69583,micrograms per cubic meter,2017.0
36,Demographics,Mobile cellular subscriptions,H7_Vaccination policy,Senegal,SEN,109.721,per 100 people,2019.0
37,Social issues ,Proportion of seats held by women in national parliaments (%),H7_Vaccination policy,Senegal,SEN,43.03030303,proportion,2020.0
38,Governance,Fragile States Index Total ,H7_Vaccination policy,Senegal,SEN,74.5646477541905,score,2020.0
39,Governance,Economic Freedom Score,H7_Vaccination policy,Senegal,SEN,6.27,score,2018.0
40,Health,"Prevalence of stunting, height for age (modeled estimate, % of children under 5)",H7_Vaccination policy,Senegal,SEN,17.2,percent,2020.0
41,Environment,"Energy imports, net ",H7_Vaccination policy,Senegal,SEN,52.69248699066511,percent of energy use,2014.0
42,Health,"Prevalence of HIV, total (% of population ages 15-49)",H7_Vaccination policy,Senegal,SEN,0.4,percent,2019.0
45,Health,Prevalence of chronic kidney disease,H7_Vaccination policy,Senegal,SEN,0.04214,percent,2019.0
47,Environment,"Adjusted net savings, including particulate emission damage",H7_Vaccination policy,Senegal,SEN,12.5116043173186,percent of GNI,2018.0
48,Environment,CO2 emissions (metric tons per capita),H7_Vaccination policy,Senegal,SEN,0.727113,metric tons per capita,2016.0
49,Economics,Volume of exports,H7_Vaccination policy,Senegal,SEN,10.267,percent change,2020.0
50,Social issues ,Proportion of women in managerial positions (%),H7_Vaccination policy,Senegal,SEN,23.16,percent,2015.0
51,Health,Prevalence of down syndrome,H7_Vaccination policy,Senegal,SEN,0.000182,percent,2019.0
52,Health,"Prevalence of overweight (modeled estimate, % of children under 5)",H7_Vaccination policy,Senegal,SEN,2.1,percent,2020.0
53,Social issues ,Life Ladder ,H7_Vaccination policy,Senegal,SEN,5.131800174713135,score,2021.0
55,Governance,Aggregate score for the Political Rights category,H7_Vaccination policy,Senegal,SEN,29.0,score,2021.0
56,Governance,Control of corruption estimate,H7_Vaccination policy,Senegal,SEN,0.0484844,score,2019.0
58,Environment,Electricity production from coal sources ,H7_Vaccination policy,Senegal,SEN,0.0,percent of total,2015.0
61,Environment,Electricity production from nuclear sources ,H7_Vaccination policy,Senegal,SEN,0.0,percent of total,2014.0
63,Environment,"Electricity production from oil, gas and coal sources",H7_Vaccination policy,Senegal,SEN,87.78761061946902,percent of total,2015.0
65,Health,Prevalence of Depressive disorders,H7_Vaccination policy,Senegal,SEN,0.031523,percent,2019.0
66,Environment,"PM2.5 air pollution, population exposed to levels exceeding WHO guideline value ",H7_Vaccination policy,Senegal,SEN,100.0,percent of total,2017.0
67,Health,"Immunization, DPT (% of children ages 12-23 months)",H7_Vaccination policy,Senegal,SEN,93.0,percent,2019.0
69,Health,Prevalence of Hypertensive heart disease,H7_Vaccination policy,Senegal,SEN,0.001144,percent,2019.0
70,Health,Prevalence of Diabetes,H7_Vaccination policy,Senegal,SEN,0.031612,percent,2019.0
72,Health,"Nurses and midwives (per 1,000 people)",H7_Vaccination policy,Senegal,SEN,0.3127,Ones,2017.0
73,Governance,Human Development Index,H7_Vaccination policy,Senegal,SEN,0.512,index,2019.0
74,Environment,Energy use (kg of oil equivalent per capita),H7_Vaccination policy,Senegal,SEN,279.2105896048398,kg of oil equivalent per capita,2014.0
78,Governance,"CPIA transparency, accountability, and corruption in the public sector rating (1=low to 6=high)",H7_Vaccination policy,Senegal,SEN,3.5,rating,2019.0
80,Social issues ,"Intentional homicides (per 100,000 people)",H7_Vaccination policy,Senegal,SEN,0.26751815179,"proportion, pero 100,000 people",2015.0
81,Economics,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",H7_Vaccination policy,Senegal,SEN,35.1030006,Percentage of females of the total population,2020.0
82,Governance,Voice and accountability estimate,H7_Vaccination policy,Senegal,SEN,0.2603854,score,2019.0
84,Governance,Government effectiveness estimate,H7_Vaccination policy,Senegal,SEN,-0.0573694,score,2019.0
87,Health,"Immunization, measles (% of children ages 12-23 months)",H7_Vaccination policy,Senegal,SEN,90.0,percent,2019.0
88,Environment,Access to electricity ,H7_Vaccination policy,Senegal,SEN,66.9594497680664,percent of population,2018.0
90,Governance,Human Freedom Score ,H7_Vaccination policy,Senegal,SEN,6.66,score,2018.0
91,Environment,Energy use ,H7_Vaccination policy,Senegal,SEN,97.34297904876738,"(kg of oil equivalent) per $1,000 GDP (constant 2017 PPP)",2014.0
94,Environment,"Electricity production from renewable sources, excluding hydroelectric",H7_Vaccination policy,Senegal,SEN,70000000.0,kWh,2015.0
97,Governance,Regulatory quality estimate,H7_Vaccination policy,Senegal,SEN,-0.1122398,score,2019.0
