rank,Category,Indicator,Policy,Country,ISO,value,unit,year
1,Demographics,Individuals using the Internet,H7_Vaccination policy,Bhutan,BTN,48.1064,percent of population,2019.0
2,Governance,Corruption Perceptions Index,H7_Vaccination policy,Bhutan,BTN,68.0,score,2020.0
3,Health,Prevalence of COVID-19,H7_Vaccination policy,Bhutan,BTN,443.0,"Number (cumulative total by Dec 26,2020)",2020.0
4,Economics,"Foreign direct investment, net",H7_Vaccination policy,Bhutan,BTN,13032400.0,US Dollar,2019.0
5,Demographics,Secure Internet servers ,H7_Vaccination policy,Bhutan,BTN,478.3171622818743,per 1 million people,2019.0
6,Governance,Serious assault (rate),H7_Vaccination policy,Bhutan,BTN,145.55,rate,2018.0
7,Social issues ,Press freedom score,H7_Vaccination policy,Bhutan,BTN,28.9,score,2020.0
9,Health,Prevalence of total cancers,H7_Vaccination policy,Bhutan,BTN,0.002882,percent,2019.0
10,Demographics,Fixed telephone subscriptions,H7_Vaccination policy,Bhutan,BTN,21581.0,number,2019.0
11,Health,Domestic General Government Health Expenditure (GGHE-D) as % General Government Expenditure (GGE),H7_Vaccination policy,Bhutan,BTN,2.4,percent,2018.0
12,Social issues ,Life Ladder ,H7_Vaccination policy,Bhutan,BTN,5.082128524780273,score,2015.0
13,Health,"Incidence of tuberculosis (per 100,000 people)",H7_Vaccination policy,Bhutan,BTN,165.0,Cases,2019.0
14,Environment,Renewable energy consumption ,H7_Vaccination policy,Bhutan,BTN,86.9045483179462,percent of total final energy consumption,2015.0
15,Health,Prevalence of Respiratory infections and tuberculosis,H7_Vaccination policy,Bhutan,BTN,0.107158,percent,2019.0
16,Economics,Employment in services (% of total employment) (modeled ILO estimate),H7_Vaccination policy,Bhutan,BTN,34.3089981,Percentage of total employment,2020.0
17,Environment,"PM2.5 air pollution, mean annual exposure",H7_Vaccination policy,Bhutan,BTN,37.9265,micrograms per cubic meter,2017.0
18,Health,Prevalence of Diabetes,H7_Vaccination policy,Bhutan,BTN,0.046305,percent,2019.0
19,Demographics,Fixed broadband subscriptions,H7_Vaccination policy,Bhutan,BTN,1.1498,per 100 people,2019.0
20,Environment,CO2 emissions (kt),H7_Vaccination policy,Bhutan,BTN,1261.448,kt,2016.0
21,Health,Summary exposure value tobacco,H7_Vaccination policy,Bhutan,BTN,12.4347,Rate (risk-weighted prevalence),2019.0
22,Economics,Volume of exports,H7_Vaccination policy,Bhutan,BTN,3.855,percent change,2020.0
23,Social issues ,Net migration,H7_Vaccination policy,Bhutan,BTN,1600.0,net total / data are 5 year estimates,2019.0
24,Economics,"Unemployment, total (% of total labor force) (modeled ILO estimate)",H7_Vaccination policy,Bhutan,BTN,2.3900001,percent of total labor force,2020.0
26,Health,Prevalence of anxiety disorders,H7_Vaccination policy,Bhutan,BTN,0.034558,percent,2019.0
