rank,Category,Indicator,Policy,Country,ISO,value,unit,year
1,Demographics,Individuals using the Internet,H2_Testing policy,Djibouti,DJI,55.6814,percent of population,2019.0
2,Health,Prevalence of Respiratory infections and tuberculosis,H2_Testing policy,Djibouti,DJI,0.227321,percent,2019.0
3,Demographics,Fixed telephone subscriptions,H2_Testing policy,Djibouti,DJI,36855.0,number,2019.0
4,Health,Prevalence of COVID-19,H2_Testing policy,Djibouti,DJI,5780.0,"Number (cumulative total by Dec 26,2020)",2020.0
5,Health,Prevalence of Hypertensive heart disease,H2_Testing policy,Djibouti,DJI,0.001395,percent,2019.0
7,Health,Domestic General Government Health Expenditure (GGHE-D) as % General Government Expenditure (GGE),H2_Testing policy,Djibouti,DJI,1.2,percent,2018.0
8,Health,"Nurses and midwives (per 1,000 people)",H2_Testing policy,Djibouti,DJI,0.7288,Ones,2014.0
9,Demographics,Fixed broadband subscriptions,H2_Testing policy,Djibouti,DJI,2.66007,per 100 people,2019.0
12,Economics,Volume of imports,H2_Testing policy,Djibouti,DJI,5.511,percent change,2020.0
13,Governance,Government effectiveness estimate,H2_Testing policy,Djibouti,DJI,-0.7133427,score,2019.0
15,Health,Prevalence of total cancers,H2_Testing policy,Djibouti,DJI,0.003174,percent,2019.0
16,Governance,Control of corruption estimate,H2_Testing policy,Djibouti,DJI,-0.8556599,score,2019.0
17,Demographics,Mobile cellular subscriptions,H2_Testing policy,Djibouti,DJI,41.1959,per 100 people,2019.0
18,Economics,Employment in services (% of total employment) (modeled ILO estimate),H2_Testing policy,Djibouti,DJI,54.3419991,Percentage of total employment,2020.0
20,Social issues ,Net migration,H2_Testing policy,Djibouti,DJI,4501.0,net total / data are 5 year estimates,2019.0
21,Health,Prevalence of down syndrome,H2_Testing policy,Djibouti,DJI,0.000147,percent,2019.0
22,Social issues ,Gini index (World Bank estimate),H2_Testing policy,Djibouti,DJI,41.6,index ,2017.0
23,Environment,CO2 emissions (metric tons per capita),H2_Testing policy,Djibouti,DJI,0.667006,metric tons per capita,2016.0
24,Health,Mortality due to COVID-19,H2_Testing policy,Djibouti,DJI,61.0,"Number (cumulative total by Dec 26,2020)",2020.0
26,Health,Prevalence of chronic kidney disease,H2_Testing policy,Djibouti,DJI,0.044811,percent,2019.0
28,Health,"Physicians (per 1,000 people)",H2_Testing policy,Djibouti,DJI,0.2237,Ones,2014.0
29,Economics,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",H2_Testing policy,Djibouti,DJI,50.7799988,Percentage of females of the total population,2020.0
31,Demographics,Secure Internet servers ,H2_Testing policy,Djibouti,DJI,45.19495459961379,per 1 million people,2019.0
33,Health,Prevalence of anxiety disorders,H2_Testing policy,Djibouti,DJI,0.032784,percent,2019.0
34,Health,Prevalence of obesity,H2_Testing policy,Djibouti,DJI,13.5,percent,2016.0
35,Environment,"Adjusted net savings, including particulate emission damage",H2_Testing policy,Djibouti,DJI,40.8492668945346,percent of GNI,2018.0
36,Health,"Immunization, measles (% of children ages 12-23 months)",H2_Testing policy,Djibouti,DJI,83.0,percent,2019.0
39,Health,"Immunization, DPT (% of children ages 12-23 months)",H2_Testing policy,Djibouti,DJI,85.0,percent,2019.0
40,Health,"Prevalence of HIV, total (% of population ages 15-49)",H2_Testing policy,Djibouti,DJI,0.8,percent,2019.0
41,Economics,Volume of exports,H2_Testing policy,Djibouti,DJI,3.999,percent change,2020.0
42,Economics,"Unemployment, total (% of total labor force) (modeled ILO estimate)",H2_Testing policy,Djibouti,DJI,10.323,percent of total labor force,2020.0
45,Environment,Renewable energy consumption ,H2_Testing policy,Djibouti,DJI,15.3805952215024,percent of total final energy consumption,2015.0
46,Governance,Aggregate score for the Political Rights category,H2_Testing policy,Djibouti,DJI,5.0,score,2021.0
48,Governance,Rule of law estimate ,H2_Testing policy,Djibouti,DJI,-0.9144034,score,2019.0
49,Health,"Prevalence of stunting, height for age (modeled estimate, % of children under 5)",H2_Testing policy,Djibouti,DJI,34.0,percent,2020.0
50,Health,Prevalence of Depressive disorders,H2_Testing policy,Djibouti,DJI,0.040094,percent,2019.0
51,Governance,Total freedom in the world score ,H2_Testing policy,Djibouti,DJI,24.0,score,2021.0
54,Governance,Fragile States Index Total ,H2_Testing policy,Djibouti,DJI,82.72548312161723,score,2020.0
55,Environment,CO2 emissions (kt),H2_Testing policy,Djibouti,DJI,619.723,kt,2016.0
56,Environment,"PM2.5 air pollution, mean annual exposure",H2_Testing policy,Djibouti,DJI,45.54962,micrograms per cubic meter,2017.0
58,Social issues ,Proportion of seats held by women in national parliaments (%),H2_Testing policy,Djibouti,DJI,26.15384615,proportion,2020.0
59,Health,"Incidence of tuberculosis (per 100,000 people)",H2_Testing policy,Djibouti,DJI,234.0,Cases,2019.0
60,Governance,Human Development Index,H2_Testing policy,Djibouti,DJI,0.524,index,2019.0
64,Governance,Corruption Perceptions Index,H2_Testing policy,Djibouti,DJI,27.0,score,2020.0
65,Governance,Regulatory quality estimate,H2_Testing policy,Djibouti,DJI,-0.7717019,score,2019.0
70,Governance,"CPIA transparency, accountability, and corruption in the public sector rating (1=low to 6=high)",H2_Testing policy,Djibouti,DJI,2.5,rating,2019.0
72,Environment,Access to electricity ,H2_Testing policy,Djibouti,DJI,60.3954467773438,percent of population,2018.0
73,Health,Prevalence of Diabetes,H2_Testing policy,Djibouti,DJI,0.023558,percent,2019.0
74,Health,"Prevalence of overweight (modeled estimate, % of children under 5)",H2_Testing policy,Djibouti,DJI,7.2,percent,2020.0
77,Governance,Voice and accountability estimate,H2_Testing policy,Djibouti,DJI,-1.406525,score,2019.0
79,Governance,Aggregate score for the Civil Liberties category,H2_Testing policy,Djibouti,DJI,19.0,score,2021.0
80,Health,Summary exposure value tobacco,H2_Testing policy,Djibouti,DJI,23.46939,Rate (risk-weighted prevalence),2019.0
83,Economics,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",H2_Testing policy,Djibouti,DJI,60.2659988,Percentage of total population,2020.0
91,Social issues ,Press freedom score,H2_Testing policy,Djibouti,DJI,76.73,score,2020.0
92,Governance,Political stability and absence of violence/terrorism estimate,H2_Testing policy,Djibouti,DJI,-0.3445927,score,2019.0
108,Environment,"PM2.5 air pollution, population exposed to levels exceeding WHO guideline value ",H2_Testing policy,Djibouti,DJI,100.0,percent of total,2017.0
