rank,Category,Indicator,Policy,Country,ISO,value,unit,year
2,Health,Prevalence of Respiratory infections and tuberculosis,H2_Testing policy,Palau,PLW,0.349381,percent,2019.0
3,Health,Prevalence of COVID-19,H2_Testing policy,Palau,PLW,0.0,"Number (cumulative total by Dec 26,2020)",2020.0
4,Demographics,Fixed telephone subscriptions,H2_Testing policy,Palau,PLW,7204.0,number,2019.0
7,Health,"Incidence of tuberculosis (per 100,000 people)",H2_Testing policy,Palau,PLW,38.0,Cases,2019.0
8,Health,"Immunization, measles (% of children ages 12-23 months)",H2_Testing policy,Palau,PLW,97.0,percent,2019.0
9,Social issues ,Proportion of women in managerial positions (%),H2_Testing policy,Palau,PLW,29.93,percent,2014.0
10,Governance,Control of corruption estimate,H2_Testing policy,Palau,PLW,-0.4493027,score,2019.0
11,Health,Domestic General Government Health Expenditure (GGHE-D) as % General Government Expenditure (GGE),H2_Testing policy,Palau,PLW,6.4,percent,2018.0
12,Social issues ,"Literacy rate, adult total (% of people ages 15 and above)",H2_Testing policy,Palau,PLW,96.5937423706055,proportion,2015.0
14,Demographics,Mobile cellular subscriptions,H2_Testing policy,Palau,PLW,134.407,per 100 people,2019.0
15,Economics,"Central government debt, total",H2_Testing policy,Palau,PLW,68.7028397772155,percent of GDP,2016.0
16,Demographics,Fixed broadband subscriptions,H2_Testing policy,Palau,PLW,6.92896,per 100 people,2019.0
17,Governance,Rule of law estimate ,H2_Testing policy,Palau,PLW,0.3144576,score,2019.0
18,Social issues ,"Intentional homicides (per 100,000 people)",H2_Testing policy,Palau,PLW,11.166322372,"proportion, pero 100,000 people",2018.0
21,Health,Prevalence of chronic kidney disease,H2_Testing policy,Palau,PLW,0.148389,percent,2019.0
24,Health,Prevalence of Diabetes,H2_Testing policy,Palau,PLW,0.181243,percent,2019.0
25,Health,Prevalence of down syndrome,H2_Testing policy,Palau,PLW,0.000102,percent,2019.0
28,Health,Summary exposure value tobacco,H2_Testing policy,Palau,PLW,22.78077,Rate (risk-weighted prevalence),2019.0
31,Demographics,Secure Internet servers ,H2_Testing policy,Palau,PLW,721.901377165704,per 1 million people,2019.0
34,Health,"Physicians (per 1,000 people)",H2_Testing policy,Palau,PLW,1.4205,Ones,2014.0
37,Health,Prevalence of anxiety disorders,H2_Testing policy,Palau,PLW,0.044062,percent,2019.0
39,Health,Prevalence of Hypertensive heart disease,H2_Testing policy,Palau,PLW,0.000787,percent,2019.0
40,Health,Prevalence of Depressive disorders,H2_Testing policy,Palau,PLW,0.037978,percent,2019.0
47,Health,"Immunization, DPT (% of children ages 12-23 months)",H2_Testing policy,Palau,PLW,97.0,percent,2019.0
49,Economics,Volume of imports,H2_Testing policy,Palau,PLW,2.265,percent change,2020.0
52,Governance,Total freedom in the world score ,H2_Testing policy,Palau,PLW,92.0,score,2021.0
54,Governance,Aggregate score for the Civil Liberties category,H2_Testing policy,Palau,PLW,55.0,score,2021.0
60,Economics,Volume of exports,H2_Testing policy,Palau,PLW,7.35,percent change,2020.0
61,Governance,Regulatory quality estimate,H2_Testing policy,Palau,PLW,-0.007541,score,2019.0
62,Environment,CO2 emissions (metric tons per capita),H2_Testing policy,Palau,PLW,12.61986,metric tons per capita,2016.0
65,Health,Prevalence of total cancers,H2_Testing policy,Palau,PLW,0.014518,percent,2019.0
66,Health,Prevalence of obesity,H2_Testing policy,Palau,PLW,55.3,percent,2016.0
68,Demographics,People using at least basic sanitation services (% of population),H2_Testing policy,Palau,PLW,99.9999978055265,proportion,2017.0
71,Governance,Political stability and absence of violence/terrorism estimate,H2_Testing policy,Palau,PLW,0.8625854,score,2019.0
76,Health,"Nurses and midwives (per 1,000 people)",H2_Testing policy,Palau,PLW,7.2626,Ones,2018.0
77,Environment,Renewable energy consumption ,H2_Testing policy,Palau,PLW,0.0,percent of total final energy consumption,2015.0
78,Social issues ,"Primary completion rate, total (% of relevant age group)",H2_Testing policy,Palau,PLW,100.429176330566,proportion,2014.0
79,Governance,Human Development Index,H2_Testing policy,Palau,PLW,0.826,index,2019.0
80,Environment,Access to electricity ,H2_Testing policy,Palau,PLW,100.0,percent of population,2018.0
81,Social issues ,Proportion of seats held by women in national parliaments (%),H2_Testing policy,Palau,PLW,12.5,proportion,2020.0
83,Health,Mortality due to COVID-19,H2_Testing policy,Palau,PLW,0.0,"Number (cumulative total by Dec 26,2020)",2020.0
84,Environment,CO2 emissions (kt),H2_Testing policy,Palau,PLW,223.687,kt,2016.0
85,Governance,Aggregate score for the Political Rights category,H2_Testing policy,Palau,PLW,37.0,score,2021.0
86,Governance,Government effectiveness estimate,H2_Testing policy,Palau,PLW,-0.0454221,score,2019.0
87,Economics,"Foreign direct investment, net",H2_Testing policy,Palau,PLW,21500000.0,US Dollar,2018.0
90,Economics,"International tourism, receipts",H2_Testing policy,Palau,PLW,116000000.0,US Dollar,2017.0
92,Demographics,Rural population (% of total population),H2_Testing policy,Palau,PLW,19.53,proportion,2019.0
98,Demographics,"Population, total",H2_Testing policy,Palau,PLW,18008.0,total,2019.0
104,Governance,Voice and accountability estimate,H2_Testing policy,Palau,PLW,1.094265,score,2019.0
105,Demographics,Urban population (% of total population),H2_Testing policy,Palau,PLW,80.47,total,2019.0
107,Economics,"Trade, total as % of GDP",H2_Testing policy,Palau,PLW,62.33859,percent,2015.0
