rank,Category,Indicator,Policy,Country,ISO,value,unit,year
1,Demographics,Individuals using the Internet,H2_Testing policy,Malta,MLT,85.7786,percent of population,2019.0
2,Health,Prevalence of Respiratory infections and tuberculosis,H2_Testing policy,Malta,MLT,0.124919,percent,2019.0
3,Demographics,Fixed telephone subscriptions,H2_Testing policy,Malta,MLT,257010.0,number,2019.0
4,Health,Prevalence of COVID-19,H2_Testing policy,Malta,MLT,11569.0,"Number (cumulative total by Dec 26,2020)",2020.0
5,Health,Prevalence of Hypertensive heart disease,H2_Testing policy,Malta,MLT,0.002887,percent,2019.0
6,Environment,Electricity production from oil sources,H2_Testing policy,Malta,MLT,92.32540291634689,percent of total,2015.0
7,Health,Domestic General Government Health Expenditure (GGHE-D) as % General Government Expenditure (GGE),H2_Testing policy,Malta,MLT,5.7,percent,2018.0
8,Health,"Nurses and midwives (per 1,000 people)",H2_Testing policy,Malta,MLT,9.4833,Ones,2018.0
9,Demographics,Fixed broadband subscriptions,H2_Testing policy,Malta,MLT,45.2438,per 100 people,2019.0
10,Environment,Electricity production from coal sources ,H2_Testing policy,Malta,MLT,0.0,percent of total,2015.0
12,Economics,Volume of imports,H2_Testing policy,Malta,MLT,1.87,percent change,2020.0
13,Governance,Government effectiveness estimate,H2_Testing policy,Malta,MLT,0.85842,score,2019.0
14,Environment,Combustible renewables and waste,H2_Testing policy,Malta,MLT,0.820107,percent of total energy,2014.0
15,Health,Prevalence of total cancers,H2_Testing policy,Malta,MLT,0.030422,percent,2019.0
16,Governance,Control of corruption estimate,H2_Testing policy,Malta,MLT,0.2393866,score,2019.0
17,Demographics,Mobile cellular subscriptions,H2_Testing policy,Malta,MLT,144.144,per 100 people,2019.0
18,Economics,Employment in services (% of total employment) (modeled ILO estimate),H2_Testing policy,Malta,MLT,81.0070038,Percentage of total employment,2020.0
19,Environment,Electricity production from nuclear sources ,H2_Testing policy,Malta,MLT,0.0,percent of total,2014.0
20,Social issues ,Net migration,H2_Testing policy,Malta,MLT,4501.0,net total / data are 5 year estimates,2019.0
21,Health,Prevalence of down syndrome,H2_Testing policy,Malta,MLT,0.000799,percent,2019.0
22,Social issues ,Gini index (World Bank estimate),H2_Testing policy,Malta,MLT,29.2,index ,2017.0
23,Environment,CO2 emissions (metric tons per capita),H2_Testing policy,Malta,MLT,2.947413,metric tons per capita,2016.0
24,Health,Mortality due to COVID-19,H2_Testing policy,Malta,MLT,183.0,"Number (cumulative total by Dec 26,2020)",2020.0
25,Environment,Energy use ,H2_Testing policy,Malta,MLT,47.47716103883568,"(kg of oil equivalent) per $1,000 GDP (constant 2017 PPP)",2014.0
26,Health,Prevalence of chronic kidney disease,H2_Testing policy,Malta,MLT,0.119103,percent,2019.0
27,Social issues ,"Intentional homicides (per 100,000 people)",H2_Testing policy,Malta,MLT,1.5936073579,"proportion, pero 100,000 people",2018.0
28,Health,"Physicians (per 1,000 people)",H2_Testing policy,Malta,MLT,2.8598,Ones,2015.0
29,Economics,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",H2_Testing policy,Malta,MLT,45.9280014,Percentage of females of the total population,2020.0
31,Demographics,Secure Internet servers ,H2_Testing policy,Malta,MLT,10870.32207109079,per 1 million people,2019.0
33,Health,Prevalence of anxiety disorders,H2_Testing policy,Malta,MLT,0.069691,percent,2019.0
34,Health,Prevalence of obesity,H2_Testing policy,Malta,MLT,28.9,percent,2016.0
36,Health,"Immunization, measles (% of children ages 12-23 months)",H2_Testing policy,Malta,MLT,96.0,percent,2019.0
38,Governance,Serious assault (rate),H2_Testing policy,Malta,MLT,41.66,rate,2018.0
39,Health,"Immunization, DPT (% of children ages 12-23 months)",H2_Testing policy,Malta,MLT,98.0,percent,2019.0
41,Economics,Volume of exports,H2_Testing policy,Malta,MLT,2.225,percent change,2020.0
42,Economics,"Unemployment, total (% of total labor force) (modeled ILO estimate)",H2_Testing policy,Malta,MLT,3.3670001,percent of total labor force,2020.0
44,Environment,Fossil fuel energy consumption,H2_Testing policy,Malta,MLT,97.78846,percent of total,2014.0
45,Environment,Renewable energy consumption ,H2_Testing policy,Malta,MLT,5.35500474641897,percent of total final energy consumption,2015.0
46,Governance,Aggregate score for the Political Rights category,H2_Testing policy,Malta,MLT,35.0,score,2021.0
47,Environment,"Electricity production from renewable sources, excluding hydroelectric",H2_Testing policy,Malta,MLT,100000000.0,kWh,2015.0
48,Governance,Rule of law estimate ,H2_Testing policy,Malta,MLT,0.9522323,score,2019.0
50,Health,Prevalence of Depressive disorders,H2_Testing policy,Malta,MLT,0.039451,percent,2019.0
51,Governance,Total freedom in the world score ,H2_Testing policy,Malta,MLT,90.0,score,2021.0
53,Social issues ,Proportion of women in managerial positions (%),H2_Testing policy,Malta,MLT,28.9,percent,2018.0
54,Governance,Fragile States Index Total ,H2_Testing policy,Malta,MLT,33.593645802064856,score,2020.0
55,Environment,CO2 emissions (kt),H2_Testing policy,Malta,MLT,1342.122,kt,2016.0
56,Environment,"PM2.5 air pollution, mean annual exposure",H2_Testing policy,Malta,MLT,13.90954,micrograms per cubic meter,2017.0
57,Social issues ,Life Ladder ,H2_Testing policy,Malta,MLT,6.6020002365112305,score,2021.0
58,Social issues ,Proportion of seats held by women in national parliaments (%),H2_Testing policy,Malta,MLT,13.43283582,proportion,2020.0
59,Health,"Incidence of tuberculosis (per 100,000 people)",H2_Testing policy,Malta,MLT,14.0,Cases,2019.0
60,Governance,Human Development Index,H2_Testing policy,Malta,MLT,0.895,index,2019.0
63,Governance,Economic Freedom Score,H2_Testing policy,Malta,MLT,7.94,score,2018.0
64,Governance,Corruption Perceptions Index,H2_Testing policy,Malta,MLT,53.0,score,2020.0
65,Governance,Regulatory quality estimate,H2_Testing policy,Malta,MLT,0.9556454,score,2019.0
68,Governance,Human Freedom Score ,H2_Testing policy,Malta,MLT,8.33,score,2018.0
69,Environment,Electric power consumption ,H2_Testing policy,Malta,MLT,4924.544019440443,kWh per capita,2014.0
72,Environment,Access to electricity ,H2_Testing policy,Malta,MLT,100.0,percent of population,2018.0
73,Health,Prevalence of Diabetes,H2_Testing policy,Malta,MLT,0.12449,percent,2019.0
77,Governance,Voice and accountability estimate,H2_Testing policy,Malta,MLT,1.110597,score,2019.0
79,Governance,Aggregate score for the Civil Liberties category,H2_Testing policy,Malta,MLT,55.0,score,2021.0
80,Health,Summary exposure value tobacco,H2_Testing policy,Malta,MLT,25.34354,Rate (risk-weighted prevalence),2019.0
81,Environment,"Energy imports, net ",H2_Testing policy,Malta,MLT,98.38148616512974,percent of energy use,2014.0
83,Economics,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",H2_Testing policy,Malta,MLT,56.3269997,Percentage of total population,2020.0
86,Environment,"Electricity production from oil, gas and coal sources",H2_Testing policy,Malta,MLT,92.32540291634689,percent of total,2015.0
88,Environment,Energy use (kg of oil equivalent per capita),H2_Testing policy,Malta,MLT,1781.504425186051,kg of oil equivalent per capita,2014.0
