rank,Category,Indicator,Policy,Country,ISO,value,unit,year
1,Demographics,Individuals using the Internet,H1_Public information campaigns,Japan,JPN,84.5881,percent of population,2019.0
2,Demographics,Fixed telephone subscriptions,H1_Public information campaigns,Japan,JPN,63442800.0,number,2019.0
3,Health,Prevalence of Respiratory infections and tuberculosis,H1_Public information campaigns,Japan,JPN,0.222438,percent,2019.0
4,Health,Prevalence of COVID-19,H1_Public information campaigns,Japan,JPN,193031.0,"Number (cumulative total by Dec 26,2020)",2020.0
5,Governance,Rule of law estimate ,H1_Public information campaigns,Japan,JPN,1.537965,score,2019.0
6,Environment,Electricity production from oil sources,H1_Public information campaigns,Japan,JPN,7.519420129705795,percent of total,2015.0
7,Environment,Fossil fuel energy consumption,H1_Public information campaigns,Japan,JPN,93.02646,percent of total,2015.0
8,Health,Prevalence of chronic kidney disease,H1_Public information campaigns,Japan,JPN,0.201751,percent,2019.0
9,Governance,Human Freedom Score ,H1_Public information campaigns,Japan,JPN,8.49,score,2018.0
10,Environment,Energy use (kg of oil equivalent per capita),H1_Public information campaigns,Japan,JPN,3428.557216004279,kg of oil equivalent per capita,2015.0
11,Governance,Economic Freedom Score,H1_Public information campaigns,Japan,JPN,7.88,score,2018.0
12,Environment,"PM2.5 air pollution, mean annual exposure",H1_Public information campaigns,Japan,JPN,11.70478,micrograms per cubic meter,2017.0
13,Demographics,Fixed broadband subscriptions,H1_Public information campaigns,Japan,JPN,32.162,per 100 people,2019.0
14,Health,"Prevalence of overweight (modeled estimate, % of children under 5)",H1_Public information campaigns,Japan,JPN,2.4,percent,2020.0
15,Health,"Incidence of tuberculosis (per 100,000 people)",H1_Public information campaigns,Japan,JPN,13.0,Cases,2019.0
16,Economics,"Central government debt, total",H1_Public information campaigns,Japan,JPN,196.5816940447835,percent of GDP,2016.0
17,Social issues ,Net migration,H1_Public information campaigns,Japan,JPN,357800.0,net total / data are 5 year estimates,2019.0
18,Economics,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",H1_Public information campaigns,Japan,JPN,52.7029991,Percentage of females of the total population,2020.0
19,Governance,Corruption Perceptions Index,H1_Public information campaigns,Japan,JPN,74.0,score,2020.0
20,Environment,"PM2.5 air pollution, population exposed to levels exceeding WHO guideline value ",H1_Public information campaigns,Japan,JPN,76.7615082281987,percent of total,2017.0
21,Health,Prevalence of Diabetes,H1_Public information campaigns,Japan,JPN,0.076043,percent,2019.0
22,Environment,Electricity production from coal sources ,H1_Public information campaigns,Japan,JPN,33.15273562543347,percent of total,2015.0
23,Health,Prevalence of anxiety disorders,H1_Public information campaigns,Japan,JPN,0.025458,percent,2019.0
24,Environment,CO2 emissions (metric tons per capita),H1_Public information campaigns,Japan,JPN,8.944373,metric tons per capita,2016.0
25,Social issues ,Proportion of women in managerial positions (%),H1_Public information campaigns,Japan,JPN,14.93,percent,2018.0
26,Governance,Fragile States Index Total ,H1_Public information campaigns,Japan,JPN,32.332289117028274,score,2020.0
27,Governance,Aggregate score for the Political Rights category,H1_Public information campaigns,Japan,JPN,40.0,score,2021.0
28,Economics,Volume of exports,H1_Public information campaigns,Japan,JPN,2.51,percent change,2020.0
29,Environment,Electricity production from nuclear sources ,H1_Public information campaigns,Japan,JPN,0.9115531660462143,percent of total,2015.0
30,Health,Prevalence of obesity,H1_Public information campaigns,Japan,JPN,4.3,percent,2016.0
31,Health,Summary exposure value tobacco,H1_Public information campaigns,Japan,JPN,23.29695,Rate (risk-weighted prevalence),2019.0
34,Governance,Voice and accountability estimate,H1_Public information campaigns,Japan,JPN,0.9595044,score,2019.0
35,Environment,CO2 emissions (kt),H1_Public information campaigns,Japan,JPN,1135886.0,kt,2016.0
36,Economics,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",H1_Public information campaigns,Japan,JPN,61.5750008,Percentage of total population,2020.0
38,Economics,"Foreign direct investment, net",H1_Public information campaigns,Japan,JPN,37176832960.0,US Dollar,2019.0
39,Health,"Prevalence of stunting, height for age (modeled estimate, % of children under 5)",H1_Public information campaigns,Japan,JPN,5.5,percent,2020.0
40,Social issues ,Proportion of seats held by women in national parliaments (%),H1_Public information campaigns,Japan,JPN,9.892473118,proportion,2020.0
41,Health,Prevalence of Depressive disorders,H1_Public information campaigns,Japan,JPN,0.026608,percent,2019.0
42,Governance,Political stability and absence of violence/terrorism estimate,H1_Public information campaigns,Japan,JPN,1.041225,score,2019.0
43,Demographics,Rural population (% of total population),H1_Public information campaigns,Japan,JPN,8.302000000000007,proportion,2019.0
44,Environment,"Energy imports, net ",H1_Public information campaigns,Japan,JPN,93.01912813954318,percent of energy use,2015.0
45,Demographics,Mobile cellular subscriptions,H1_Public information campaigns,Japan,JPN,139.201,per 100 people,2019.0
46,Social issues ,"Intentional homicides (per 100,000 people)",H1_Public information campaigns,Japan,JPN,0.26257409562,"proportion, pero 100,000 people",2018.0
47,Governance,Human Development Index,H1_Public information campaigns,Japan,JPN,0.919,index,2019.0
48,Governance,Total freedom in the world score ,H1_Public information campaigns,Japan,JPN,96.0,score,2021.0
49,Demographics,Secure Internet servers ,H1_Public information campaigns,Japan,JPN,18701.35263448566,per 1 million people,2019.0
50,Environment,Energy use ,H1_Public information campaigns,Japan,JPN,86.42052960804294,"(kg of oil equivalent) per $1,000 GDP (constant 2017 PPP)",2015.0
51,Environment,Renewable energy consumption ,H1_Public information campaigns,Japan,JPN,6.29735708059289,percent of total final energy consumption,2015.0
52,Governance,Control of corruption estimate,H1_Public information campaigns,Japan,JPN,1.475332,score,2019.0
53,Economics,"Unemployment, total (% of total labor force) (modeled ILO estimate)",H1_Public information campaigns,Japan,JPN,2.33899999,percent of total labor force,2020.0
54,Environment,Electric power consumption ,H1_Public information campaigns,Japan,JPN,7819.714635909362,kWh per capita,2014.0
55,Social issues ,Life Ladder ,H1_Public information campaigns,Japan,JPN,5.940499782562256,score,2021.0
56,Health,Prevalence of total cancers,H1_Public information campaigns,Japan,JPN,0.035415,percent,2019.0
57,Health,"Immunization, DPT (% of children ages 12-23 months)",H1_Public information campaigns,Japan,JPN,98.0,percent,2019.0
59,Economics,"International tourism, receipts",H1_Public information campaigns,Japan,JPN,46054000000.0,US Dollar,2019.0
60,Health,Prevalence of down syndrome,H1_Public information campaigns,Japan,JPN,0.000365,percent,2019.0
61,Social issues ,Proportion of population spending more than 10% of household consumption or income on out-of-pocket health care expenditure (%),H1_Public information campaigns,Japan,JPN,4.36325408518314,proportion,2015.0
62,Environment,"Adjusted net savings, including particulate emission damage",H1_Public information campaigns,Japan,JPN,7.30820946012523,percent of GNI,2018.0
63,Economics,Employment in services (% of total employment) (modeled ILO estimate),H1_Public information campaigns,Japan,JPN,72.5739975,Percentage of total employment,2020.0
65,Health,"Immunization, measles (% of children ages 12-23 months)",H1_Public information campaigns,Japan,JPN,96.0,percent,2019.0
66,Demographics,"Age dependency ratio, old (% of working-age population)",H1_Public information campaigns,Japan,JPN,47.1217280690744,proportion,2019.0
67,Governance,Personal Freedom Score ,H1_Public information campaigns,Japan,JPN,9.1,score,2018.0
68,Environment,Combustible renewables and waste,H1_Public information campaigns,Japan,JPN,1.159612,percent of total energy,2015.0
69,Economics,Expenditure on social protection (% of GDP),H1_Public information campaigns,Japan,JPN,2.61329,percent,2018.0
70,Governance,Aggregate score for the Civil Liberties category,H1_Public information campaigns,Japan,JPN,56.0,score,2021.0
71,Demographics,Age dependency ratio (% of working-age population),H1_Public information campaigns,Japan,JPN,68.27957078097303,proportion,2019.0
72,Environment,Access to electricity ,H1_Public information campaigns,Japan,JPN,100.0,percent of population,2018.0
73,Health,"Nurses and midwives (per 1,000 people)",H1_Public information campaigns,Japan,JPN,12.1531,Ones,2018.0
75,Health,Mortality due to COVID-19,H1_Public information campaigns,Japan,JPN,2828.0,"Number (cumulative total by Dec 26,2020)",2020.0
76,Governance,Government effectiveness estimate,H1_Public information campaigns,Japan,JPN,1.586664,score,2019.0
78,Economics,Volume of imports,H1_Public information campaigns,Japan,JPN,1.678,percent change,2020.0
79,Social issues ,Progression to secondary school (%),H1_Public information campaigns,Japan,JPN,99.9955,proportion,2016.0
80,Demographics,"Population, total",H1_Public information campaigns,Japan,JPN,126264931.0,total,2019.0
83,Health,Hospital beds (per 10 000 population),H1_Public information campaigns,Japan,JPN,129.8,Ones,2018.0
84,Economics,Expenditure on education (% of GDP),H1_Public information campaigns,Japan,JPN,2.53911,percent,2018.0
85,Health,"Physicians (per 1,000 people)",H1_Public information campaigns,Japan,JPN,2.4115,Ones,2016.0
87,Governance,Serious assault (rate),H1_Public information campaigns,Japan,JPN,19.07,rate,2016.0
88,Demographics,Urban population (% of total population),H1_Public information campaigns,Japan,JPN,91.698,total,2019.0
89,Economics,Stock market capitalization (US$ million),H1_Public information campaigns,Japan,JPN,6191073290000.0,US Dollar,2019.0
