rank,Category,Indicator,Policy,Country,ISO,value,unit,year
1,Demographics,Individuals using the Internet,H1_Public information campaigns,Malawi,MWI,13.7822,percent of population,2019.0
2,Demographics,Fixed telephone subscriptions,H1_Public information campaigns,Malawi,MWI,13101.0,number,2019.0
3,Health,Prevalence of Respiratory infections and tuberculosis,H1_Public information campaigns,Malawi,MWI,0.182097,percent,2019.0
4,Health,Prevalence of COVID-19,H1_Public information campaigns,Malawi,MWI,6148.0,"Number (cumulative total by Dec 26,2020)",2020.0
5,Governance,Rule of law estimate ,H1_Public information campaigns,Malawi,MWI,-0.3311234,score,2019.0
8,Health,Prevalence of chronic kidney disease,H1_Public information campaigns,Malawi,MWI,0.053054,percent,2019.0
9,Governance,Human Freedom Score ,H1_Public information campaigns,Malawi,MWI,6.57,score,2018.0
11,Governance,Economic Freedom Score,H1_Public information campaigns,Malawi,MWI,5.79,score,2018.0
12,Environment,"PM2.5 air pollution, mean annual exposure",H1_Public information campaigns,Malawi,MWI,23.56592,micrograms per cubic meter,2017.0
13,Demographics,Fixed broadband subscriptions,H1_Public information campaigns,Malawi,MWI,0.0609703,per 100 people,2019.0
14,Health,"Prevalence of overweight (modeled estimate, % of children under 5)",H1_Public information campaigns,Malawi,MWI,4.7,percent,2020.0
15,Health,"Incidence of tuberculosis (per 100,000 people)",H1_Public information campaigns,Malawi,MWI,146.0,Cases,2019.0
16,Economics,"Central government debt, total",H1_Public information campaigns,Malawi,MWI,48.659564238322,percent of GDP,2017.0
17,Social issues ,Net migration,H1_Public information campaigns,Malawi,MWI,-80263.0,net total / data are 5 year estimates,2019.0
18,Economics,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",H1_Public information campaigns,Malawi,MWI,72.5749969,Percentage of females of the total population,2020.0
19,Governance,Corruption Perceptions Index,H1_Public information campaigns,Malawi,MWI,30.0,score,2020.0
20,Environment,"PM2.5 air pollution, population exposed to levels exceeding WHO guideline value ",H1_Public information campaigns,Malawi,MWI,100.0,percent of total,2017.0
21,Health,Prevalence of Diabetes,H1_Public information campaigns,Malawi,MWI,0.021223,percent,2019.0
23,Health,Prevalence of anxiety disorders,H1_Public information campaigns,Malawi,MWI,0.035406,percent,2019.0
24,Environment,CO2 emissions (metric tons per capita),H1_Public information campaigns,Malawi,MWI,0.075449,metric tons per capita,2016.0
26,Governance,Fragile States Index Total ,H1_Public information campaigns,Malawi,MWI,84.01636088313059,score,2020.0
27,Governance,Aggregate score for the Political Rights category,H1_Public information campaigns,Malawi,MWI,29.0,score,2021.0
28,Economics,Volume of exports,H1_Public information campaigns,Malawi,MWI,8.008,percent change,2020.0
30,Health,Prevalence of obesity,H1_Public information campaigns,Malawi,MWI,5.8,percent,2016.0
31,Health,Summary exposure value tobacco,H1_Public information campaigns,Malawi,MWI,11.73838,Rate (risk-weighted prevalence),2019.0
33,Health,"Prevalence of HIV, total (% of population ages 15-49)",H1_Public information campaigns,Malawi,MWI,8.9,percent,2019.0
34,Governance,Voice and accountability estimate,H1_Public information campaigns,Malawi,MWI,-0.0948665,score,2019.0
35,Environment,CO2 emissions (kt),H1_Public information campaigns,Malawi,MWI,1298.118,kt,2016.0
36,Economics,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",H1_Public information campaigns,Malawi,MWI,76.7949982,Percentage of total population,2020.0
37,Social issues ,Gini index (World Bank estimate),H1_Public information campaigns,Malawi,MWI,44.7,index ,2016.0
39,Health,"Prevalence of stunting, height for age (modeled estimate, % of children under 5)",H1_Public information campaigns,Malawi,MWI,37.0,percent,2020.0
40,Social issues ,Proportion of seats held by women in national parliaments (%),H1_Public information campaigns,Malawi,MWI,22.91666667,proportion,2020.0
41,Health,Prevalence of Depressive disorders,H1_Public information campaigns,Malawi,MWI,0.031007,percent,2019.0
42,Governance,Political stability and absence of violence/terrorism estimate,H1_Public information campaigns,Malawi,MWI,-0.2672529,score,2019.0
45,Demographics,Mobile cellular subscriptions,H1_Public information campaigns,Malawi,MWI,47.7811,per 100 people,2019.0
47,Governance,Human Development Index,H1_Public information campaigns,Malawi,MWI,0.483,index,2019.0
48,Governance,Total freedom in the world score ,H1_Public information campaigns,Malawi,MWI,66.0,score,2021.0
49,Demographics,Secure Internet servers ,H1_Public information campaigns,Malawi,MWI,16.37254507777683,per 1 million people,2019.0
51,Environment,Renewable energy consumption ,H1_Public information campaigns,Malawi,MWI,83.649433704296,percent of total final energy consumption,2015.0
52,Governance,Control of corruption estimate,H1_Public information campaigns,Malawi,MWI,-0.7811527,score,2019.0
53,Economics,"Unemployment, total (% of total labor force) (modeled ILO estimate)",H1_Public information campaigns,Malawi,MWI,5.67399979,percent of total labor force,2020.0
55,Social issues ,Life Ladder ,H1_Public information campaigns,Malawi,MWI,3.5999999046325684,score,2021.0
56,Health,Prevalence of total cancers,H1_Public information campaigns,Malawi,MWI,0.002546,percent,2019.0
57,Health,"Immunization, DPT (% of children ages 12-23 months)",H1_Public information campaigns,Malawi,MWI,95.0,percent,2019.0
60,Health,Prevalence of down syndrome,H1_Public information campaigns,Malawi,MWI,0.00018,percent,2019.0
62,Environment,"Adjusted net savings, including particulate emission damage",H1_Public information campaigns,Malawi,MWI,-6.31013881329563,percent of GNI,2018.0
63,Economics,Employment in services (% of total employment) (modeled ILO estimate),H1_Public information campaigns,Malawi,MWI,43.0180016,Percentage of total employment,2020.0
65,Health,"Immunization, measles (% of children ages 12-23 months)",H1_Public information campaigns,Malawi,MWI,92.0,percent,2019.0
67,Governance,Personal Freedom Score ,H1_Public information campaigns,Malawi,MWI,7.35,score,2018.0
70,Governance,Aggregate score for the Civil Liberties category,H1_Public information campaigns,Malawi,MWI,37.0,score,2021.0
72,Environment,Access to electricity ,H1_Public information campaigns,Malawi,MWI,18.02,percent of population,2018.0
73,Health,"Nurses and midwives (per 1,000 people)",H1_Public information campaigns,Malawi,MWI,0.4386,Ones,2018.0
74,Governance,"CPIA transparency, accountability, and corruption in the public sector rating (1=low to 6=high)",H1_Public information campaigns,Malawi,MWI,2.5,rating,2019.0
75,Health,Mortality due to COVID-19,H1_Public information campaigns,Malawi,MWI,187.0,"Number (cumulative total by Dec 26,2020)",2020.0
76,Governance,Government effectiveness estimate,H1_Public information campaigns,Malawi,MWI,-0.7494367,score,2019.0
78,Economics,Volume of imports,H1_Public information campaigns,Malawi,MWI,5.604,percent change,2020.0
85,Health,"Physicians (per 1,000 people)",H1_Public information campaigns,Malawi,MWI,0.0358,Ones,2018.0
99,Governance,Regulatory quality estimate,H1_Public information campaigns,Malawi,MWI,-0.7011955,score,2019.0
107,Social issues ,Press freedom score,H1_Public information campaigns,Malawi,MWI,29.32,score,2020.0
111,Health,Prevalence of Hypertensive heart disease,H1_Public information campaigns,Malawi,MWI,0.001044,percent,2019.0
113,Health,Domestic General Government Health Expenditure (GGHE-D) as % General Government Expenditure (GGE),H1_Public information campaigns,Malawi,MWI,2.7,percent,2018.0
