rank,Category,Indicator,Policy,Country,ISO,value,unit,year
1,Demographics,Individuals using the Internet,H1_Public information campaigns,Nepal,NPL,34.0,percent of population,2019.0
2,Demographics,Fixed telephone subscriptions,H1_Public information campaigns,Nepal,NPL,799368.0,number,2019.0
3,Health,Prevalence of Respiratory infections and tuberculosis,H1_Public information campaigns,Nepal,NPL,0.194965,percent,2019.0
4,Health,Prevalence of COVID-19,H1_Public information campaigns,Nepal,NPL,252474.0,"Number (cumulative total by Dec 26,2020)",2020.0
5,Governance,Rule of law estimate ,H1_Public information campaigns,Nepal,NPL,-0.5355341,score,2019.0
6,Environment,Electricity production from oil sources,H1_Public information campaigns,Nepal,NPL,0.0,percent of total,2015.0
7,Environment,Fossil fuel energy consumption,H1_Public information campaigns,Nepal,NPL,15.48268,percent of total,2014.0
8,Health,Prevalence of chronic kidney disease,H1_Public information campaigns,Nepal,NPL,0.064626,percent,2019.0
9,Governance,Human Freedom Score ,H1_Public information campaigns,Nepal,NPL,6.76,score,2018.0
10,Environment,Energy use (kg of oil equivalent per capita),H1_Public information campaigns,Nepal,NPL,434.4492938360926,kg of oil equivalent per capita,2014.0
11,Governance,Economic Freedom Score,H1_Public information campaigns,Nepal,NPL,6.48,score,2018.0
12,Environment,"PM2.5 air pollution, mean annual exposure",H1_Public information campaigns,Nepal,NPL,99.73437,micrograms per cubic meter,2017.0
13,Demographics,Fixed broadband subscriptions,H1_Public information campaigns,Nepal,NPL,2.8188,per 100 people,2019.0
14,Health,"Prevalence of overweight (modeled estimate, % of children under 5)",H1_Public information campaigns,Nepal,NPL,1.8,percent,2020.0
15,Health,"Incidence of tuberculosis (per 100,000 people)",H1_Public information campaigns,Nepal,NPL,238.0,Cases,2019.0
17,Social issues ,Net migration,H1_Public information campaigns,Nepal,NPL,208549.0,net total / data are 5 year estimates,2019.0
18,Economics,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",H1_Public information campaigns,Nepal,NPL,82.8929977,Percentage of females of the total population,2020.0
19,Governance,Corruption Perceptions Index,H1_Public information campaigns,Nepal,NPL,33.0,score,2020.0
20,Environment,"PM2.5 air pollution, population exposed to levels exceeding WHO guideline value ",H1_Public information campaigns,Nepal,NPL,100.0,percent of total,2017.0
21,Health,Prevalence of Diabetes,H1_Public information campaigns,Nepal,NPL,0.048158,percent,2019.0
22,Environment,Electricity production from coal sources ,H1_Public information campaigns,Nepal,NPL,0.0,percent of total,2015.0
23,Health,Prevalence of anxiety disorders,H1_Public information campaigns,Nepal,NPL,0.032948,percent,2019.0
24,Environment,CO2 emissions (metric tons per capita),H1_Public information campaigns,Nepal,NPL,0.333998,metric tons per capita,2016.0
25,Social issues ,Proportion of women in managerial positions (%),H1_Public information campaigns,Nepal,NPL,13.17,percent,2017.0
26,Governance,Fragile States Index Total ,H1_Public information campaigns,Nepal,NPL,82.56660214637142,score,2020.0
27,Governance,Aggregate score for the Political Rights category,H1_Public information campaigns,Nepal,NPL,25.0,score,2021.0
29,Environment,Electricity production from nuclear sources ,H1_Public information campaigns,Nepal,NPL,0.0,percent of total,2014.0
30,Health,Prevalence of obesity,H1_Public information campaigns,Nepal,NPL,4.1,percent,2016.0
31,Health,Summary exposure value tobacco,H1_Public information campaigns,Nepal,NPL,20.30592,Rate (risk-weighted prevalence),2019.0
32,Social issues ,"Primary completion rate, total (% of relevant age group)",H1_Public information campaigns,Nepal,NPL,120.447341918945,proportion,2019.0
33,Health,"Prevalence of HIV, total (% of population ages 15-49)",H1_Public information campaigns,Nepal,NPL,0.1,percent,2019.0
34,Governance,Voice and accountability estimate,H1_Public information campaigns,Nepal,NPL,-0.1306429,score,2019.0
35,Environment,CO2 emissions (kt),H1_Public information campaigns,Nepal,NPL,9105.161,kt,2016.0
36,Economics,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",H1_Public information campaigns,Nepal,NPL,83.9240036,Percentage of total population,2020.0
38,Economics,"Foreign direct investment, net",H1_Public information campaigns,Nepal,NPL,68186670.0,US Dollar,2018.0
39,Health,"Prevalence of stunting, height for age (modeled estimate, % of children under 5)",H1_Public information campaigns,Nepal,NPL,30.4,percent,2020.0
40,Social issues ,Proportion of seats held by women in national parliaments (%),H1_Public information campaigns,Nepal,NPL,32.72727273,proportion,2020.0
41,Health,Prevalence of Depressive disorders,H1_Public information campaigns,Nepal,NPL,0.046381,percent,2019.0
42,Governance,Political stability and absence of violence/terrorism estimate,H1_Public information campaigns,Nepal,NPL,-0.4656303,score,2019.0
43,Demographics,Rural population (% of total population),H1_Public information campaigns,Nepal,NPL,79.84700000000001,proportion,2019.0
44,Environment,"Energy imports, net ",H1_Public information campaigns,Nepal,NPL,16.67706471383556,percent of energy use,2014.0
45,Demographics,Mobile cellular subscriptions,H1_Public information campaigns,Nepal,NPL,139.446,per 100 people,2019.0
46,Social issues ,"Intentional homicides (per 100,000 people)",H1_Public information campaigns,Nepal,NPL,2.2997839964,"proportion, pero 100,000 people",2016.0
47,Governance,Human Development Index,H1_Public information campaigns,Nepal,NPL,0.602,index,2019.0
48,Governance,Total freedom in the world score ,H1_Public information campaigns,Nepal,NPL,56.0,score,2021.0
49,Demographics,Secure Internet servers ,H1_Public information campaigns,Nepal,NPL,188.8935222874432,per 1 million people,2019.0
50,Environment,Energy use ,H1_Public information campaigns,Nepal,NPL,153.557247970363,"(kg of oil equivalent) per $1,000 GDP (constant 2017 PPP)",2014.0
51,Environment,Renewable energy consumption ,H1_Public information campaigns,Nepal,NPL,85.2639581903713,percent of total final energy consumption,2015.0
52,Governance,Control of corruption estimate,H1_Public information campaigns,Nepal,NPL,-0.6740938,score,2019.0
53,Economics,"Unemployment, total (% of total labor force) (modeled ILO estimate)",H1_Public information campaigns,Nepal,NPL,1.46599996,percent of total labor force,2020.0
54,Environment,Electric power consumption ,H1_Public information campaigns,Nepal,NPL,146.4678648166647,kWh per capita,2014.0
55,Social issues ,Life Ladder ,H1_Public information campaigns,Nepal,NPL,5.268899917602539,score,2021.0
56,Health,Prevalence of total cancers,H1_Public information campaigns,Nepal,NPL,0.002964,percent,2019.0
57,Health,"Immunization, DPT (% of children ages 12-23 months)",H1_Public information campaigns,Nepal,NPL,93.0,percent,2019.0
59,Economics,"International tourism, receipts",H1_Public information campaigns,Nepal,NPL,701000000.0,US Dollar,2019.0
60,Health,Prevalence of down syndrome,H1_Public information campaigns,Nepal,NPL,0.000122,percent,2019.0
61,Social issues ,Proportion of population spending more than 10% of household consumption or income on out-of-pocket health care expenditure (%),H1_Public information campaigns,Nepal,NPL,10.7142734527588,proportion,2014.0
62,Environment,"Adjusted net savings, including particulate emission damage",H1_Public information campaigns,Nepal,NPL,36.6915387646386,percent of GNI,2018.0
63,Economics,Employment in services (% of total employment) (modeled ILO estimate),H1_Public information campaigns,Nepal,NPL,20.1520004,Percentage of total employment,2020.0
65,Health,"Immunization, measles (% of children ages 12-23 months)",H1_Public information campaigns,Nepal,NPL,92.0,percent,2019.0
66,Demographics,"Age dependency ratio, old (% of working-age population)",H1_Public information campaigns,Nepal,NPL,8.944827350165228,proportion,2019.0
67,Governance,Personal Freedom Score ,H1_Public information campaigns,Nepal,NPL,7.03,score,2018.0
68,Environment,Combustible renewables and waste,H1_Public information campaigns,Nepal,NPL,77.93563,percent of total energy,2014.0
69,Economics,Expenditure on social protection (% of GDP),H1_Public information campaigns,Nepal,NPL,1.44959,percent,2017.0
70,Governance,Aggregate score for the Civil Liberties category,H1_Public information campaigns,Nepal,NPL,31.0,score,2021.0
71,Demographics,Age dependency ratio (% of working-age population),H1_Public information campaigns,Nepal,NPL,54.68608312364701,proportion,2019.0
72,Environment,Access to electricity ,H1_Public information campaigns,Nepal,NPL,93.92,percent of population,2018.0
73,Health,"Nurses and midwives (per 1,000 people)",H1_Public information campaigns,Nepal,NPL,3.1084,Ones,2018.0
74,Governance,"CPIA transparency, accountability, and corruption in the public sector rating (1=low to 6=high)",H1_Public information campaigns,Nepal,NPL,3.0,rating,2019.0
75,Health,Mortality due to COVID-19,H1_Public information campaigns,Nepal,NPL,1765.0,"Number (cumulative total by Dec 26,2020)",2020.0
76,Governance,Government effectiveness estimate,H1_Public information campaigns,Nepal,NPL,-1.0452,score,2019.0
79,Social issues ,Progression to secondary school (%),H1_Public information campaigns,Nepal,NPL,82.38135,proportion,2016.0
