rank,Category,Indicator,Policy,Country,ISO,value,unit,year
1,Demographics,Individuals using the Internet,E1_Income support,Maldives,MDV,63.1857,percent of population,2019.0
2,Economics,Volume of exports,E1_Income support,Maldives,MDV,6.226,percent change,2020.0
3,Health,Prevalence of COVID-19,E1_Income support,Maldives,MDV,13444.0,"Number (cumulative total by Dec 26,2020)",2020.0
4,Economics,"Foreign direct investment, net",E1_Income support,Maldives,MDV,538536560.0,US Dollar,2018.0
5,Demographics,Secure Internet servers ,E1_Income support,Maldives,MDV,725.1112622021158,per 1 million people,2019.0
6,Governance,Total freedom in the world score ,E1_Income support,Maldives,MDV,40.0,score,2021.0
8,Health,Summary exposure value tobacco,E1_Income support,Maldives,MDV,29.62951,Rate (risk-weighted prevalence),2019.0
9,Social issues ,Net migration,E1_Income support,Maldives,MDV,56851.0,net total / data are 5 year estimates,2019.0
10,Environment,CO2 emissions (kt),E1_Income support,Maldives,MDV,1444.798,kt,2016.0
12,Social issues ,Life Ladder ,E1_Income support,Maldives,MDV,5.1975998878479,score,2021.0
13,Health,Prevalence of Depressive disorders,E1_Income support,Maldives,MDV,0.031537,percent,2019.0
17,Health,Prevalence of obesity,E1_Income support,Maldives,MDV,8.6,percent,2016.0
18,Demographics,Fixed broadband subscriptions,E1_Income support,Maldives,MDV,9.94401,per 100 people,2019.0
19,Health,"Immunization, DPT (% of children ages 12-23 months)",E1_Income support,Maldives,MDV,99.0,percent,2019.0
20,Governance,Human Development Index,E1_Income support,Maldives,MDV,0.74,index,2019.0
21,Governance,Rule of law estimate ,E1_Income support,Maldives,MDV,-0.4110879,score,2019.0
22,Demographics,Fixed telephone subscriptions,E1_Income support,Maldives,MDV,16664.0,number,2019.0
23,Economics,"Lending interest rates, percent per annum",E1_Income support,Maldives,MDV,11.52286,percent per annum,2019.0
25,Social issues ,Gini index (World Bank estimate),E1_Income support,Maldives,MDV,31.3,index ,2016.0
27,Health,Prevalence of anxiety disorders,E1_Income support,Maldives,MDV,0.038578,percent,2019.0
28,Economics,Employment in services (% of total employment) (modeled ILO estimate),E1_Income support,Maldives,MDV,73.427002,Percentage of total employment,2020.0
29,Demographics,Urban population (% of total population),E1_Income support,Maldives,MDV,40.238,total,2019.0
30,Economics,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",E1_Income support,Maldives,MDV,70.5230026,Percentage of total population,2020.0
31,Health,Prevalence of Hypertensive heart disease,E1_Income support,Maldives,MDV,0.000875,percent,2019.0
32,Health,"Incidence of tuberculosis (per 100,000 people)",E1_Income support,Maldives,MDV,36.0,Cases,2019.0
33,Social issues ,Press freedom score,E1_Income support,Maldives,MDV,29.93,score,2020.0
34,Governance,Corruption Perceptions Index,E1_Income support,Maldives,MDV,43.0,score,2020.0
35,Health,Prevalence of chronic kidney disease,E1_Income support,Maldives,MDV,0.102554,percent,2019.0
36,Governance,Government effectiveness estimate,E1_Income support,Maldives,MDV,-0.1942183,score,2019.0
37,Economics,"Output per worker (GDP constant 2011 international $ in PPP -- ILO modelled estimates, Nov. 2019",E1_Income support,Maldives,MDV,27681.6,international $ in PPP,2020.0
38,Environment,"PM2.5 air pollution, mean annual exposure",E1_Income support,Maldives,MDV,7.795821,micrograms per cubic meter,2017.0
39,Governance,Aggregate score for the Civil Liberties category,E1_Income support,Maldives,MDV,21.0,score,2021.0
40,Governance,Serious assault (rate),E1_Income support,Maldives,MDV,71.31,rate,2017.0
41,Environment,Renewable energy consumption ,E1_Income support,Maldives,MDV,1.00959469325713,percent of total final energy consumption,2015.0
44,Governance,Fragile States Index Total ,E1_Income support,Maldives,MDV,66.2,score,2020.0
45,Economics,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",E1_Income support,Maldives,MDV,41.6489983,Percentage of females of the total population,2020.0
46,Environment,CO2 emissions (metric tons per capita),E1_Income support,Maldives,MDV,3.038399,metric tons per capita,2016.0
47,Health,Mortality due to COVID-19,E1_Income support,Maldives,MDV,48.0,"Number (cumulative total by Dec 26,2020)",2020.0
48,Social issues ,Proportion of women in managerial positions (%),E1_Income support,Maldives,MDV,19.58,percent,2016.0
49,Health,"Prevalence of stunting, height for age (modeled estimate, % of children under 5)",E1_Income support,Maldives,MDV,14.2,percent,2020.0
50,Health,Prevalence of total cancers,E1_Income support,Maldives,MDV,0.003962,percent,2019.0
51,Economics,Volume of imports,E1_Income support,Maldives,MDV,0.198,percent change,2020.0
52,Environment,Access to electricity ,E1_Income support,Maldives,MDV,100.0,percent of population,2018.0
53,Economics,"Unemployment, total (% of total labor force) (modeled ILO estimate)",E1_Income support,Maldives,MDV,6.43400002,percent of total labor force,2020.0
54,Health,"Prevalence of overweight (modeled estimate, % of children under 5)",E1_Income support,Maldives,MDV,4.6,percent,2020.0
56,Health,"Physicians (per 1,000 people)",E1_Income support,Maldives,MDV,4.5627,Ones,2018.0
57,Demographics,People with basic handwashing facilities including soap and water (% of population),E1_Income support,Maldives,MDV,95.8028629366759,proportion,2017.0
60,Social issues ,Proportion of people living below 50 percent of median income (%),E1_Income support,Maldives,MDV,9.7,proportion,2016.0
61,Health,Prevalence of Diabetes,E1_Income support,Maldives,MDV,0.038401,percent,2019.0
62,Social issues ,Progression to secondary school (%),E1_Income support,Maldives,MDV,98.8576,proportion,2016.0
64,Demographics,Age dependency ratio (% of working-age population),E1_Income support,Maldives,MDV,30.80559729989407,proportion,2019.0
66,Governance,Control of corruption estimate,E1_Income support,Maldives,MDV,-0.2625074,score,2019.0
68,Health,"Nurses and midwives (per 1,000 people)",E1_Income support,Maldives,MDV,6.4282,Ones,2018.0
70,Governance,Aggregate score for the Political Rights category,E1_Income support,Maldives,MDV,19.0,score,2021.0
71,Social issues ,Coverage of social safety net programs (% of population),E1_Income support,Maldives,MDV,24.3464162563929,proportion,2016.0
72,Health,Prevalence of down syndrome,E1_Income support,Maldives,MDV,0.000146,percent,2019.0
73,Governance,Regulatory quality estimate,E1_Income support,Maldives,MDV,-0.4796147,score,2019.0
75,Governance,Political stability and absence of violence/terrorism estimate,E1_Income support,Maldives,MDV,0.013525,score,2019.0
78,Demographics,Mobile cellular subscriptions,E1_Income support,Maldives,MDV,155.954,per 100 people,2019.0
79,Demographics,"Population, total",E1_Income support,Maldives,MDV,530953.0,total,2019.0
80,Governance,"CPIA transparency, accountability, and corruption in the public sector rating (1=low to 6=high)",E1_Income support,Maldives,MDV,3.0,rating,2019.0
81,Health,Prevalence of Respiratory infections and tuberculosis,E1_Income support,Maldives,MDV,0.279758,percent,2019.0
82,Health,"Immunization, measles (% of children ages 12-23 months)",E1_Income support,Maldives,MDV,99.0,percent,2019.0
84,Economics,Unemployment rate (%) - Annual,E1_Income support,Maldives,MDV,6.2,percent,2016.0
85,Governance,Voice and accountability estimate,E1_Income support,Maldives,MDV,-0.4419447,score,2019.0
88,Economics,"Trade, total as % of GDP",E1_Income support,Maldives,MDV,63.55137,percent,2018.0
89,Economics,Expenditure on social protection (% of GDP),E1_Income support,Maldives,MDV,4.30536,percent,2019.0
90,Social issues ,Women who believe a husband is justified in beating his wife (any of five reasons) (%),E1_Income support,Maldives,MDV,22.0,proportion,2017.0
91,Social issues ,Proportion of seats held by women in national parliaments (%),E1_Income support,Maldives,MDV,4.597701149,proportion,2020.0
92,Demographics,"Age dependency ratio, old (% of working-age population)",E1_Income support,Maldives,MDV,4.762632110566382,proportion,2019.0
93,Social issues ,"Literacy rate, adult total (% of people ages 15 and above)",E1_Income support,Maldives,MDV,97.7349472045898,proportion,2016.0
103,Demographics,Rural population (% of total population),E1_Income support,Maldives,MDV,59.762,proportion,2019.0
110,Environment,"PM2.5 air pollution, population exposed to levels exceeding WHO guideline value ",E1_Income support,Maldives,MDV,0.0,percent of total,2017.0
111,Social issues ,"Primary completion rate, total (% of relevant age group)",E1_Income support,Maldives,MDV,91.6666717529297,proportion,2019.0
112,Health,Domestic General Government Health Expenditure (GGHE-D) as % General Government Expenditure (GGE),E1_Income support,Maldives,MDV,6.6,percent,2018.0
113,Demographics,People using at least basic sanitation services (% of population),E1_Income support,Maldives,MDV,99.3729980716322,proportion,2017.0
114,Economics,"International tourism, receipts",E1_Income support,Maldives,MDV,3157000000.0,US Dollar,2019.0
115,Economics,Expenditure on health (% of GDP),E1_Income support,Maldives,MDV,3.44379,percent,2019.0
116,Economics,Expenditure on education (% of GDP),E1_Income support,Maldives,MDV,3.6891,percent,2019.0
