rank,Category,Indicator,Policy,Country,ISO,value,unit,year
1,Demographics,Individuals using the Internet,E1_Income support,San Marino,SMR,60.1823,percent of population,2019.0
2,Health,Prevalence of COVID-19,E1_Income support,San Marino,SMR,2049.0,"Number (cumulative total by Dec 26,2020)",2020.0
5,Demographics,Secure Internet servers ,E1_Income support,San Marino,SMR,74748.96633195512,per 1 million people,2019.0
8,Social issues ,Proportion of seats held by women in national parliaments (%),E1_Income support,San Marino,SMR,33.33333333,proportion,2020.0
9,Health,Summary exposure value tobacco,E1_Income support,San Marino,SMR,26.05573,Rate (risk-weighted prevalence),2019.0
12,Health,Prevalence of Depressive disorders,E1_Income support,San Marino,SMR,0.050924,percent,2019.0
13,Demographics,Fixed broadband subscriptions,E1_Income support,San Marino,SMR,32.7259,per 100 people,2019.0
15,Health,"Incidence of tuberculosis (per 100,000 people)",E1_Income support,San Marino,SMR,0.0,Cases,2019.0
19,Health,Prevalence of Hypertensive heart disease,E1_Income support,San Marino,SMR,0.00248,percent,2019.0
20,Health,Prevalence of Respiratory infections and tuberculosis,E1_Income support,San Marino,SMR,0.116937,percent,2019.0
21,Health,Prevalence of chronic kidney disease,E1_Income support,San Marino,SMR,0.096163,percent,2019.0
24,Health,Prevalence of anxiety disorders,E1_Income support,San Marino,SMR,0.061849,percent,2019.0
25,Health,"Physicians (per 1,000 people)",E1_Income support,San Marino,SMR,6.1094,Ones,2014.0
26,Governance,Aggregate score for the Civil Liberties category,E1_Income support,San Marino,SMR,55.0,score,2021.0
32,Health,Mortality due to COVID-19,E1_Income support,San Marino,SMR,55.0,"Number (cumulative total by Dec 26,2020)",2020.0
33,Health,"Immunization, measles (% of children ages 12-23 months)",E1_Income support,San Marino,SMR,86.0,percent,2019.0
38,Demographics,Fixed telephone subscriptions,E1_Income support,San Marino,SMR,16000.0,number,2019.0
41,Demographics,Mobile cellular subscriptions,E1_Income support,San Marino,SMR,114.442,per 100 people,2019.0
44,Governance,Aggregate score for the Political Rights category,E1_Income support,San Marino,SMR,38.0,score,2021.0
45,Environment,Access to electricity ,E1_Income support,San Marino,SMR,100.0,percent of population,2018.0
46,Governance,Political stability and absence of violence/terrorism estimate,E1_Income support,San Marino,SMR,0.8996959,score,2019.0
48,Health,Domestic General Government Health Expenditure (GGHE-D) as % General Government Expenditure (GGE),E1_Income support,San Marino,SMR,6.0,percent,2018.0
52,Health,Prevalence of total cancers,E1_Income support,San Marino,SMR,0.043592,percent,2019.0
53,Health,Prevalence of Diabetes,E1_Income support,San Marino,SMR,0.086259,percent,2019.0
55,Health,"Nurses and midwives (per 1,000 people)",E1_Income support,San Marino,SMR,8.2067,Ones,2014.0
58,Health,Prevalence of down syndrome,E1_Income support,San Marino,SMR,0.000644,percent,2019.0
60,Governance,Voice and accountability estimate,E1_Income support,San Marino,SMR,1.193083,score,2019.0
64,Governance,Total freedom in the world score ,E1_Income support,San Marino,SMR,93.0,score,2021.0
66,Health,"Immunization, DPT (% of children ages 12-23 months)",E1_Income support,San Marino,SMR,88.0,percent,2019.0
101,Economics,"Central government debt, total",E1_Income support,San Marino,SMR,57.32808753341675,percent of GDP,2016.0
