ISO,Policy,score,rank
DZA,H3_Contact tracing,0.1178228292272556,1
DZA,C1_School closing,0.1127566187421929,2
DZA,E2_Debt/contract relief,0.085684258480099,3
DZA,H2_Testing policy,0.0800943860655214,4
DZA,C3_Cancel public events,0.073106024012571,5
DZA,C2_Workplace closing,0.0727083524523896,6
DZA,C4_Restrictions on gatherings,0.0723471994308794,7
DZA,H6_Facial Coverings,0.06796369810418,8
DZA,H1_Public information campaigns,0.059547510004614,9
DZA,C7_Restrictions on internal movement,0.056400611530405,10
DZA,C5_Close public transport,0.0513155092024911,11
DZA,H7_Vaccination policy,0.0381264670238435,12
DZA,E1_Income support,0.0193779239598798,13
DZA,C8_International travel controls,0.0162542175660471,14
DZA,C6_Stay at home requirements,0.0097802138004561,15
