ISO,Policy,score,rank
CAF,H2_Testing policy,0.0939391736205027,1
CAF,C2_Workplace closing,0.0815592873515388,2
CAF,H7_Vaccination policy,0.0811355322581454,3
CAF,C7_Restrictions on internal movement,0.0765676316636913,4
CAF,E1_Income support,0.0746076735831522,5
CAF,H1_Public information campaigns,0.0662177228207052,6
CAF,C6_Stay at home requirements,0.0652685070139358,7
CAF,H6_Facial Coverings,0.0603388264290551,8
CAF,H3_Contact tracing,0.0603191345638199,9
CAF,C3_Cancel public events,0.059762791865645,10
CAF,C1_School closing,0.054015594445278,11
CAF,E2_Debt/contract relief,0.027719880369519,12
CAF,C8_International travel controls,0.0248979477742933,13
CAF,C5_Close public transport,0.0105284736341304,14
CAF,C4_Restrictions on gatherings,0.0,15
