ISO,Policy,score,rank
BWA,H2_Testing policy,0.0818936441316514,1
BWA,H7_Vaccination policy,0.0818442575307637,2
BWA,H6_Facial Coverings,0.0783471013367365,3
BWA,C4_Restrictions on gatherings,0.0699036926236642,4
BWA,C8_International travel controls,0.0638761684966867,5
BWA,C5_Close public transport,0.0568161040870765,6
BWA,E1_Income support,0.0523646212160658,7
BWA,H3_Contact tracing,0.0521174334531992,8
BWA,C2_Workplace closing,0.0512934413908609,9
BWA,C7_Restrictions on internal movement,0.0510274917210759,10
BWA,C6_Stay at home requirements,0.0463292825155401,11
BWA,C1_School closing,0.040757711002052,12
BWA,E2_Debt/contract relief,0.0319863568310513,13
BWA,C3_Cancel public events,0.027436489922768,14
BWA,H1_Public information campaigns,0.0218378978537989,15
