rank,Category,Indicator,Policy,Country,ISO,value,unit,year
1,Demographics,Individuals using the Internet,C5_Close public transport,Marshall Islands,MHL,38.7012,percent of population,2019.0
3,Health,Prevalence of COVID-19,C5_Close public transport,Marshall Islands,MHL,4.0,"Number (cumulative total by Dec 26,2020)",2020.0
4,Demographics,Secure Internet servers ,C5_Close public transport,Marshall Islands,MHL,340.1881240325901,per 1 million people,2019.0
6,Health,Mortality due to COVID-19,C5_Close public transport,Marshall Islands,MHL,0.0,"Number (cumulative total by Dec 26,2020)",2020.0
8,Governance,Aggregate score for the Political Rights category,C5_Close public transport,Marshall Islands,MHL,38.0,score,2021.0
10,Health,Prevalence of anxiety disorders,C5_Close public transport,Marshall Islands,MHL,0.040904,percent,2019.0
11,Demographics,Fixed broadband subscriptions,C5_Close public transport,Marshall Islands,MHL,1.72242,per 100 people,2019.0
13,Health,Summary exposure value tobacco,C5_Close public transport,Marshall Islands,MHL,24.31741,Rate (risk-weighted prevalence),2019.0
14,Health,Prevalence of Diabetes,C5_Close public transport,Marshall Islands,MHL,0.162327,percent,2019.0
15,Governance,Aggregate score for the Civil Liberties category,C5_Close public transport,Marshall Islands,MHL,55.0,score,2021.0
17,Environment,CO2 emissions (kt),C5_Close public transport,Marshall Islands,MHL,143.013,kt,2016.0
19,Health,Prevalence of Respiratory infections and tuberculosis,C5_Close public transport,Marshall Islands,MHL,0.436263,percent,2019.0
20,Environment,Renewable energy consumption ,C5_Close public transport,Marshall Islands,MHL,11.1644846525257,percent of total final energy consumption,2015.0
22,Health,"Incidence of tuberculosis (per 100,000 people)",C5_Close public transport,Marshall Islands,MHL,483.0,Cases,2019.0
24,Social issues ,Proportion of seats held by women in national parliaments (%),C5_Close public transport,Marshall Islands,MHL,6.060606061,proportion,2020.0
25,Economics,"Central government debt, total",C5_Close public transport,Marshall Islands,MHL,48.88687414738051,percent of GDP,2016.0
26,Environment,"PM2.5 air pollution, mean annual exposure",C5_Close public transport,Marshall Islands,MHL,10.24133,micrograms per cubic meter,2017.0
27,Health,"Nurses and midwives (per 1,000 people)",C5_Close public transport,Marshall Islands,MHL,3.339,Ones,2018.0
29,Demographics,Mobile cellular subscriptions,C5_Close public transport,Marshall Islands,MHL,27.5586,per 100 people,2019.0
30,Health,Prevalence of chronic kidney disease,C5_Close public transport,Marshall Islands,MHL,0.085326,percent,2019.0
35,Health,Prevalence of total cancers,C5_Close public transport,Marshall Islands,MHL,0.00506,percent,2019.0
36,Governance,Rule of law estimate ,C5_Close public transport,Marshall Islands,MHL,-0.0330941,score,2019.0
37,Health,Prevalence of down syndrome,C5_Close public transport,Marshall Islands,MHL,0.000176,percent,2019.0
39,Governance,Political stability and absence of violence/terrorism estimate,C5_Close public transport,Marshall Islands,MHL,0.8625854,score,2019.0
40,Economics,Expenditure on education (% of GDP),C5_Close public transport,Marshall Islands,MHL,15.52637,percent,2017.0
41,Health,Prevalence of Hypertensive heart disease,C5_Close public transport,Marshall Islands,MHL,0.001659,percent,2019.0
42,Health,Prevalence of Depressive disorders,C5_Close public transport,Marshall Islands,MHL,0.027929,percent,2019.0
45,Environment,"PM2.5 air pollution, population exposed to levels exceeding WHO guideline value ",C5_Close public transport,Marshall Islands,MHL,99.9999962558097,percent of total,2017.0
49,Demographics,People with basic handwashing facilities including soap and water (% of population),C5_Close public transport,Marshall Islands,MHL,82.5021672835689,proportion,2017.0
50,Governance,Regulatory quality estimate,C5_Close public transport,Marshall Islands,MHL,-1.116794,score,2019.0
51,Health,Prevalence of obesity,C5_Close public transport,Marshall Islands,MHL,52.9,percent,2016.0
52,Governance,Government effectiveness estimate,C5_Close public transport,Marshall Islands,MHL,-1.470598,score,2019.0
53,Governance,Voice and accountability estimate,C5_Close public transport,Marshall Islands,MHL,1.136616,score,2019.0
55,Health,"Immunization, DPT (% of children ages 12-23 months)",C5_Close public transport,Marshall Islands,MHL,79.0,percent,2019.0
60,Governance,Human Development Index,C5_Close public transport,Marshall Islands,MHL,0.704,index,2019.0
62,Governance,Total freedom in the world score ,C5_Close public transport,Marshall Islands,MHL,93.0,score,2021.0
63,Demographics,People using at least basic sanitation services (% of population),C5_Close public transport,Marshall Islands,MHL,83.4940573832472,proportion,2017.0
64,Governance,Control of corruption estimate,C5_Close public transport,Marshall Islands,MHL,-0.0434163,score,2019.0
66,Demographics,Urban population (% of total population),C5_Close public transport,Marshall Islands,MHL,77.417,total,2019.0
71,Demographics,Fixed telephone subscriptions,C5_Close public transport,Marshall Islands,MHL,2361.0,number,2019.0
75,Health,"Prevalence of stunting, height for age (modeled estimate, % of children under 5)",C5_Close public transport,Marshall Islands,MHL,32.2,percent,2020.0
76,Health,"Immunization, measles (% of children ages 12-23 months)",C5_Close public transport,Marshall Islands,MHL,85.0,percent,2019.0
78,Demographics,Rural population (% of total population),C5_Close public transport,Marshall Islands,MHL,22.583,proportion,2019.0
79,Health,Domestic General Government Health Expenditure (GGHE-D) as % General Government Expenditure (GGE),C5_Close public transport,Marshall Islands,MHL,7.6,percent,2018.0
81,Environment,CO2 emissions (metric tons per capita),C5_Close public transport,Marshall Islands,MHL,2.477059,metric tons per capita,2016.0
85,Health,"Prevalence of overweight (modeled estimate, % of children under 5)",C5_Close public transport,Marshall Islands,MHL,4.2,percent,2020.0
87,Economics,"International tourism, receipts",C5_Close public transport,Marshall Islands,MHL,9000000.0,US Dollar,2018.0
88,Economics,Volume of exports,C5_Close public transport,Marshall Islands,MHL,3.404,percent change,2020.0
96,Demographics,"Population, total",C5_Close public transport,Marshall Islands,MHL,58791.0,total,2019.0
99,Economics,Expenditure on health (% of GDP),C5_Close public transport,Marshall Islands,MHL,12.03895,percent,2017.0
100,Economics,Expenditure on social protection (% of GDP),C5_Close public transport,Marshall Islands,MHL,3.59991,percent,2017.0
102,Economics,"Foreign direct investment, net",C5_Close public transport,Marshall Islands,MHL,9752050.0,US Dollar,2018.0
113,Governance,"CPIA transparency, accountability, and corruption in the public sector rating (1=low to 6=high)",C5_Close public transport,Marshall Islands,MHL,3.5,rating,2019.0
114,Social issues ,"Primary completion rate, total (% of relevant age group)",C5_Close public transport,Marshall Islands,MHL,77.2962493896484,proportion,2019.0
117,Environment,Access to electricity ,C5_Close public transport,Marshall Islands,MHL,96.3554763793945,percent of population,2018.0
