rank,Category,Indicator,Policy,Country,ISO,value,unit,year
1,Demographics,Individuals using the Internet,C5_Close public transport,Panama,PAN,63.6284,percent of population,2019.0
2,Governance,Corruption Perceptions Index,C5_Close public transport,Panama,PAN,35.0,score,2020.0
3,Health,Prevalence of COVID-19,C5_Close public transport,Panama,PAN,203295.0,"Number (cumulative total by Dec 26,2020)",2020.0
4,Demographics,Secure Internet servers ,C5_Close public transport,Panama,PAN,1893.115619934727,per 1 million people,2019.0
6,Health,Mortality due to COVID-19,C5_Close public transport,Panama,PAN,3481.0,"Number (cumulative total by Dec 26,2020)",2020.0
7,Social issues ,Net migration,C5_Close public transport,Panama,PAN,56000.0,net total / data are 5 year estimates,2019.0
8,Governance,Aggregate score for the Political Rights category,C5_Close public transport,Panama,PAN,35.0,score,2021.0
9,Social issues ,Life Ladder ,C5_Close public transport,Panama,PAN,6.179599761962891,score,2021.0
10,Health,Prevalence of anxiety disorders,C5_Close public transport,Panama,PAN,0.039188,percent,2019.0
11,Demographics,Fixed broadband subscriptions,C5_Close public transport,Panama,PAN,13.5281,per 100 people,2019.0
12,Social issues ,Gini index (World Bank estimate),C5_Close public transport,Panama,PAN,49.2,index ,2018.0
13,Health,Summary exposure value tobacco,C5_Close public transport,Panama,PAN,9.622253,Rate (risk-weighted prevalence),2019.0
14,Health,Prevalence of Diabetes,C5_Close public transport,Panama,PAN,0.082991,percent,2019.0
15,Governance,Aggregate score for the Civil Liberties category,C5_Close public transport,Panama,PAN,48.0,score,2021.0
16,Health,"Physicians (per 1,000 people)",C5_Close public transport,Panama,PAN,1.5687,Ones,2016.0
17,Environment,CO2 emissions (kt),C5_Close public transport,Panama,PAN,10714.97,kt,2016.0
18,Environment,Electricity production from coal sources ,C5_Close public transport,Panama,PAN,6.915306915306915,percent of total,2015.0
19,Health,Prevalence of Respiratory infections and tuberculosis,C5_Close public transport,Panama,PAN,0.265443,percent,2019.0
20,Environment,Renewable energy consumption ,C5_Close public transport,Panama,PAN,21.2341523445028,percent of total final energy consumption,2015.0
21,Environment,"Energy imports, net ",C5_Close public transport,Panama,PAN,80.9045483773801,percent of energy use,2014.0
22,Health,"Incidence of tuberculosis (per 100,000 people)",C5_Close public transport,Panama,PAN,37.0,Cases,2019.0
23,Environment,"Adjusted net savings, including particulate emission damage",C5_Close public transport,Panama,PAN,25.7936516382322,percent of GNI,2018.0
24,Social issues ,Proportion of seats held by women in national parliaments (%),C5_Close public transport,Panama,PAN,22.53521127,proportion,2020.0
26,Environment,"PM2.5 air pollution, mean annual exposure",C5_Close public transport,Panama,PAN,11.40005,micrograms per cubic meter,2017.0
27,Health,"Nurses and midwives (per 1,000 people)",C5_Close public transport,Panama,PAN,3.0741,Ones,2018.0
28,Environment,Electric power consumption ,C5_Close public transport,Panama,PAN,2064.175797135069,kWh per capita,2014.0
29,Demographics,Mobile cellular subscriptions,C5_Close public transport,Panama,PAN,131.852,per 100 people,2019.0
30,Health,Prevalence of chronic kidney disease,C5_Close public transport,Panama,PAN,0.117177,percent,2019.0
31,Economics,Employment in services (% of total employment) (modeled ILO estimate),C5_Close public transport,Panama,PAN,67.4940033,Percentage of total employment,2020.0
32,Environment,Electricity production from oil sources,C5_Close public transport,Panama,PAN,27.75835275835276,percent of total,2015.0
33,Social issues ,Proportion of women in managerial positions (%),C5_Close public transport,Panama,PAN,48.49,percent,2018.0
34,Economics,Volume of imports,C5_Close public transport,Panama,PAN,7.538,percent change,2020.0
35,Health,Prevalence of total cancers,C5_Close public transport,Panama,PAN,0.009725,percent,2019.0
36,Governance,Rule of law estimate ,C5_Close public transport,Panama,PAN,-0.119035,score,2019.0
