rank,Category,Indicator,Policy,Country,ISO,value,unit,year
1,Demographics,Individuals using the Internet,C5_Close public transport,Micronesia,FSM,35.3041,percent of population,2019.0
3,Health,Prevalence of COVID-19,C5_Close public transport,Micronesia,FSM,0.0,"Number (cumulative total by Dec 26,2020)",2020.0
4,Demographics,Secure Internet servers ,C5_Close public transport,Micronesia,FSM,210.8685146948996,per 1 million people,2019.0
6,Health,Mortality due to COVID-19,C5_Close public transport,Micronesia,FSM,0.0,"Number (cumulative total by Dec 26,2020)",2020.0
7,Social issues ,Net migration,C5_Close public transport,Micronesia,FSM,-2999.0,net total / data are 5 year estimates,2019.0
8,Governance,Aggregate score for the Political Rights category,C5_Close public transport,Micronesia,FSM,37.0,score,2021.0
10,Health,Prevalence of anxiety disorders,C5_Close public transport,Micronesia,FSM,0.041918,percent,2019.0
11,Demographics,Fixed broadband subscriptions,C5_Close public transport,Micronesia,FSM,3.38779,per 100 people,2019.0
13,Health,Summary exposure value tobacco,C5_Close public transport,Micronesia,FSM,25.30581,Rate (risk-weighted prevalence),2019.0
14,Health,Prevalence of Diabetes,C5_Close public transport,Micronesia,FSM,0.105494,percent,2019.0
15,Governance,Aggregate score for the Civil Liberties category,C5_Close public transport,Micronesia,FSM,55.0,score,2021.0
17,Environment,CO2 emissions (kt),C5_Close public transport,Micronesia,FSM,143.013,kt,2016.0
19,Health,Prevalence of Respiratory infections and tuberculosis,C5_Close public transport,Micronesia,FSM,0.414042,percent,2019.0
20,Environment,Renewable energy consumption ,C5_Close public transport,Micronesia,FSM,1.19623786232284,percent of total final energy consumption,2015.0
22,Health,"Incidence of tuberculosis (per 100,000 people)",C5_Close public transport,Micronesia,FSM,100.0,Cases,2019.0
24,Social issues ,Proportion of seats held by women in national parliaments (%),C5_Close public transport,Micronesia,FSM,0.0,proportion,2020.0
25,Economics,"Central government debt, total",C5_Close public transport,Micronesia,FSM,25.39177741153753,percent of GDP,2016.0
26,Environment,"PM2.5 air pollution, mean annual exposure",C5_Close public transport,Micronesia,FSM,11.2834,micrograms per cubic meter,2017.0
27,Health,"Nurses and midwives (per 1,000 people)",C5_Close public transport,Micronesia,FSM,2.0426,Ones,2018.0
29,Demographics,Mobile cellular subscriptions,C5_Close public transport,Micronesia,FSM,20.7377,per 100 people,2019.0
30,Health,Prevalence of chronic kidney disease,C5_Close public transport,Micronesia,FSM,0.096116,percent,2019.0
33,Social issues ,Proportion of women in managerial positions (%),C5_Close public transport,Micronesia,FSM,20.26,percent,2014.0
35,Health,Prevalence of total cancers,C5_Close public transport,Micronesia,FSM,0.006194,percent,2019.0
36,Governance,Rule of law estimate ,C5_Close public transport,Micronesia,FSM,0.0241157,score,2019.0
37,Health,Prevalence of down syndrome,C5_Close public transport,Micronesia,FSM,0.00017,percent,2019.0
39,Governance,Political stability and absence of violence/terrorism estimate,C5_Close public transport,Micronesia,FSM,0.9964124,score,2019.0
41,Health,Prevalence of Hypertensive heart disease,C5_Close public transport,Micronesia,FSM,0.001935,percent,2019.0
42,Health,Prevalence of Depressive disorders,C5_Close public transport,Micronesia,FSM,0.028717,percent,2019.0
45,Environment,"PM2.5 air pollution, population exposed to levels exceeding WHO guideline value ",C5_Close public transport,Micronesia,FSM,99.9999999837514,percent of total,2017.0
50,Governance,Regulatory quality estimate,C5_Close public transport,Micronesia,FSM,-0.9603013,score,2019.0
51,Health,Prevalence of obesity,C5_Close public transport,Micronesia,FSM,45.8,percent,2016.0
52,Governance,Government effectiveness estimate,C5_Close public transport,Micronesia,FSM,-0.1870816,score,2019.0
53,Governance,Voice and accountability estimate,C5_Close public transport,Micronesia,FSM,1.094265,score,2019.0
55,Health,"Immunization, DPT (% of children ages 12-23 months)",C5_Close public transport,Micronesia,FSM,78.0,percent,2019.0
60,Governance,Human Development Index,C5_Close public transport,Micronesia,FSM,0.62,index,2019.0
62,Governance,Total freedom in the world score ,C5_Close public transport,Micronesia,FSM,92.0,score,2021.0
63,Demographics,People using at least basic sanitation services (% of population),C5_Close public transport,Micronesia,FSM,88.3093315478836,proportion,2017.0
64,Governance,Control of corruption estimate,C5_Close public transport,Micronesia,FSM,0.7497162,score,2019.0
66,Demographics,Urban population (% of total population),C5_Close public transport,Micronesia,FSM,22.812,total,2019.0
71,Demographics,Fixed telephone subscriptions,C5_Close public transport,Micronesia,FSM,6947.0,number,2019.0
76,Health,"Immunization, measles (% of children ages 12-23 months)",C5_Close public transport,Micronesia,FSM,78.0,percent,2019.0
78,Demographics,Rural population (% of total population),C5_Close public transport,Micronesia,FSM,77.188,proportion,2019.0
79,Health,Domestic General Government Health Expenditure (GGHE-D) as % General Government Expenditure (GGE),C5_Close public transport,Micronesia,FSM,3.3,percent,2018.0
80,Demographics,Age dependency ratio (% of working-age population),C5_Close public transport,Micronesia,FSM,55.39581114660987,proportion,2019.0
81,Environment,CO2 emissions (metric tons per capita),C5_Close public transport,Micronesia,FSM,1.297582,metric tons per capita,2016.0
82,Governance,Fragile States Index Total ,C5_Close public transport,Micronesia,FSM,71.23563007855653,score,2020.0
83,Economics,"Lending interest rates, percent per annum",C5_Close public transport,Micronesia,FSM,15.7,percent per annum,2018.0
84,Demographics,"Age dependency ratio, old (% of working-age population)",C5_Close public transport,Micronesia,FSM,6.515387346058272,proportion,2019.0
86,Economics,"Trade, total as % of GDP",C5_Close public transport,Micronesia,FSM,60.89328,percent,2018.0
87,Economics,"International tourism, receipts",C5_Close public transport,Micronesia,FSM,25000000.0,US Dollar,2015.0
90,Economics,Unemployment rate (%) - Annual,C5_Close public transport,Micronesia,FSM,9.1,percent,2014.0
94,Demographics,Refugee population by country or territory of asylum,C5_Close public transport,Micronesia,FSM,5.0,proportion,2016.0
96,Demographics,"Population, total",C5_Close public transport,Micronesia,FSM,113815.0,total,2019.0
102,Economics,"Foreign direct investment, net",C5_Close public transport,Micronesia,FSM,800000.0,US Dollar,2015.0
113,Governance,"CPIA transparency, accountability, and corruption in the public sector rating (1=low to 6=high)",C5_Close public transport,Micronesia,FSM,3.5,rating,2019.0
114,Social issues ,"Primary completion rate, total (% of relevant age group)",C5_Close public transport,Micronesia,FSM,88.4534301757813,proportion,2019.0
117,Environment,Access to electricity ,C5_Close public transport,Micronesia,FSM,82.099723815918,percent of population,2018.0
