rank,Category,Indicator,Policy,Country,ISO,value,unit,year
1,Demographics,Individuals using the Internet,E2_Debt/contract relief,Jordan,JOR,66.7903,percent of population,2019.0
2,Demographics,Fixed telephone subscriptions,E2_Debt/contract relief,Jordan,JOR,356046.0,number,2019.0
3,Health,Prevalence of Respiratory infections and tuberculosis,E2_Debt/contract relief,Jordan,JOR,0.068178,percent,2019.0
4,Health,Prevalence of COVID-19,E2_Debt/contract relief,Jordan,JOR,271514.0,"Number (cumulative total by Dec 26,2020)",2020.0
5,Governance,Rule of law estimate ,E2_Debt/contract relief,Jordan,JOR,0.1439575,score,2019.0
6,Health,"Physicians (per 1,000 people)",E2_Debt/contract relief,Jordan,JOR,2.3237,Ones,2017.0
7,Environment,Electricity production from oil sources,E2_Debt/contract relief,Jordan,JOR,50.58903965499106,percent of total,2015.0
8,Economics,"Unemployment, total (% of total labor force) (modeled ILO estimate)",E2_Debt/contract relief,Jordan,JOR,14.6129999,percent of total labor force,2020.0
9,Environment,Fossil fuel energy consumption,E2_Debt/contract relief,Jordan,JOR,97.60845,percent of total,2014.0
10,Governance,Human Freedom Score ,E2_Debt/contract relief,Jordan,JOR,6.92,score,2018.0
11,Governance,Voice and accountability estimate,E2_Debt/contract relief,Jordan,JOR,-0.6650451,score,2019.0
12,Demographics,Fixed broadband subscriptions,E2_Debt/contract relief,Jordan,JOR,4.65247,per 100 people,2019.0
13,Governance,Personal Freedom Score ,E2_Debt/contract relief,Jordan,JOR,6.21,score,2018.0
14,Governance,Economic Freedom Score,E2_Debt/contract relief,Jordan,JOR,7.62,score,2018.0
15,Social issues ,"Intentional homicides (per 100,000 people)",E2_Debt/contract relief,Jordan,JOR,1.3591066275,"proportion, pero 100,000 people",2017.0
16,Environment,CO2 emissions (metric tons per capita),E2_Debt/contract relief,Jordan,JOR,2.628701,metric tons per capita,2016.0
17,Environment,Energy use (kg of oil equivalent per capita),E2_Debt/contract relief,Jordan,JOR,916.9928326626906,kg of oil equivalent per capita,2014.0
18,Health,"Prevalence of overweight (modeled estimate, % of children under 5)",E2_Debt/contract relief,Jordan,JOR,7.1,percent,2020.0
19,Health,"Nurses and midwives (per 1,000 people)",E2_Debt/contract relief,Jordan,JOR,2.8212,Ones,2018.0
20,Environment,Electricity production from coal sources ,E2_Debt/contract relief,Jordan,JOR,0.0,percent of total,2015.0
21,Economics,Employment in services (% of total employment) (modeled ILO estimate),E2_Debt/contract relief,Jordan,JOR,72.5999985,Percentage of total employment,2020.0
23,Environment,"PM2.5 air pollution, mean annual exposure",E2_Debt/contract relief,Jordan,JOR,33.00608,micrograms per cubic meter,2017.0
24,Health,Prevalence of total cancers,E2_Debt/contract relief,Jordan,JOR,0.005894,percent,2019.0
25,Social issues ,Net migration,E2_Debt/contract relief,Jordan,JOR,51099.0,net total / data are 5 year estimates,2019.0
26,Social issues ,Press freedom score,E2_Debt/contract relief,Jordan,JOR,42.08,score,2020.0
27,Environment,Combustible renewables and waste,E2_Debt/contract relief,Jordan,JOR,0.061775,percent of total energy,2014.0
29,Governance,Corruption Perceptions Index,E2_Debt/contract relief,Jordan,JOR,49.0,score,2020.0
31,Economics,"Central government debt, total",E2_Debt/contract relief,Jordan,JOR,74.0718607324365,percent of GDP,2016.0
32,Health,"Prevalence of stunting, height for age (modeled estimate, % of children under 5)",E2_Debt/contract relief,Jordan,JOR,7.3,percent,2020.0
33,Environment,"Electricity production from renewable sources, excluding hydroelectric",E2_Debt/contract relief,Jordan,JOR,131000000.0,kWh,2015.0
34,Health,Prevalence of anxiety disorders,E2_Debt/contract relief,Jordan,JOR,0.053733,percent,2019.0
35,Health,Prevalence of Diabetes,E2_Debt/contract relief,Jordan,JOR,0.057381,percent,2019.0
36,Health,"Incidence of tuberculosis (per 100,000 people)",E2_Debt/contract relief,Jordan,JOR,5.5,Cases,2019.0
37,Environment,"Adjusted net savings, including particulate emission damage",E2_Debt/contract relief,Jordan,JOR,3.29239824018849,percent of GNI,2018.0
38,Demographics,Secure Internet servers ,E2_Debt/contract relief,Jordan,JOR,108.1006809352966,per 1 million people,2019.0
39,Governance,Fragile States Index Total ,E2_Debt/contract relief,Jordan,JOR,75.42853052941282,score,2020.0
40,Environment,"PM2.5 air pollution, population exposed to levels exceeding WHO guideline value ",E2_Debt/contract relief,Jordan,JOR,100.0,percent of total,2017.0
41,Demographics,Mobile cellular subscriptions,E2_Debt/contract relief,Jordan,JOR,77.0046,per 100 people,2019.0
42,Social issues ,Life Ladder ,E2_Debt/contract relief,Jordan,JOR,4.394599914550781,score,2021.0
43,Governance,Political stability and absence of violence/terrorism estimate,E2_Debt/contract relief,Jordan,JOR,-0.3578623,score,2019.0
44,Governance,Aggregate score for the Political Rights category,E2_Debt/contract relief,Jordan,JOR,11.0,score,2021.0
45,Health,Summary exposure value tobacco,E2_Debt/contract relief,Jordan,JOR,37.85658,Rate (risk-weighted prevalence),2019.0
47,Economics,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",E2_Debt/contract relief,Jordan,JOR,39.1899986,Percentage of total population,2020.0
48,Environment,"Energy imports, net ",E2_Debt/contract relief,Jordan,JOR,96.81229729348095,percent of energy use,2014.0
49,Health,Prevalence of chronic kidney disease,E2_Debt/contract relief,Jordan,JOR,0.078386,percent,2019.0
50,Governance,Government effectiveness estimate,E2_Debt/contract relief,Jordan,JOR,0.0994703,score,2019.0
51,Health,Prevalence of obesity,E2_Debt/contract relief,Jordan,JOR,35.5,percent,2016.0
52,Governance,Aggregate score for the Civil Liberties category,E2_Debt/contract relief,Jordan,JOR,23.0,score,2021.0
53,Economics,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",E2_Debt/contract relief,Jordan,JOR,14.4040003,Percentage of females of the total population,2020.0
54,Health,Mortality due to COVID-19,E2_Debt/contract relief,Jordan,JOR,3518.0,"Number (cumulative total by Dec 26,2020)",2020.0
57,Health,"Immunization, DPT (% of children ages 12-23 months)",E2_Debt/contract relief,Jordan,JOR,89.0,percent,2019.0
58,Environment,Energy use ,E2_Debt/contract relief,Jordan,JOR,89.1733987991687,"(kg of oil equivalent) per $1,000 GDP (constant 2017 PPP)",2014.0
59,Economics,Volume of exports,E2_Debt/contract relief,Jordan,JOR,4.933,percent change,2020.0
60,Health,Prevalence of Depressive disorders,E2_Debt/contract relief,Jordan,JOR,0.041946,percent,2019.0
61,Governance,Regulatory quality estimate,E2_Debt/contract relief,Jordan,JOR,0.0346094,score,2019.0
63,Health,Domestic General Government Health Expenditure (GGHE-D) as % General Government Expenditure (GGE),E2_Debt/contract relief,Jordan,JOR,3.8,percent,2018.0
65,Health,Prevalence of Hypertensive heart disease,E2_Debt/contract relief,Jordan,JOR,0.003102,percent,2019.0
67,Health,"Immunization, measles (% of children ages 12-23 months)",E2_Debt/contract relief,Jordan,JOR,87.0,percent,2019.0
68,Governance,Human Development Index,E2_Debt/contract relief,Jordan,JOR,0.729,index,2019.0
69,Environment,CO2 emissions (kt),E2_Debt/contract relief,Jordan,JOR,25107.95,kt,2016.0
71,Governance,Total freedom in the world score ,E2_Debt/contract relief,Jordan,JOR,34.0,score,2021.0
73,Health,Prevalence of down syndrome,E2_Debt/contract relief,Jordan,JOR,0.000408,percent,2019.0
76,Social issues ,Proportion of seats held by women in national parliaments (%),E2_Debt/contract relief,Jordan,JOR,15.38461538,proportion,2020.0
77,Governance,Control of corruption estimate,E2_Debt/contract relief,Jordan,JOR,0.1279795,score,2019.0
79,Environment,Electric power consumption ,E2_Debt/contract relief,Jordan,JOR,1864.675855480166,kWh per capita,2014.0
80,Economics,Volume of imports,E2_Debt/contract relief,Jordan,JOR,2.242,percent change,2020.0
81,Environment,Access to electricity ,E2_Debt/contract relief,Jordan,JOR,99.9,percent of population,2018.0
85,Environment,Renewable energy consumption ,E2_Debt/contract relief,Jordan,JOR,3.22917004202291,percent of total final energy consumption,2015.0
114,Environment,"Electricity production from oil, gas and coal sources",E2_Debt/contract relief,Jordan,JOR,99.03229199537184,percent of total,2015.0
115,Environment,Electricity production from nuclear sources ,E2_Debt/contract relief,Jordan,JOR,0.0,percent of total,2014.0
