rank,Category,Indicator,Policy,Country,ISO,value,unit,year
1,Demographics,Individuals using the Internet,E2_Debt/contract relief,Bahrain,BHR,99.7015,percent of population,2019.0
2,Governance,Corruption Perceptions Index,E2_Debt/contract relief,Bahrain,BHR,42.0,score,2020.0
3,Health,Prevalence of COVID-19,E2_Debt/contract relief,Bahrain,BHR,89883.0,"Number (cumulative total by Dec 26,2020)",2020.0
5,Environment,Fossil fuel energy consumption,E2_Debt/contract relief,Bahrain,BHR,99.36585,percent of total,2014.0
6,Demographics,Secure Internet servers ,E2_Debt/contract relief,Bahrain,BHR,388.7465786645154,per 1 million people,2019.0
7,Social issues ,Life Ladder ,E2_Debt/contract relief,Bahrain,BHR,6.646900177001953,score,2021.0
8,Health,"Incidence of tuberculosis (per 100,000 people)",E2_Debt/contract relief,Bahrain,BHR,12.0,Cases,2019.0
9,Health,Summary exposure value tobacco,E2_Debt/contract relief,Bahrain,BHR,19.22256,Rate (risk-weighted prevalence),2019.0
10,Demographics,Fixed broadband subscriptions,E2_Debt/contract relief,Bahrain,BHR,12.493,per 100 people,2019.0
11,Health,"Immunization, measles (% of children ages 12-23 months)",E2_Debt/contract relief,Bahrain,BHR,99.0,percent,2019.0
12,Environment,"PM2.5 air pollution, population exposed to levels exceeding WHO guideline value ",E2_Debt/contract relief,Bahrain,BHR,100.0,percent of total,2017.0
13,Health,Mortality due to COVID-19,E2_Debt/contract relief,Bahrain,BHR,349.0,"Number (cumulative total by Dec 26,2020)",2020.0
14,Health,Domestic General Government Health Expenditure (GGHE-D) as % General Government Expenditure (GGE),E2_Debt/contract relief,Bahrain,BHR,2.4,percent,2018.0
15,Social issues ,Press freedom score,E2_Debt/contract relief,Bahrain,BHR,60.13,score,2020.0
16,Economics,Employment in services (% of total employment) (modeled ILO estimate),E2_Debt/contract relief,Bahrain,BHR,63.9529991,Percentage of total employment,2020.0
17,Environment,CO2 emissions (kt),E2_Debt/contract relief,Bahrain,BHR,31693.88,kt,2016.0
