rank,Category,Indicator,Policy,Country,ISO,value,unit,year
1,Demographics,Individuals using the Internet,E2_Debt/contract relief,Monaco,MCO,97.053,percent of population,2019.0
2,Demographics,Fixed telephone subscriptions,E2_Debt/contract relief,Monaco,MCO,44119.0,number,2019.0
3,Health,Prevalence of Respiratory infections and tuberculosis,E2_Debt/contract relief,Monaco,MCO,0.113597,percent,2019.0
4,Health,Prevalence of COVID-19,E2_Debt/contract relief,Monaco,MCO,715.0,"Number (cumulative total by Dec 26,2020)",2020.0
6,Health,"Physicians (per 1,000 people)",E2_Debt/contract relief,Monaco,MCO,7.5067,Ones,2014.0
11,Governance,Voice and accountability estimate,E2_Debt/contract relief,Monaco,MCO,0.6848723,score,2019.0
12,Demographics,Fixed broadband subscriptions,E2_Debt/contract relief,Monaco,MCO,52.5511,per 100 people,2019.0
15,Social issues ,"Intentional homicides (per 100,000 people)",E2_Debt/contract relief,Monaco,MCO,0.0,"proportion, pero 100,000 people",2015.0
19,Health,"Nurses and midwives (per 1,000 people)",E2_Debt/contract relief,Monaco,MCO,20.1609,Ones,2014.0
24,Health,Prevalence of total cancers,E2_Debt/contract relief,Monaco,MCO,0.065458,percent,2019.0
34,Health,Prevalence of anxiety disorders,E2_Debt/contract relief,Monaco,MCO,0.060508,percent,2019.0
35,Health,Prevalence of Diabetes,E2_Debt/contract relief,Monaco,MCO,0.096562,percent,2019.0
36,Health,"Incidence of tuberculosis (per 100,000 people)",E2_Debt/contract relief,Monaco,MCO,0.0,Cases,2019.0
38,Demographics,Secure Internet servers ,E2_Debt/contract relief,Monaco,MCO,13319.98768093625,per 1 million people,2019.0
41,Demographics,Mobile cellular subscriptions,E2_Debt/contract relief,Monaco,MCO,86.7031,per 100 people,2019.0
43,Governance,Political stability and absence of violence/terrorism estimate,E2_Debt/contract relief,Monaco,MCO,1.591874,score,2019.0
44,Governance,Aggregate score for the Political Rights category,E2_Debt/contract relief,Monaco,MCO,26.0,score,2021.0
45,Health,Summary exposure value tobacco,E2_Debt/contract relief,Monaco,MCO,25.30811,Rate (risk-weighted prevalence),2019.0
49,Health,Prevalence of chronic kidney disease,E2_Debt/contract relief,Monaco,MCO,0.125618,percent,2019.0
52,Governance,Aggregate score for the Civil Liberties category,E2_Debt/contract relief,Monaco,MCO,57.0,score,2021.0
54,Health,Mortality due to COVID-19,E2_Debt/contract relief,Monaco,MCO,3.0,"Number (cumulative total by Dec 26,2020)",2020.0
57,Health,"Immunization, DPT (% of children ages 12-23 months)",E2_Debt/contract relief,Monaco,MCO,99.0,percent,2019.0
60,Health,Prevalence of Depressive disorders,E2_Debt/contract relief,Monaco,MCO,0.052124,percent,2019.0
63,Health,Domestic General Government Health Expenditure (GGHE-D) as % General Government Expenditure (GGE),E2_Debt/contract relief,Monaco,MCO,1.4,percent,2018.0
65,Health,Prevalence of Hypertensive heart disease,E2_Debt/contract relief,Monaco,MCO,0.00228,percent,2019.0
67,Health,"Immunization, measles (% of children ages 12-23 months)",E2_Debt/contract relief,Monaco,MCO,88.0,percent,2019.0
71,Governance,Total freedom in the world score ,E2_Debt/contract relief,Monaco,MCO,83.0,score,2021.0
73,Health,Prevalence of down syndrome,E2_Debt/contract relief,Monaco,MCO,0.000496,percent,2019.0
76,Social issues ,Proportion of seats held by women in national parliaments (%),E2_Debt/contract relief,Monaco,MCO,33.33333333,proportion,2020.0
81,Environment,Access to electricity ,E2_Debt/contract relief,Monaco,MCO,100.0,percent of population,2018.0
100,Governance,Serious assault (rate),E2_Debt/contract relief,Monaco,MCO,522.23,rate,2015.0
