rank,Category,Indicator,Policy,Country,ISO,value,unit,year
1,Demographics,Individuals using the Internet,E2_Debt/contract relief,Vanuatu,VUT,25.7198,percent of population,2019.0
2,Governance,Corruption Perceptions Index,E2_Debt/contract relief,Vanuatu,VUT,43.0,score,2020.0
3,Health,Prevalence of COVID-19,E2_Debt/contract relief,Vanuatu,VUT,1.0,"Number (cumulative total by Dec 26,2020)",2020.0
6,Demographics,Secure Internet servers ,E2_Debt/contract relief,Vanuatu,VUT,350.1377208368625,per 1 million people,2019.0
8,Health,"Incidence of tuberculosis (per 100,000 people)",E2_Debt/contract relief,Vanuatu,VUT,41.0,Cases,2019.0
9,Health,Summary exposure value tobacco,E2_Debt/contract relief,Vanuatu,VUT,20.36768,Rate (risk-weighted prevalence),2019.0
10,Demographics,Fixed broadband subscriptions,E2_Debt/contract relief,Vanuatu,VUT,1.59119,per 100 people,2019.0
11,Health,"Immunization, measles (% of children ages 12-23 months)",E2_Debt/contract relief,Vanuatu,VUT,80.0,percent,2019.0
12,Environment,"PM2.5 air pollution, population exposed to levels exceeding WHO guideline value ",E2_Debt/contract relief,Vanuatu,VUT,99.9999999872286,percent of total,2017.0
13,Health,Mortality due to COVID-19,E2_Debt/contract relief,Vanuatu,VUT,0.0,"Number (cumulative total by Dec 26,2020)",2020.0
14,Health,Domestic General Government Health Expenditure (GGHE-D) as % General Government Expenditure (GGE),E2_Debt/contract relief,Vanuatu,VUT,2.1,percent,2018.0
16,Economics,Employment in services (% of total employment) (modeled ILO estimate),E2_Debt/contract relief,Vanuatu,VUT,38.4370003,Percentage of total employment,2020.0
17,Environment,CO2 emissions (kt),E2_Debt/contract relief,Vanuatu,VUT,146.68,kt,2016.0
18,Governance,Control of corruption estimate,E2_Debt/contract relief,Vanuatu,VUT,-0.258875,score,2019.0
19,Health,Prevalence of Respiratory infections and tuberculosis,E2_Debt/contract relief,Vanuatu,VUT,0.431789,percent,2019.0
