rank,Category,Indicator,Policy,Country,ISO,value,unit,year
1,Demographics,Individuals using the Internet,E2_Debt/contract relief,Greece,GRC,75.6712,percent of population,2019.0
2,Governance,Corruption Perceptions Index,E2_Debt/contract relief,Greece,GRC,50.0,score,2020.0
3,Health,Prevalence of COVID-19,E2_Debt/contract relief,Greece,GRC,129584.0,"Number (cumulative total by Dec 26,2020)",2020.0
5,Environment,Fossil fuel energy consumption,E2_Debt/contract relief,Greece,GRC,82.57464,percent of total,2015.0
6,Demographics,Secure Internet servers ,E2_Debt/contract relief,Greece,GRC,6650.60269745534,per 1 million people,2019.0
7,Social issues ,Life Ladder ,E2_Debt/contract relief,Greece,GRC,5.722599983215332,score,2021.0
8,Health,"Incidence of tuberculosis (per 100,000 people)",E2_Debt/contract relief,Greece,GRC,4.3,Cases,2019.0
9,Health,Summary exposure value tobacco,E2_Debt/contract relief,Greece,GRC,34.63954,Rate (risk-weighted prevalence),2019.0
10,Demographics,Fixed broadband subscriptions,E2_Debt/contract relief,Greece,GRC,39.3195,per 100 people,2019.0
11,Health,"Immunization, measles (% of children ages 12-23 months)",E2_Debt/contract relief,Greece,GRC,97.0,percent,2019.0
12,Environment,"PM2.5 air pollution, population exposed to levels exceeding WHO guideline value ",E2_Debt/contract relief,Greece,GRC,99.9999999998588,percent of total,2017.0
13,Health,Mortality due to COVID-19,E2_Debt/contract relief,Greece,GRC,4044.0,"Number (cumulative total by Dec 26,2020)",2020.0
14,Health,Domestic General Government Health Expenditure (GGHE-D) as % General Government Expenditure (GGE),E2_Debt/contract relief,Greece,GRC,4.0,percent,2018.0
15,Social issues ,Press freedom score,E2_Debt/contract relief,Greece,GRC,28.8,score,2020.0
16,Economics,Employment in services (% of total employment) (modeled ILO estimate),E2_Debt/contract relief,Greece,GRC,73.1230011,Percentage of total employment,2020.0
17,Environment,CO2 emissions (kt),E2_Debt/contract relief,Greece,GRC,62434.34,kt,2016.0
18,Governance,Control of corruption estimate,E2_Debt/contract relief,Greece,GRC,-0.0118192,score,2019.0
19,Health,Prevalence of Respiratory infections and tuberculosis,E2_Debt/contract relief,Greece,GRC,0.123363,percent,2019.0
20,Social issues ,Net migration,E2_Debt/contract relief,Greece,GRC,-80000.0,net total / data are 5 year estimates,2019.0
21,Health,Prevalence of anxiety disorders,E2_Debt/contract relief,Greece,GRC,0.063919,percent,2019.0
22,Governance,Economic Freedom Score,E2_Debt/contract relief,Greece,GRC,6.71,score,2018.0
23,Health,Prevalence of Diabetes,E2_Debt/contract relief,Greece,GRC,0.094243,percent,2019.0
