rank,Category,Indicator,Policy,Country,ISO,value,unit,year
1,Demographics,Individuals using the Internet,C6_Stay at home requirements,Qatar,QAT,99.6528,percent of population,2019.0
2,Health,Prevalence of COVID-19,C6_Stay at home requirements,Qatar,QAT,141716.0,"Number (cumulative total by Dec 26,2020)",2020.0
3,Governance,Corruption Perceptions Index,C6_Stay at home requirements,Qatar,QAT,63.0,score,2020.0
4,Demographics,Secure Internet servers ,C6_Stay at home requirements,Qatar,QAT,436.0772538220318,per 1 million people,2019.0
7,Social issues ,Press freedom score,C6_Stay at home requirements,Qatar,QAT,42.51,score,2020.0
8,Economics,Volume of exports,C6_Stay at home requirements,Qatar,QAT,0.031,percent change,2020.0
9,Demographics,Mobile cellular subscriptions,C6_Stay at home requirements,Qatar,QAT,138.329,per 100 people,2019.0
10,Health,Summary exposure value tobacco,C6_Stay at home requirements,Qatar,QAT,23.17234,Rate (risk-weighted prevalence),2019.0
11,Demographics,Fixed broadband subscriptions,C6_Stay at home requirements,Qatar,QAT,10.052,per 100 people,2019.0
12,Health,Prevalence of down syndrome,C6_Stay at home requirements,Qatar,QAT,0.000312,percent,2019.0
13,Social issues ,Net migration,C6_Stay at home requirements,Qatar,QAT,200000.0,net total / data are 5 year estimates,2019.0
14,Health,"Immunization, measles (% of children ages 12-23 months)",C6_Stay at home requirements,Qatar,QAT,99.0,percent,2019.0
15,Demographics,Fixed telephone subscriptions,C6_Stay at home requirements,Qatar,QAT,461289.0,number,2019.0
16,Social issues ,Life Ladder ,C6_Stay at home requirements,Qatar,QAT,6.3745293617248535,score,2015.0
17,Health,Prevalence of total cancers,C6_Stay at home requirements,Qatar,QAT,0.005064,percent,2019.0
18,Health,Prevalence of obesity,C6_Stay at home requirements,Qatar,QAT,35.1,percent,2016.0
19,Health,"Physicians (per 1,000 people)",C6_Stay at home requirements,Qatar,QAT,2.4852,Ones,2018.0
20,Governance,Control of corruption estimate,C6_Stay at home requirements,Qatar,QAT,0.8489959,score,2019.0
21,Social issues ,Proportion of seats held by women in national parliaments (%),C6_Stay at home requirements,Qatar,QAT,9.756097561,proportion,2020.0
22,Health,Prevalence of Diabetes,C6_Stay at home requirements,Qatar,QAT,0.104982,percent,2019.0
23,Governance,Government effectiveness estimate,C6_Stay at home requirements,Qatar,QAT,0.7052068,score,2019.0
24,Health,Domestic General Government Health Expenditure (GGHE-D) as % General Government Expenditure (GGE),C6_Stay at home requirements,Qatar,QAT,1.9,percent,2018.0
25,Governance,Human Freedom Score ,C6_Stay at home requirements,Qatar,QAT,6.07,score,2018.0
26,Governance,Human Development Index,C6_Stay at home requirements,Qatar,QAT,0.848,index,2019.0
27,Environment,Electricity production from coal sources ,C6_Stay at home requirements,Qatar,QAT,0.0,percent of total,2015.0
28,Governance,Aggregate score for the Civil Liberties category,C6_Stay at home requirements,Qatar,QAT,18.0,score,2021.0
29,Environment,CO2 emissions (metric tons per capita),C6_Stay at home requirements,Qatar,QAT,38.90147,metric tons per capita,2016.0
30,Environment,"PM2.5 air pollution, mean annual exposure",C6_Stay at home requirements,Qatar,QAT,91.18733,micrograms per cubic meter,2017.0
31,Health,Prevalence of anxiety disorders,C6_Stay at home requirements,Qatar,QAT,0.048487,percent,2019.0
32,Health,Mortality due to COVID-19,C6_Stay at home requirements,Qatar,QAT,242.0,"Number (cumulative total by Dec 26,2020)",2020.0
33,Economics,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",C6_Stay at home requirements,Qatar,QAT,56.762001,Percentage of females of the total population,2020.0
34,Economics,"Unemployment, total (% of total labor force) (modeled ILO estimate)",C6_Stay at home requirements,Qatar,QAT,0.082,percent of total labor force,2020.0
35,Social issues ,Proportion of women in managerial positions (%),C6_Stay at home requirements,Qatar,QAT,15.09,percent,2017.0
36,Health,"Nurses and midwives (per 1,000 people)",C6_Stay at home requirements,Qatar,QAT,7.2628,Ones,2018.0
38,Health,"Incidence of tuberculosis (per 100,000 people)",C6_Stay at home requirements,Qatar,QAT,35.0,Cases,2019.0
39,Environment,"Adjusted net savings, including particulate emission damage",C6_Stay at home requirements,Qatar,QAT,29.2744559223069,percent of GNI,2018.0
40,Health,"Prevalence of stunting, height for age (modeled estimate, % of children under 5)",C6_Stay at home requirements,Qatar,QAT,4.6,percent,2020.0
41,Environment,Renewable energy consumption ,C6_Stay at home requirements,Qatar,QAT,0.0,percent of total final energy consumption,2015.0
42,Governance,Voice and accountability estimate,C6_Stay at home requirements,Qatar,QAT,-1.290618,score,2019.0
45,Governance,Regulatory quality estimate,C6_Stay at home requirements,Qatar,QAT,0.6793299,score,2019.0
47,Governance,Political stability and absence of violence/terrorism estimate,C6_Stay at home requirements,Qatar,QAT,0.7046954,score,2019.0
48,Health,Prevalence of chronic kidney disease,C6_Stay at home requirements,Qatar,QAT,0.068027,percent,2019.0
49,Governance,Rule of law estimate ,C6_Stay at home requirements,Qatar,QAT,0.7343184,score,2019.0
51,Environment,"Energy imports, net ",C6_Stay at home requirements,Qatar,QAT,-398.9911867008169,percent of energy use,2014.0
52,Health,Prevalence of Hypertensive heart disease,C6_Stay at home requirements,Qatar,QAT,0.000466,percent,2019.0
53,Environment,Electricity production from oil sources,C6_Stay at home requirements,Qatar,QAT,0.0,percent of total,2015.0
55,Environment,Fossil fuel energy consumption,C6_Stay at home requirements,Qatar,QAT,99.99503,percent of total,2014.0
56,Governance,Total freedom in the world score ,C6_Stay at home requirements,Qatar,QAT,25.0,score,2021.0
57,Economics,Volume of imports,C6_Stay at home requirements,Qatar,QAT,-0.356,percent change,2020.0
58,Environment,"PM2.5 air pollution, population exposed to levels exceeding WHO guideline value ",C6_Stay at home requirements,Qatar,QAT,100.0,percent of total,2017.0
59,Environment,"Electricity production from oil, gas and coal sources",C6_Stay at home requirements,Qatar,QAT,100.0,percent of total,2015.0
60,Environment,CO2 emissions (kt),C6_Stay at home requirements,Qatar,QAT,103259.1,kt,2016.0
61,Environment,Access to electricity ,C6_Stay at home requirements,Qatar,QAT,100.0,percent of population,2018.0
63,Governance,Economic Freedom Score,C6_Stay at home requirements,Qatar,QAT,6.88,score,2018.0
64,Health,Prevalence of Depressive disorders,C6_Stay at home requirements,Qatar,QAT,0.049155,percent,2019.0
66,Governance,Aggregate score for the Political Rights category,C6_Stay at home requirements,Qatar,QAT,7.0,score,2021.0
68,Environment,Energy use ,C6_Stay at home requirements,Qatar,QAT,187.5186209116441,"(kg of oil equivalent) per $1,000 GDP (constant 2017 PPP)",2014.0
70,Environment,"Electricity production from renewable sources, excluding hydroelectric",C6_Stay at home requirements,Qatar,QAT,0.0,kWh,2015.0
71,Economics,Employment in services (% of total employment) (modeled ILO estimate),C6_Stay at home requirements,Qatar,QAT,44.4510002,Percentage of total employment,2020.0
73,Environment,Combustible renewables and waste,C6_Stay at home requirements,Qatar,QAT,0.0,percent of total energy,2014.0
74,Economics,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",C6_Stay at home requirements,Qatar,QAT,87.0350037,Percentage of total population,2020.0
75,Environment,Electricity production from nuclear sources ,C6_Stay at home requirements,Qatar,QAT,0.0,percent of total,2014.0
77,Health,Prevalence of Respiratory infections and tuberculosis,C6_Stay at home requirements,Qatar,QAT,0.166511,percent,2019.0
82,Governance,Fragile States Index Total ,C6_Stay at home requirements,Qatar,QAT,43.73987834909789,score,2020.0
83,Health,"Prevalence of overweight (modeled estimate, % of children under 5)",C6_Stay at home requirements,Qatar,QAT,13.9,percent,2020.0
85,Governance,Personal Freedom Score ,C6_Stay at home requirements,Qatar,QAT,5.26,score,2018.0
87,Environment,Electric power consumption ,C6_Stay at home requirements,Qatar,QAT,14781.64832599896,kWh per capita,2014.0
90,Environment,Energy use (kg of oil equivalent per capita),C6_Stay at home requirements,Qatar,QAT,17922.73293976329,kg of oil equivalent per capita,2014.0
92,Health,"Immunization, DPT (% of children ages 12-23 months)",C6_Stay at home requirements,Qatar,QAT,98.0,percent,2019.0
105,Social issues ,"Intentional homicides (per 100,000 people)",C6_Stay at home requirements,Qatar,QAT,0.36597237641,"proportion, pero 100,000 people",2014.0
