rank,Category,Indicator,Policy,Country,ISO,value,unit,year
1,Demographics,Individuals using the Internet,C2_Workplace closing,Cyprus,CYP,86.0636,percent of population,2019.0
2,Economics,"Unemployment, total (% of total labor force) (modeled ILO estimate)",C2_Workplace closing,Cyprus,CYP,7.23400021,percent of total labor force,2020.0
3,Health,Prevalence of COVID-19,C2_Workplace closing,Cyprus,CYP,17057.0,"Number (cumulative total by Dec 26,2020)",2020.0
4,Health,Domestic General Government Health Expenditure (GGHE-D) as % General Government Expenditure (GGE),C2_Workplace closing,Cyprus,CYP,2.9,percent,2018.0
5,Governance,Voice and accountability estimate,C2_Workplace closing,Cyprus,CYP,1.077345,score,2019.0
6,Economics,Employment in services (% of total employment) (modeled ILO estimate),C2_Workplace closing,Cyprus,CYP,81.7360001,Percentage of total employment,2020.0
7,Environment,Energy use ,C2_Workplace closing,Cyprus,CYP,69.93378131805301,"(kg of oil equivalent) per $1,000 GDP (constant 2017 PPP)",2014.0
8,Demographics,Mobile cellular subscriptions,C2_Workplace closing,Cyprus,CYP,143.85,per 100 people,2019.0
9,Social issues ,Proportion of women in managerial positions (%),C2_Workplace closing,Cyprus,CYP,16.95,percent,2018.0
10,Environment,CO2 emissions (metric tons per capita),C2_Workplace closing,Cyprus,CYP,5.662573,metric tons per capita,2016.0
11,Health,Prevalence of Depressive disorders,C2_Workplace closing,Cyprus,CYP,0.038063,percent,2019.0
12,Health,"Immunization, measles (% of children ages 12-23 months)",C2_Workplace closing,Cyprus,CYP,86.0,percent,2019.0
13,Social issues ,Gini index (World Bank estimate),C2_Workplace closing,Cyprus,CYP,31.4,index ,2017.0
14,Demographics,Fixed broadband subscriptions,C2_Workplace closing,Cyprus,CYP,37.7881,per 100 people,2019.0
16,Environment,CO2 emissions (kt),C2_Workplace closing,Cyprus,CYP,6626.269,kt,2016.0
17,Governance,Aggregate score for the Civil Liberties category,C2_Workplace closing,Cyprus,CYP,56.0,score,2021.0
18,Social issues ,Net migration,C2_Workplace closing,Cyprus,CYP,25000.0,net total / data are 5 year estimates,2019.0
19,Environment,Renewable energy consumption ,C2_Workplace closing,Cyprus,CYP,9.9420660163921,percent of total final energy consumption,2015.0
20,Governance,Fragile States Index Total ,C2_Workplace closing,Cyprus,CYP,56.05796495249495,score,2020.0
21,Health,Prevalence of chronic kidney disease,C2_Workplace closing,Cyprus,CYP,0.092513,percent,2019.0
22,Environment,"PM2.5 air pollution, mean annual exposure",C2_Workplace closing,Cyprus,CYP,17.29441,micrograms per cubic meter,2017.0
23,Health,"Physicians (per 1,000 people)",C2_Workplace closing,Cyprus,CYP,1.9509,Ones,2016.0
24,Environment,Electricity production from oil sources,C2_Workplace closing,Cyprus,CYP,91.21994264284139,percent of total,2015.0
25,Governance,Economic Freedom Score,C2_Workplace closing,Cyprus,CYP,7.84,score,2018.0
26,Governance,Total freedom in the world score ,C2_Workplace closing,Cyprus,CYP,94.0,score,2021.0
27,Health,Prevalence of Diabetes,C2_Workplace closing,Cyprus,CYP,0.097302,percent,2019.0
28,Health,"Immunization, DPT (% of children ages 12-23 months)",C2_Workplace closing,Cyprus,CYP,96.0,percent,2019.0
29,Health,Prevalence of anxiety disorders,C2_Workplace closing,Cyprus,CYP,0.072166,percent,2019.0
30,Governance,Human Freedom Score ,C2_Workplace closing,Cyprus,CYP,8.05,score,2018.0
31,Health,Prevalence of Respiratory infections and tuberculosis,C2_Workplace closing,Cyprus,CYP,0.122908,percent,2019.0
32,Governance,Corruption Perceptions Index,C2_Workplace closing,Cyprus,CYP,57.0,score,2020.0
33,Health,"Nurses and midwives (per 1,000 people)",C2_Workplace closing,Cyprus,CYP,5.2512,Ones,2016.0
34,Economics,Volume of imports,C2_Workplace closing,Cyprus,CYP,4.449,percent change,2020.0
35,Health,Prevalence of down syndrome,C2_Workplace closing,Cyprus,CYP,0.000612,percent,2019.0
37,Environment,"Adjusted net savings, including particulate emission damage",C2_Workplace closing,Cyprus,CYP,8.13654050110795,percent of GNI,2018.0
38,Health,"Incidence of tuberculosis (per 100,000 people)",C2_Workplace closing,Cyprus,CYP,5.3,Cases,2019.0
39,Health,Prevalence of total cancers,C2_Workplace closing,Cyprus,CYP,0.028626,percent,2019.0
40,Governance,Government effectiveness estimate,C2_Workplace closing,Cyprus,CYP,0.9924904,score,2019.0
41,Health,Summary exposure value tobacco,C2_Workplace closing,Cyprus,CYP,31.52972,Rate (risk-weighted prevalence),2019.0
43,Governance,Human Development Index,C2_Workplace closing,Cyprus,CYP,0.887,index,2019.0
44,Governance,Political stability and absence of violence/terrorism estimate,C2_Workplace closing,Cyprus,CYP,0.5165108,score,2019.0
45,Social issues ,Life Ladder ,C2_Workplace closing,Cyprus,CYP,6.223499774932861,score,2021.0
46,Environment,Combustible renewables and waste,C2_Workplace closing,Cyprus,CYP,1.287295,percent of total energy,2014.0
47,Environment,Fossil fuel energy consumption,C2_Workplace closing,Cyprus,CYP,92.90622,percent of total,2014.0
48,Governance,Regulatory quality estimate,C2_Workplace closing,Cyprus,CYP,1.012343,score,2019.0
49,Environment,Electricity production from nuclear sources ,C2_Workplace closing,Cyprus,CYP,0.0,percent of total,2014.0
50,Environment,Electric power consumption ,C2_Workplace closing,Cyprus,CYP,3624.971252771667,kWh per capita,2014.0
51,Social issues ,Press freedom score,C2_Workplace closing,Cyprus,CYP,20.45,score,2020.0
52,Health,Prevalence of obesity,C2_Workplace closing,Cyprus,CYP,21.8,percent,2016.0
54,Economics,Volume of exports,C2_Workplace closing,Cyprus,CYP,4.745,percent change,2020.0
55,Environment,Energy use (kg of oil equivalent per capita),C2_Workplace closing,Cyprus,CYP,1712.159752144652,kg of oil equivalent per capita,2014.0
57,Governance,Control of corruption estimate,C2_Workplace closing,Cyprus,CYP,0.6048772,score,2019.0
58,Demographics,Secure Internet servers ,C2_Workplace closing,Cyprus,CYP,8221.429614333689,per 1 million people,2019.0
59,Governance,Rule of law estimate ,C2_Workplace closing,Cyprus,CYP,0.7598994,score,2019.0
61,Governance,Personal Freedom Score ,C2_Workplace closing,Cyprus,CYP,8.25,score,2018.0
62,Health,Prevalence of Hypertensive heart disease,C2_Workplace closing,Cyprus,CYP,0.001163,percent,2019.0
63,Environment,Electricity production from coal sources ,C2_Workplace closing,Cyprus,CYP,0.0,percent of total,2015.0
64,Environment,"Electricity production from renewable sources, excluding hydroelectric",C2_Workplace closing,Cyprus,CYP,398000000.0,kWh,2015.0
65,Governance,Serious assault (rate),C2_Workplace closing,Cyprus,CYP,11.1,rate,2018.0
66,Economics,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",C2_Workplace closing,Cyprus,CYP,62.8569984,Percentage of total population,2020.0
67,Social issues ,Proportion of seats held by women in national parliaments (%),C2_Workplace closing,Cyprus,CYP,19.64285714,proportion,2020.0
