rank,Category,Indicator,Policy,Country,ISO,value,unit,year
1,Demographics,Individuals using the Internet,C2_Workplace closing,Malta,MLT,85.7786,percent of population,2019.0
2,Economics,"Unemployment, total (% of total labor force) (modeled ILO estimate)",C2_Workplace closing,Malta,MLT,3.3670001,percent of total labor force,2020.0
3,Health,Prevalence of COVID-19,C2_Workplace closing,Malta,MLT,11569.0,"Number (cumulative total by Dec 26,2020)",2020.0
4,Health,Domestic General Government Health Expenditure (GGHE-D) as % General Government Expenditure (GGE),C2_Workplace closing,Malta,MLT,5.7,percent,2018.0
5,Governance,Voice and accountability estimate,C2_Workplace closing,Malta,MLT,1.110597,score,2019.0
6,Economics,Employment in services (% of total employment) (modeled ILO estimate),C2_Workplace closing,Malta,MLT,81.0070038,Percentage of total employment,2020.0
7,Environment,Energy use ,C2_Workplace closing,Malta,MLT,47.47716103883568,"(kg of oil equivalent) per $1,000 GDP (constant 2017 PPP)",2014.0
8,Demographics,Mobile cellular subscriptions,C2_Workplace closing,Malta,MLT,144.144,per 100 people,2019.0
9,Social issues ,Proportion of women in managerial positions (%),C2_Workplace closing,Malta,MLT,28.9,percent,2018.0
10,Environment,CO2 emissions (metric tons per capita),C2_Workplace closing,Malta,MLT,2.947413,metric tons per capita,2016.0
11,Health,Prevalence of Depressive disorders,C2_Workplace closing,Malta,MLT,0.039451,percent,2019.0
12,Health,"Immunization, measles (% of children ages 12-23 months)",C2_Workplace closing,Malta,MLT,96.0,percent,2019.0
13,Social issues ,Gini index (World Bank estimate),C2_Workplace closing,Malta,MLT,29.2,index ,2017.0
14,Demographics,Fixed broadband subscriptions,C2_Workplace closing,Malta,MLT,45.2438,per 100 people,2019.0
16,Environment,CO2 emissions (kt),C2_Workplace closing,Malta,MLT,1342.122,kt,2016.0
17,Governance,Aggregate score for the Civil Liberties category,C2_Workplace closing,Malta,MLT,55.0,score,2021.0
18,Social issues ,Net migration,C2_Workplace closing,Malta,MLT,4501.0,net total / data are 5 year estimates,2019.0
19,Environment,Renewable energy consumption ,C2_Workplace closing,Malta,MLT,5.35500474641897,percent of total final energy consumption,2015.0
20,Governance,Fragile States Index Total ,C2_Workplace closing,Malta,MLT,33.593645802064856,score,2020.0
21,Health,Prevalence of chronic kidney disease,C2_Workplace closing,Malta,MLT,0.119103,percent,2019.0
22,Environment,"PM2.5 air pollution, mean annual exposure",C2_Workplace closing,Malta,MLT,13.90954,micrograms per cubic meter,2017.0
23,Health,"Physicians (per 1,000 people)",C2_Workplace closing,Malta,MLT,2.8598,Ones,2015.0
24,Environment,Electricity production from oil sources,C2_Workplace closing,Malta,MLT,92.32540291634689,percent of total,2015.0
25,Governance,Economic Freedom Score,C2_Workplace closing,Malta,MLT,7.94,score,2018.0
26,Governance,Total freedom in the world score ,C2_Workplace closing,Malta,MLT,90.0,score,2021.0
27,Health,Prevalence of Diabetes,C2_Workplace closing,Malta,MLT,0.12449,percent,2019.0
28,Health,"Immunization, DPT (% of children ages 12-23 months)",C2_Workplace closing,Malta,MLT,98.0,percent,2019.0
29,Health,Prevalence of anxiety disorders,C2_Workplace closing,Malta,MLT,0.069691,percent,2019.0
30,Governance,Human Freedom Score ,C2_Workplace closing,Malta,MLT,8.33,score,2018.0
31,Health,Prevalence of Respiratory infections and tuberculosis,C2_Workplace closing,Malta,MLT,0.124919,percent,2019.0
32,Governance,Corruption Perceptions Index,C2_Workplace closing,Malta,MLT,53.0,score,2020.0
33,Health,"Nurses and midwives (per 1,000 people)",C2_Workplace closing,Malta,MLT,9.4833,Ones,2018.0
34,Economics,Volume of imports,C2_Workplace closing,Malta,MLT,1.87,percent change,2020.0
35,Health,Prevalence of down syndrome,C2_Workplace closing,Malta,MLT,0.000799,percent,2019.0
38,Health,"Incidence of tuberculosis (per 100,000 people)",C2_Workplace closing,Malta,MLT,14.0,Cases,2019.0
39,Health,Prevalence of total cancers,C2_Workplace closing,Malta,MLT,0.030422,percent,2019.0
40,Governance,Government effectiveness estimate,C2_Workplace closing,Malta,MLT,0.85842,score,2019.0
41,Health,Summary exposure value tobacco,C2_Workplace closing,Malta,MLT,25.34354,Rate (risk-weighted prevalence),2019.0
43,Governance,Human Development Index,C2_Workplace closing,Malta,MLT,0.895,index,2019.0
44,Governance,Political stability and absence of violence/terrorism estimate,C2_Workplace closing,Malta,MLT,1.090187,score,2019.0
45,Social issues ,Life Ladder ,C2_Workplace closing,Malta,MLT,6.6020002365112305,score,2021.0
46,Environment,Combustible renewables and waste,C2_Workplace closing,Malta,MLT,0.820107,percent of total energy,2014.0
47,Environment,Fossil fuel energy consumption,C2_Workplace closing,Malta,MLT,97.78846,percent of total,2014.0
48,Governance,Regulatory quality estimate,C2_Workplace closing,Malta,MLT,0.9556454,score,2019.0
49,Environment,Electricity production from nuclear sources ,C2_Workplace closing,Malta,MLT,0.0,percent of total,2014.0
50,Environment,Electric power consumption ,C2_Workplace closing,Malta,MLT,4924.544019440443,kWh per capita,2014.0
51,Social issues ,Press freedom score,C2_Workplace closing,Malta,MLT,30.16,score,2020.0
52,Health,Prevalence of obesity,C2_Workplace closing,Malta,MLT,28.9,percent,2016.0
54,Economics,Volume of exports,C2_Workplace closing,Malta,MLT,2.225,percent change,2020.0
55,Environment,Energy use (kg of oil equivalent per capita),C2_Workplace closing,Malta,MLT,1781.504425186051,kg of oil equivalent per capita,2014.0
57,Governance,Control of corruption estimate,C2_Workplace closing,Malta,MLT,0.2393866,score,2019.0
58,Demographics,Secure Internet servers ,C2_Workplace closing,Malta,MLT,10870.32207109079,per 1 million people,2019.0
59,Governance,Rule of law estimate ,C2_Workplace closing,Malta,MLT,0.9522323,score,2019.0
61,Governance,Personal Freedom Score ,C2_Workplace closing,Malta,MLT,8.72,score,2018.0
62,Health,Prevalence of Hypertensive heart disease,C2_Workplace closing,Malta,MLT,0.002887,percent,2019.0
63,Environment,Electricity production from coal sources ,C2_Workplace closing,Malta,MLT,0.0,percent of total,2015.0
64,Environment,"Electricity production from renewable sources, excluding hydroelectric",C2_Workplace closing,Malta,MLT,100000000.0,kWh,2015.0
65,Governance,Serious assault (rate),C2_Workplace closing,Malta,MLT,41.66,rate,2018.0
66,Economics,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",C2_Workplace closing,Malta,MLT,56.3269997,Percentage of total population,2020.0
67,Social issues ,Proportion of seats held by women in national parliaments (%),C2_Workplace closing,Malta,MLT,13.43283582,proportion,2020.0
69,Environment,"PM2.5 air pollution, population exposed to levels exceeding WHO guideline value ",C2_Workplace closing,Malta,MLT,100.0,percent of total,2017.0
73,Social issues ,"Intentional homicides (per 100,000 people)",C2_Workplace closing,Malta,MLT,1.5936073579,"proportion, pero 100,000 people",2018.0
76,Environment,"Electricity production from oil, gas and coal sources",C2_Workplace closing,Malta,MLT,92.32540291634689,percent of total,2015.0
77,Economics,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",C2_Workplace closing,Malta,MLT,45.9280014,Percentage of females of the total population,2020.0
80,Governance,Aggregate score for the Political Rights category,C2_Workplace closing,Malta,MLT,35.0,score,2021.0
82,Demographics,Fixed telephone subscriptions,C2_Workplace closing,Malta,MLT,257010.0,number,2019.0
83,Health,Mortality due to COVID-19,C2_Workplace closing,Malta,MLT,183.0,"Number (cumulative total by Dec 26,2020)",2020.0
90,Environment,Access to electricity ,C2_Workplace closing,Malta,MLT,100.0,percent of population,2018.0
116,Environment,"Energy imports, net ",C2_Workplace closing,Malta,MLT,98.38148616512974,percent of energy use,2014.0
