rank,Category,Indicator,Policy,Country,ISO,value,unit,year
1,Demographics,Individuals using the Internet,C8_International travel controls,Monaco,MCO,97.053,percent of population,2019.0
3,Health,Prevalence of COVID-19,C8_International travel controls,Monaco,MCO,715.0,"Number (cumulative total by Dec 26,2020)",2020.0
5,Demographics,Secure Internet servers ,C8_International travel controls,Monaco,MCO,13319.98768093625,per 1 million people,2019.0
6,Health,Prevalence of down syndrome,C8_International travel controls,Monaco,MCO,0.000496,percent,2019.0
7,Health,Prevalence of Hypertensive heart disease,C8_International travel controls,Monaco,MCO,0.00228,percent,2019.0
8,Health,Mortality due to COVID-19,C8_International travel controls,Monaco,MCO,3.0,"Number (cumulative total by Dec 26,2020)",2020.0
10,Health,Prevalence of anxiety disorders,C8_International travel controls,Monaco,MCO,0.060508,percent,2019.0
12,Health,Summary exposure value tobacco,C8_International travel controls,Monaco,MCO,25.30811,Rate (risk-weighted prevalence),2019.0
13,Health,Prevalence of total cancers,C8_International travel controls,Monaco,MCO,0.065458,percent,2019.0
15,Demographics,Fixed broadband subscriptions,C8_International travel controls,Monaco,MCO,52.5511,per 100 people,2019.0
17,Health,"Incidence of tuberculosis (per 100,000 people)",C8_International travel controls,Monaco,MCO,0.0,Cases,2019.0
18,Social issues ,Proportion of seats held by women in national parliaments (%),C8_International travel controls,Monaco,MCO,33.33333333,proportion,2020.0
25,Health,"Immunization, measles (% of children ages 12-23 months)",C8_International travel controls,Monaco,MCO,88.0,percent,2019.0
27,Governance,Aggregate score for the Civil Liberties category,C8_International travel controls,Monaco,MCO,57.0,score,2021.0
31,Health,Domestic General Government Health Expenditure (GGHE-D) as % General Government Expenditure (GGE),C8_International travel controls,Monaco,MCO,1.4,percent,2018.0
33,Health,"Physicians (per 1,000 people)",C8_International travel controls,Monaco,MCO,7.5067,Ones,2014.0
35,Governance,Aggregate score for the Political Rights category,C8_International travel controls,Monaco,MCO,26.0,score,2021.0
38,Demographics,Mobile cellular subscriptions,C8_International travel controls,Monaco,MCO,86.7031,per 100 people,2019.0
41,Health,"Immunization, DPT (% of children ages 12-23 months)",C8_International travel controls,Monaco,MCO,99.0,percent,2019.0
42,Health,Prevalence of Diabetes,C8_International travel controls,Monaco,MCO,0.096562,percent,2019.0
51,Social issues ,"Intentional homicides (per 100,000 people)",C8_International travel controls,Monaco,MCO,0.0,"proportion, pero 100,000 people",2015.0
52,Health,Prevalence of chronic kidney disease,C8_International travel controls,Monaco,MCO,0.125618,percent,2019.0
55,Governance,Voice and accountability estimate,C8_International travel controls,Monaco,MCO,0.6848723,score,2019.0
58,Demographics,Fixed telephone subscriptions,C8_International travel controls,Monaco,MCO,44119.0,number,2019.0
60,Governance,Political stability and absence of violence/terrorism estimate,C8_International travel controls,Monaco,MCO,1.591874,score,2019.0
63,Governance,Serious assault (rate),C8_International travel controls,Monaco,MCO,522.23,rate,2015.0
68,Health,Prevalence of Depressive disorders,C8_International travel controls,Monaco,MCO,0.052124,percent,2019.0
76,Health,"Nurses and midwives (per 1,000 people)",C8_International travel controls,Monaco,MCO,20.1609,Ones,2014.0
78,Governance,Total freedom in the world score ,C8_International travel controls,Monaco,MCO,83.0,score,2021.0
80,Environment,Access to electricity ,C8_International travel controls,Monaco,MCO,100.0,percent of population,2018.0
89,Health,Prevalence of Respiratory infections and tuberculosis,C8_International travel controls,Monaco,MCO,0.113597,percent,2019.0
