rank,Category,Indicator,Policy,Country,ISO,value,unit,year
1,Demographics,Individuals using the Internet,C8_International travel controls,Kuwait,KWT,99.5427,percent of population,2019.0
2,Health,Prevalence of Respiratory infections and tuberculosis,C8_International travel controls,Kuwait,KWT,0.159169,percent,2019.0
3,Demographics,Fixed telephone subscriptions,C8_International travel controls,Kuwait,KWT,515542.0,number,2019.0
4,Health,Prevalence of COVID-19,C8_International travel controls,Kuwait,KWT,147531.0,"Number (cumulative total by Dec 26,2020)",2020.0
5,Health,Mortality due to COVID-19,C8_International travel controls,Kuwait,KWT,916.0,"Number (cumulative total by Dec 26,2020)",2020.0
7,Governance,Economic Freedom Score,C8_International travel controls,Kuwait,KWT,6.6,score,2018.0
8,Environment,"PM2.5 air pollution, mean annual exposure",C8_International travel controls,Kuwait,KWT,60.74516,micrograms per cubic meter,2017.0
9,Environment,Fossil fuel energy consumption,C8_International travel controls,Kuwait,KWT,93.68989,percent of total,2014.0
10,Environment,Energy use ,C8_International travel controls,Kuwait,KWT,162.035694398559,"(kg of oil equivalent) per $1,000 GDP (constant 2017 PPP)",2014.0
11,Health,Prevalence of down syndrome,C8_International travel controls,Kuwait,KWT,0.000279,percent,2019.0
12,Economics,Volume of imports,C8_International travel controls,Kuwait,KWT,3.584,percent change,2020.0
13,Environment,"Electricity production from renewable sources, excluding hydroelectric",C8_International travel controls,Kuwait,KWT,0.0,kWh,2015.0
14,Environment,Electricity production from coal sources ,C8_International travel controls,Kuwait,KWT,0.0,percent of total,2015.0
15,Social issues ,Net migration,C8_International travel controls,Kuwait,KWT,197600.0,net total / data are 5 year estimates,2019.0
16,Governance,Voice and accountability estimate,C8_International travel controls,Kuwait,KWT,-0.6347895,score,2019.0
17,Demographics,Fixed broadband subscriptions,C8_International travel controls,Kuwait,KWT,2.01078,per 100 people,2019.0
18,Social issues ,Proportion of women in managerial positions (%),C8_International travel controls,Kuwait,KWT,13.61,percent,2016.0
19,Health,"Prevalence of overweight (modeled estimate, % of children under 5)",C8_International travel controls,Kuwait,KWT,7.1,percent,2020.0
20,Environment,Electricity production from nuclear sources ,C8_International travel controls,Kuwait,KWT,0.0,percent of total,2014.0
21,Governance,Corruption Perceptions Index,C8_International travel controls,Kuwait,KWT,42.0,score,2020.0
22,Environment,Electricity production from oil sources,C8_International travel controls,Kuwait,KWT,63.5810830707618,percent of total,2015.0
23,Governance,Aggregate score for the Civil Liberties category,C8_International travel controls,Kuwait,KWT,23.0,score,2021.0
24,Governance,Rule of law estimate ,C8_International travel controls,Kuwait,KWT,0.215674,score,2019.0
26,Governance,Political stability and absence of violence/terrorism estimate,C8_International travel controls,Kuwait,KWT,0.2003809,score,2019.0
27,Governance,Total freedom in the world score ,C8_International travel controls,Kuwait,KWT,37.0,score,2021.0
