rank,Category,Indicator,Policy,Country,ISO,value,unit,year
1,Demographics,Individuals using the Internet,C8_International travel controls,Portugal,PRT,75.3464,percent of population,2019.0
2,Governance,Corruption Perceptions Index,C8_International travel controls,Portugal,PRT,61.0,score,2020.0
3,Health,Prevalence of COVID-19,C8_International travel controls,Portugal,PRT,366952.0,"Number (cumulative total by Dec 26,2020)",2020.0
5,Demographics,Secure Internet servers ,C8_International travel controls,Portugal,PRT,19182.0041975119,per 1 million people,2019.0
6,Health,Prevalence of down syndrome,C8_International travel controls,Portugal,PRT,0.000492,percent,2019.0
7,Health,Prevalence of Hypertensive heart disease,C8_International travel controls,Portugal,PRT,0.002035,percent,2019.0
8,Health,Mortality due to COVID-19,C8_International travel controls,Portugal,PRT,5977.0,"Number (cumulative total by Dec 26,2020)",2020.0
9,Social issues ,Press freedom score,C8_International travel controls,Portugal,PRT,11.83,score,2020.0
10,Health,Prevalence of anxiety disorders,C8_International travel controls,Portugal,PRT,0.090807,percent,2019.0
11,Environment,"Energy imports, net ",C8_International travel controls,Portugal,PRT,76.8605636843599,percent of energy use,2015.0
12,Health,Summary exposure value tobacco,C8_International travel controls,Portugal,PRT,20.27079,Rate (risk-weighted prevalence),2019.0
13,Health,Prevalence of total cancers,C8_International travel controls,Portugal,PRT,0.034976,percent,2019.0
14,Governance,Control of corruption estimate,C8_International travel controls,Portugal,PRT,0.7639953,score,2019.0
15,Demographics,Fixed broadband subscriptions,C8_International travel controls,Portugal,PRT,38.7993,per 100 people,2019.0
16,Environment,"Adjusted net savings, including particulate emission damage",C8_International travel controls,Portugal,PRT,4.60258570892067,percent of GNI,2018.0
17,Health,"Incidence of tuberculosis (per 100,000 people)",C8_International travel controls,Portugal,PRT,19.0,Cases,2019.0
18,Social issues ,Proportion of seats held by women in national parliaments (%),C8_International travel controls,Portugal,PRT,40.0,proportion,2020.0
19,Environment,"Electricity production from renewable sources, excluding hydroelectric",C8_International travel controls,Portugal,PRT,15712000000.0,kWh,2015.0
20,Social issues ,Proportion of women in managerial positions (%),C8_International travel controls,Portugal,PRT,33.96,percent,2018.0
21,Social issues ,Net migration,C8_International travel controls,Portugal,PRT,-30001.0,net total / data are 5 year estimates,2019.0
22,Governance,Government effectiveness estimate,C8_International travel controls,Portugal,PRT,1.154005,score,2019.0
24,Health,Prevalence of obesity,C8_International travel controls,Portugal,PRT,20.8,percent,2016.0
25,Health,"Immunization, measles (% of children ages 12-23 months)",C8_International travel controls,Portugal,PRT,99.0,percent,2019.0
27,Governance,Aggregate score for the Civil Liberties category,C8_International travel controls,Portugal,PRT,57.0,score,2021.0
28,Health,"Prevalence of stunting, height for age (modeled estimate, % of children under 5)",C8_International travel controls,Portugal,PRT,3.3,percent,2020.0
29,Economics,Employment in services (% of total employment) (modeled ILO estimate),C8_International travel controls,Portugal,PRT,69.7509995,Percentage of total employment,2020.0
30,Social issues ,Life Ladder ,C8_International travel controls,Portugal,PRT,5.928999900817871,score,2021.0
31,Health,Domestic General Government Health Expenditure (GGHE-D) as % General Government Expenditure (GGE),C8_International travel controls,Portugal,PRT,5.8,percent,2018.0
