rank,Category,Indicator,Policy,Country,ISO,value,unit,year
1,Demographics,Individuals using the Internet,C3_Cancel public events,Suriname,SUR,48.9452,percent of population,2019.0
2,Demographics,Fixed telephone subscriptions,C3_Cancel public events,Suriname,SUR,92756.0,number,2019.0
3,Health,Prevalence of Respiratory infections and tuberculosis,C3_Cancel public events,Suriname,SUR,0.299624,percent,2019.0
4,Health,Prevalence of COVID-19,C3_Cancel public events,Suriname,SUR,5428.0,"Number (cumulative total by Dec 26,2020)",2020.0
5,Governance,Rule of law estimate ,C3_Cancel public events,Suriname,SUR,-0.0596512,score,2019.0
6,Health,"Incidence of tuberculosis (per 100,000 people)",C3_Cancel public events,Suriname,SUR,29.0,Cases,2019.0
7,Environment,Fossil fuel energy consumption,C3_Cancel public events,Suriname,SUR,76.2535,percent of total,2014.0
8,Health,Prevalence of anxiety disorders,C3_Cancel public events,Suriname,SUR,0.044546,percent,2019.0
9,Demographics,Fixed broadband subscriptions,C3_Cancel public events,Suriname,SUR,13.8156,per 100 people,2019.0
10,Governance,Economic Freedom Score,C3_Cancel public events,Suriname,SUR,6.37,score,2018.0
11,Environment,Renewable energy consumption ,C3_Cancel public events,Suriname,SUR,24.9131103610308,percent of total final energy consumption,2015.0
12,Governance,Government effectiveness estimate,C3_Cancel public events,Suriname,SUR,-0.5900614,score,2019.0
13,Health,Prevalence of Diabetes,C3_Cancel public events,Suriname,SUR,0.117576,percent,2019.0
14,Environment,"Energy imports, net ",C3_Cancel public events,Suriname,SUR,-43.75983538856124,percent of energy use,2014.0
15,Social issues ,"Primary completion rate, total (% of relevant age group)",C3_Cancel public events,Suriname,SUR,85.8640823364258,proportion,2019.0
16,Social issues ,Net migration,C3_Cancel public events,Suriname,SUR,-4999.0,net total / data are 5 year estimates,2019.0
17,Health,"Prevalence of overweight (modeled estimate, % of children under 5)",C3_Cancel public events,Suriname,SUR,4.0,percent,2020.0
18,Environment,Electricity production from coal sources ,C3_Cancel public events,Suriname,SUR,0.0,percent of total,2015.0
19,Demographics,Secure Internet servers ,C3_Cancel public events,Suriname,SUR,526.3492860742772,per 1 million people,2019.0
20,Health,Prevalence of Hypertensive heart disease,C3_Cancel public events,Suriname,SUR,0.002653,percent,2019.0
21,Health,Prevalence of Depressive disorders,C3_Cancel public events,Suriname,SUR,0.050958,percent,2019.0
22,Health,Domestic General Government Health Expenditure (GGHE-D) as % General Government Expenditure (GGE),C3_Cancel public events,Suriname,SUR,5.3,percent,2018.0
23,Economics,Volume of exports,C3_Cancel public events,Suriname,SUR,2.296,percent change,2020.0
24,Environment,Combustible renewables and waste,C3_Cancel public events,Suriname,SUR,6.917738,percent of total energy,2014.0
25,Health,"Prevalence of stunting, height for age (modeled estimate, % of children under 5)",C3_Cancel public events,Suriname,SUR,8.0,percent,2020.0
26,Health,Prevalence of down syndrome,C3_Cancel public events,Suriname,SUR,0.000312,percent,2019.0
28,Governance,Fragile States Index Total ,C3_Cancel public events,Suriname,SUR,60.12230683109472,score,2020.0
29,Environment,"PM2.5 air pollution, population exposed to levels exceeding WHO guideline value ",C3_Cancel public events,Suriname,SUR,100.0,percent of total,2017.0
30,Environment,"Electricity production from oil, gas and coal sources",C3_Cancel public events,Suriname,SUR,39.94685562444641,percent of total,2015.0
31,Economics,Employment in services (% of total employment) (modeled ILO estimate),C3_Cancel public events,Suriname,SUR,69.0680008,Percentage of total employment,2020.0
32,Demographics,Mobile cellular subscriptions,C3_Cancel public events,Suriname,SUR,139.987,per 100 people,2019.0
33,Health,Prevalence of chronic kidney disease,C3_Cancel public events,Suriname,SUR,0.097263,percent,2019.0
34,Governance,Personal Freedom Score ,C3_Cancel public events,Suriname,SUR,8.24,score,2018.0
35,Environment,Electric power consumption ,C3_Cancel public events,Suriname,SUR,3596.745216690344,kWh per capita,2014.0
37,Health,"Nurses and midwives (per 1,000 people)",C3_Cancel public events,Suriname,SUR,2.7569,Ones,2018.0
38,Health,"Physicians (per 1,000 people)",C3_Cancel public events,Suriname,SUR,1.2101,Ones,2018.0
39,Health,"Prevalence of HIV, total (% of population ages 15-49)",C3_Cancel public events,Suriname,SUR,1.3,percent,2019.0
40,Governance,Voice and accountability estimate,C3_Cancel public events,Suriname,SUR,0.3897825,score,2019.0
41,Environment,"Electricity production from renewable sources, excluding hydroelectric",C3_Cancel public events,Suriname,SUR,0.0,kWh,2015.0
42,Health,"Immunization, measles (% of children ages 12-23 months)",C3_Cancel public events,Suriname,SUR,64.0,percent,2019.0
43,Health,Summary exposure value tobacco,C3_Cancel public events,Suriname,SUR,23.97458,Rate (risk-weighted prevalence),2019.0
44,Environment,Electricity production from oil sources,C3_Cancel public events,Suriname,SUR,39.94685562444641,percent of total,2015.0
45,Environment,"PM2.5 air pollution, mean annual exposure",C3_Cancel public events,Suriname,SUR,24.78001,micrograms per cubic meter,2017.0
46,Demographics,Age dependency ratio (% of working-age population),C3_Cancel public events,Suriname,SUR,51.34774187501952,proportion,2019.0
48,Demographics,People with basic handwashing facilities including soap and water (% of population),C3_Cancel public events,Suriname,SUR,67.7789706544644,proportion,2014.0
49,Governance,Aggregate score for the Political Rights category,C3_Cancel public events,Suriname,SUR,34.0,score,2021.0
50,Economics,Volume of imports,C3_Cancel public events,Suriname,SUR,3.288,percent change,2020.0
51,Social issues ,"Intentional homicides (per 100,000 people)",C3_Cancel public events,Suriname,SUR,5.433820449,"proportion, pero 100,000 people",2017.0
52,Governance,Human Development Index,C3_Cancel public events,Suriname,SUR,0.738,index,2019.0
54,Governance,Corruption Perceptions Index,C3_Cancel public events,Suriname,SUR,38.0,score,2020.0
55,Governance,Control of corruption estimate,C3_Cancel public events,Suriname,SUR,-0.3932373,score,2019.0
58,Health,Prevalence of total cancers,C3_Cancel public events,Suriname,SUR,0.007681,percent,2019.0
59,Social issues ,Proportion of women in managerial positions (%),C3_Cancel public events,Suriname,SUR,37.27,percent,2015.0
60,Governance,Political stability and absence of violence/terrorism estimate,C3_Cancel public events,Suriname,SUR,0.1134033,score,2019.0
61,Demographics,Urban population (% of total population),C3_Cancel public events,Suriname,SUR,66.095,total,2019.0
62,Governance,Regulatory quality estimate,C3_Cancel public events,Suriname,SUR,-0.6795514,score,2019.0
64,Environment,CO2 emissions (kt),C3_Cancel public events,Suriname,SUR,1738.158,kt,2016.0
65,Health,Hospital beds (per 10 000 population),C3_Cancel public events,Suriname,SUR,30.0,Ones,2017.0
66,Economics,"Unemployment, total (% of total labor force) (modeled ILO estimate)",C3_Cancel public events,Suriname,SUR,7.47200012,percent of total labor force,2020.0
67,Economics,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",C3_Cancel public events,Suriname,SUR,51.0130005,Percentage of total population,2020.0
69,Social issues ,Proportion of seats held by women in national parliaments (%),C3_Cancel public events,Suriname,SUR,29.41176471,proportion,2020.0
70,Economics,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",C3_Cancel public events,Suriname,SUR,38.8069992,Percentage of females of the total population,2020.0
71,Governance,Aggregate score for the Civil Liberties category,C3_Cancel public events,Suriname,SUR,45.0,score,2021.0
73,Social issues ,Progression to secondary school (%),C3_Cancel public events,Suriname,SUR,66.37433,proportion,2017.0
75,Health,Mortality due to COVID-19,C3_Cancel public events,Suriname,SUR,117.0,"Number (cumulative total by Dec 26,2020)",2020.0
76,Health,"Immunization, DPT (% of children ages 12-23 months)",C3_Cancel public events,Suriname,SUR,77.0,percent,2019.0
77,Environment,Energy use (kg of oil equivalent per capita),C3_Cancel public events,Suriname,SUR,1247.311478135765,kg of oil equivalent per capita,2014.0
78,Environment,Energy use ,C3_Cancel public events,Suriname,SUR,68.58189155665983,"(kg of oil equivalent) per $1,000 GDP (constant 2017 PPP)",2014.0
80,Health,Prevalence of obesity,C3_Cancel public events,Suriname,SUR,8.6,percent,2016.0
81,Social issues ,Press freedom score,C3_Cancel public events,Suriname,SUR,17.5,score,2020.0
83,Environment,CO2 emissions (metric tons per capita),C3_Cancel public events,Suriname,SUR,3.077023,metric tons per capita,2016.0
84,Environment,Access to electricity ,C3_Cancel public events,Suriname,SUR,97.4,percent of population,2018.0
85,Governance,Human Freedom Score ,C3_Cancel public events,Suriname,SUR,7.31,score,2018.0
88,Demographics,People using at least basic sanitation services (% of population),C3_Cancel public events,Suriname,SUR,84.4575831711356,proportion,2017.0
89,Social issues ,Proportion of population pushed below the $1.90 ($ 2011 PPP) poverty line by out-of-pocket health care expenditure (%),C3_Cancel public events,Suriname,SUR,0.0203522518277168,proportion,2016.0
91,Environment,Electricity production from nuclear sources ,C3_Cancel public events,Suriname,SUR,0.0,percent of total,2014.0
92,Governance,Serious assault (rate),C3_Cancel public events,Suriname,SUR,63.1,rate,2017.0
93,Governance,Total freedom in the world score ,C3_Cancel public events,Suriname,SUR,79.0,score,2021.0
94,Demographics,Refugee population by country or territory of asylum,C3_Cancel public events,Suriname,SUR,44.0,proportion,2019.0
108,Demographics,"Age dependency ratio, old (% of working-age population)",C3_Cancel public events,Suriname,SUR,10.61714446376691,proportion,2019.0
109,Social issues ,"Literacy rate, adult total (% of people ages 15 and above)",C3_Cancel public events,Suriname,SUR,94.3832702636719,proportion,2018.0
112,Social issues ,Proportion of population spending more than 10% of household consumption or income on out-of-pocket health care expenditure (%),C3_Cancel public events,Suriname,SUR,4.87027931213379,proportion,2016.0
116,Demographics,"Population, total",C3_Cancel public events,Suriname,SUR,581363.0,total,2019.0
117,Demographics,Rural population (% of total population),C3_Cancel public events,Suriname,SUR,33.905,proportion,2019.0
