rank,Category,Indicator,Policy,Country,ISO,value,unit,year
1,Demographics,Individuals using the Internet,C3_Cancel public events,Gabon,GAB,62.0,percent of population,2019.0
2,Demographics,Fixed telephone subscriptions,C3_Cancel public events,Gabon,GAB,21818.0,number,2019.0
3,Health,Prevalence of Respiratory infections and tuberculosis,C3_Cancel public events,Gabon,GAB,0.307428,percent,2019.0
4,Health,Prevalence of COVID-19,C3_Cancel public events,Gabon,GAB,9400.0,"Number (cumulative total by Dec 26,2020)",2020.0
5,Governance,Rule of law estimate ,C3_Cancel public events,Gabon,GAB,-0.732851,score,2019.0
6,Health,"Incidence of tuberculosis (per 100,000 people)",C3_Cancel public events,Gabon,GAB,521.0,Cases,2019.0
7,Environment,Fossil fuel energy consumption,C3_Cancel public events,Gabon,GAB,22.78652,percent of total,2014.0
8,Health,Prevalence of anxiety disorders,C3_Cancel public events,Gabon,GAB,0.039661,percent,2019.0
9,Demographics,Fixed broadband subscriptions,C3_Cancel public events,Gabon,GAB,1.37306,per 100 people,2019.0
10,Governance,Economic Freedom Score,C3_Cancel public events,Gabon,GAB,5.86,score,2018.0
11,Environment,Renewable energy consumption ,C3_Cancel public events,Gabon,GAB,82.0078436860573,percent of total final energy consumption,2015.0
12,Governance,Government effectiveness estimate,C3_Cancel public events,Gabon,GAB,-0.8977532,score,2019.0
13,Health,Prevalence of Diabetes,C3_Cancel public events,Gabon,GAB,0.044291,percent,2019.0
14,Environment,"Energy imports, net ",C3_Cancel public events,Gabon,GAB,-213.4005195308775,percent of energy use,2014.0
16,Social issues ,Net migration,C3_Cancel public events,Gabon,GAB,16301.0,net total / data are 5 year estimates,2019.0
17,Health,"Prevalence of overweight (modeled estimate, % of children under 5)",C3_Cancel public events,Gabon,GAB,7.4,percent,2020.0
18,Environment,Electricity production from coal sources ,C3_Cancel public events,Gabon,GAB,0.0,percent of total,2015.0
19,Demographics,Secure Internet servers ,C3_Cancel public events,Gabon,GAB,25.31553513128867,per 1 million people,2019.0
20,Health,Prevalence of Hypertensive heart disease,C3_Cancel public events,Gabon,GAB,0.000861,percent,2019.0
21,Health,Prevalence of Depressive disorders,C3_Cancel public events,Gabon,GAB,0.051243,percent,2019.0
22,Health,Domestic General Government Health Expenditure (GGHE-D) as % General Government Expenditure (GGE),C3_Cancel public events,Gabon,GAB,1.6,percent,2018.0
23,Economics,Volume of exports,C3_Cancel public events,Gabon,GAB,7.99,percent change,2020.0
24,Environment,Combustible renewables and waste,C3_Cancel public events,Gabon,GAB,73.66032,percent of total energy,2014.0
25,Health,"Prevalence of stunting, height for age (modeled estimate, % of children under 5)",C3_Cancel public events,Gabon,GAB,14.4,percent,2020.0
26,Health,Prevalence of down syndrome,C3_Cancel public events,Gabon,GAB,0.000147,percent,2019.0
28,Governance,Fragile States Index Total ,C3_Cancel public events,Gabon,GAB,69.08700133545015,score,2020.0
29,Environment,"PM2.5 air pollution, population exposed to levels exceeding WHO guideline value ",C3_Cancel public events,Gabon,GAB,100.0,percent of total,2017.0
30,Environment,"Electricity production from oil, gas and coal sources",C3_Cancel public events,Gabon,GAB,56.25587958607714,percent of total,2015.0
31,Economics,Employment in services (% of total employment) (modeled ILO estimate),C3_Cancel public events,Gabon,GAB,56.8639984,Percentage of total employment,2020.0
32,Demographics,Mobile cellular subscriptions,C3_Cancel public events,Gabon,GAB,138.281,per 100 people,2019.0
33,Health,Prevalence of chronic kidney disease,C3_Cancel public events,Gabon,GAB,0.050903,percent,2019.0
34,Governance,Personal Freedom Score ,C3_Cancel public events,Gabon,GAB,6.42,score,2018.0
35,Environment,Electric power consumption ,C3_Cancel public events,Gabon,GAB,1167.852213610787,kWh per capita,2014.0
36,Environment,"Adjusted net savings, including particulate emission damage",C3_Cancel public events,Gabon,GAB,20.3596682611344,percent of GNI,2015.0
37,Health,"Nurses and midwives (per 1,000 people)",C3_Cancel public events,Gabon,GAB,2.946,Ones,2017.0
38,Health,"Physicians (per 1,000 people)",C3_Cancel public events,Gabon,GAB,0.6819,Ones,2017.0
39,Health,"Prevalence of HIV, total (% of population ages 15-49)",C3_Cancel public events,Gabon,GAB,3.5,percent,2019.0
40,Governance,Voice and accountability estimate,C3_Cancel public events,Gabon,GAB,-1.030655,score,2019.0
41,Environment,"Electricity production from renewable sources, excluding hydroelectric",C3_Cancel public events,Gabon,GAB,12000000.0,kWh,2015.0
42,Health,"Immunization, measles (% of children ages 12-23 months)",C3_Cancel public events,Gabon,GAB,62.0,percent,2019.0
43,Health,Summary exposure value tobacco,C3_Cancel public events,Gabon,GAB,12.90187,Rate (risk-weighted prevalence),2019.0
44,Environment,Electricity production from oil sources,C3_Cancel public events,Gabon,GAB,10.20696142991534,percent of total,2015.0
45,Environment,"PM2.5 air pollution, mean annual exposure",C3_Cancel public events,Gabon,GAB,44.38555,micrograms per cubic meter,2017.0
49,Governance,Aggregate score for the Political Rights category,C3_Cancel public events,Gabon,GAB,3.0,score,2021.0
50,Economics,Volume of imports,C3_Cancel public events,Gabon,GAB,0.336,percent change,2020.0
52,Governance,Human Development Index,C3_Cancel public events,Gabon,GAB,0.703,index,2019.0
53,Social issues ,Gini index (World Bank estimate),C3_Cancel public events,Gabon,GAB,38.0,index ,2017.0
54,Governance,Corruption Perceptions Index,C3_Cancel public events,Gabon,GAB,30.0,score,2020.0
55,Governance,Control of corruption estimate,C3_Cancel public events,Gabon,GAB,-0.9354914,score,2019.0
58,Health,Prevalence of total cancers,C3_Cancel public events,Gabon,GAB,0.00363,percent,2019.0
60,Governance,Political stability and absence of violence/terrorism estimate,C3_Cancel public events,Gabon,GAB,-0.1782095,score,2019.0
62,Governance,Regulatory quality estimate,C3_Cancel public events,Gabon,GAB,-0.9571223,score,2019.0
64,Environment,CO2 emissions (kt),C3_Cancel public events,Gabon,GAB,5320.817,kt,2016.0
66,Economics,"Unemployment, total (% of total labor force) (modeled ILO estimate)",C3_Cancel public events,Gabon,GAB,20.1450005,percent of total labor force,2020.0
67,Economics,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",C3_Cancel public events,Gabon,GAB,53.0839996,Percentage of total population,2020.0
69,Social issues ,Proportion of seats held by women in national parliaments (%),C3_Cancel public events,Gabon,GAB,14.78873239,proportion,2020.0
70,Economics,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",C3_Cancel public events,Gabon,GAB,43.8419991,Percentage of females of the total population,2020.0
71,Governance,Aggregate score for the Civil Liberties category,C3_Cancel public events,Gabon,GAB,19.0,score,2021.0
74,Social issues ,Life Ladder ,C3_Cancel public events,Gabon,GAB,4.851799964904785,score,2021.0
75,Health,Mortality due to COVID-19,C3_Cancel public events,Gabon,GAB,64.0,"Number (cumulative total by Dec 26,2020)",2020.0
76,Health,"Immunization, DPT (% of children ages 12-23 months)",C3_Cancel public events,Gabon,GAB,70.0,percent,2019.0
77,Environment,Energy use (kg of oil equivalent per capita),C3_Cancel public events,Gabon,GAB,2694.20745302049,kg of oil equivalent per capita,2014.0
