rank,Category,Indicator,Policy,Country,ISO,value,unit,year
1,Demographics,Individuals using the Internet,C3_Cancel public events,Malawi,MWI,13.7822,percent of population,2019.0
2,Demographics,Fixed telephone subscriptions,C3_Cancel public events,Malawi,MWI,13101.0,number,2019.0
3,Health,Prevalence of Respiratory infections and tuberculosis,C3_Cancel public events,Malawi,MWI,0.182097,percent,2019.0
4,Health,Prevalence of COVID-19,C3_Cancel public events,Malawi,MWI,6148.0,"Number (cumulative total by Dec 26,2020)",2020.0
5,Governance,Rule of law estimate ,C3_Cancel public events,Malawi,MWI,-0.3311234,score,2019.0
6,Health,"Incidence of tuberculosis (per 100,000 people)",C3_Cancel public events,Malawi,MWI,146.0,Cases,2019.0
8,Health,Prevalence of anxiety disorders,C3_Cancel public events,Malawi,MWI,0.035406,percent,2019.0
9,Demographics,Fixed broadband subscriptions,C3_Cancel public events,Malawi,MWI,0.0609703,per 100 people,2019.0
10,Governance,Economic Freedom Score,C3_Cancel public events,Malawi,MWI,5.79,score,2018.0
11,Environment,Renewable energy consumption ,C3_Cancel public events,Malawi,MWI,83.649433704296,percent of total final energy consumption,2015.0
12,Governance,Government effectiveness estimate,C3_Cancel public events,Malawi,MWI,-0.7494367,score,2019.0
13,Health,Prevalence of Diabetes,C3_Cancel public events,Malawi,MWI,0.021223,percent,2019.0
16,Social issues ,Net migration,C3_Cancel public events,Malawi,MWI,-80263.0,net total / data are 5 year estimates,2019.0
17,Health,"Prevalence of overweight (modeled estimate, % of children under 5)",C3_Cancel public events,Malawi,MWI,4.7,percent,2020.0
19,Demographics,Secure Internet servers ,C3_Cancel public events,Malawi,MWI,16.37254507777683,per 1 million people,2019.0
20,Health,Prevalence of Hypertensive heart disease,C3_Cancel public events,Malawi,MWI,0.001044,percent,2019.0
21,Health,Prevalence of Depressive disorders,C3_Cancel public events,Malawi,MWI,0.031007,percent,2019.0
22,Health,Domestic General Government Health Expenditure (GGHE-D) as % General Government Expenditure (GGE),C3_Cancel public events,Malawi,MWI,2.7,percent,2018.0
23,Economics,Volume of exports,C3_Cancel public events,Malawi,MWI,8.008,percent change,2020.0
25,Health,"Prevalence of stunting, height for age (modeled estimate, % of children under 5)",C3_Cancel public events,Malawi,MWI,37.0,percent,2020.0
26,Health,Prevalence of down syndrome,C3_Cancel public events,Malawi,MWI,0.00018,percent,2019.0
27,Economics,"Central government debt, total",C3_Cancel public events,Malawi,MWI,48.659564238322,percent of GDP,2017.0
28,Governance,Fragile States Index Total ,C3_Cancel public events,Malawi,MWI,84.01636088313059,score,2020.0
29,Environment,"PM2.5 air pollution, population exposed to levels exceeding WHO guideline value ",C3_Cancel public events,Malawi,MWI,100.0,percent of total,2017.0
31,Economics,Employment in services (% of total employment) (modeled ILO estimate),C3_Cancel public events,Malawi,MWI,43.0180016,Percentage of total employment,2020.0
32,Demographics,Mobile cellular subscriptions,C3_Cancel public events,Malawi,MWI,47.7811,per 100 people,2019.0
33,Health,Prevalence of chronic kidney disease,C3_Cancel public events,Malawi,MWI,0.053054,percent,2019.0
34,Governance,Personal Freedom Score ,C3_Cancel public events,Malawi,MWI,7.35,score,2018.0
36,Environment,"Adjusted net savings, including particulate emission damage",C3_Cancel public events,Malawi,MWI,-6.31013881329563,percent of GNI,2018.0
37,Health,"Nurses and midwives (per 1,000 people)",C3_Cancel public events,Malawi,MWI,0.4386,Ones,2018.0
38,Health,"Physicians (per 1,000 people)",C3_Cancel public events,Malawi,MWI,0.0358,Ones,2018.0
39,Health,"Prevalence of HIV, total (% of population ages 15-49)",C3_Cancel public events,Malawi,MWI,8.9,percent,2019.0
40,Governance,Voice and accountability estimate,C3_Cancel public events,Malawi,MWI,-0.0948665,score,2019.0
42,Health,"Immunization, measles (% of children ages 12-23 months)",C3_Cancel public events,Malawi,MWI,92.0,percent,2019.0
43,Health,Summary exposure value tobacco,C3_Cancel public events,Malawi,MWI,11.73838,Rate (risk-weighted prevalence),2019.0
45,Environment,"PM2.5 air pollution, mean annual exposure",C3_Cancel public events,Malawi,MWI,23.56592,micrograms per cubic meter,2017.0
49,Governance,Aggregate score for the Political Rights category,C3_Cancel public events,Malawi,MWI,29.0,score,2021.0
50,Economics,Volume of imports,C3_Cancel public events,Malawi,MWI,5.604,percent change,2020.0
52,Governance,Human Development Index,C3_Cancel public events,Malawi,MWI,0.483,index,2019.0
53,Social issues ,Gini index (World Bank estimate),C3_Cancel public events,Malawi,MWI,44.7,index ,2016.0
54,Governance,Corruption Perceptions Index,C3_Cancel public events,Malawi,MWI,30.0,score,2020.0
55,Governance,Control of corruption estimate,C3_Cancel public events,Malawi,MWI,-0.7811527,score,2019.0
58,Health,Prevalence of total cancers,C3_Cancel public events,Malawi,MWI,0.002546,percent,2019.0
60,Governance,Political stability and absence of violence/terrorism estimate,C3_Cancel public events,Malawi,MWI,-0.2672529,score,2019.0
62,Governance,Regulatory quality estimate,C3_Cancel public events,Malawi,MWI,-0.7011955,score,2019.0
64,Environment,CO2 emissions (kt),C3_Cancel public events,Malawi,MWI,1298.118,kt,2016.0
66,Economics,"Unemployment, total (% of total labor force) (modeled ILO estimate)",C3_Cancel public events,Malawi,MWI,5.67399979,percent of total labor force,2020.0
67,Economics,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",C3_Cancel public events,Malawi,MWI,76.7949982,Percentage of total population,2020.0
68,Governance,"CPIA transparency, accountability, and corruption in the public sector rating (1=low to 6=high)",C3_Cancel public events,Malawi,MWI,2.5,rating,2019.0
69,Social issues ,Proportion of seats held by women in national parliaments (%),C3_Cancel public events,Malawi,MWI,22.91666667,proportion,2020.0
70,Economics,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",C3_Cancel public events,Malawi,MWI,72.5749969,Percentage of females of the total population,2020.0
71,Governance,Aggregate score for the Civil Liberties category,C3_Cancel public events,Malawi,MWI,37.0,score,2021.0
74,Social issues ,Life Ladder ,C3_Cancel public events,Malawi,MWI,3.5999999046325684,score,2021.0
75,Health,Mortality due to COVID-19,C3_Cancel public events,Malawi,MWI,187.0,"Number (cumulative total by Dec 26,2020)",2020.0
76,Health,"Immunization, DPT (% of children ages 12-23 months)",C3_Cancel public events,Malawi,MWI,95.0,percent,2019.0
80,Health,Prevalence of obesity,C3_Cancel public events,Malawi,MWI,5.8,percent,2016.0
81,Social issues ,Press freedom score,C3_Cancel public events,Malawi,MWI,29.32,score,2020.0
83,Environment,CO2 emissions (metric tons per capita),C3_Cancel public events,Malawi,MWI,0.075449,metric tons per capita,2016.0
84,Environment,Access to electricity ,C3_Cancel public events,Malawi,MWI,18.02,percent of population,2018.0
85,Governance,Human Freedom Score ,C3_Cancel public events,Malawi,MWI,6.57,score,2018.0
93,Governance,Total freedom in the world score ,C3_Cancel public events,Malawi,MWI,66.0,score,2021.0
