rank,Category,Indicator,Policy,Country,ISO,value,unit,year
1,Demographics,Individuals using the Internet,C3_Cancel public events,Aruba,ABW,97.17,percent of population,2019.0
2,Demographics,Fixed telephone subscriptions,C3_Cancel public events,Aruba,ABW,35000.0,number,2019.0
4,Health,Prevalence of COVID-19,C3_Cancel public events,Aruba,ABW,5124.0,"Number (cumulative total by Dec 26,2020)",2020.0
5,Governance,Rule of law estimate ,C3_Cancel public events,Aruba,ABW,1.263128,score,2019.0
6,Health,"Incidence of tuberculosis (per 100,000 people)",C3_Cancel public events,Aruba,ABW,2.2,Cases,2019.0
9,Demographics,Fixed broadband subscriptions,C3_Cancel public events,Aruba,ABW,18.2095,per 100 people,2019.0
11,Environment,Renewable energy consumption ,C3_Cancel public events,Aruba,ABW,6.72674756598399,percent of total final energy consumption,2015.0
12,Governance,Government effectiveness estimate,C3_Cancel public events,Aruba,ABW,1.029933,score,2019.0
15,Social issues ,"Primary completion rate, total (% of relevant age group)",C3_Cancel public events,Aruba,ABW,101.180557250977,proportion,2014.0
16,Social issues ,Net migration,C3_Cancel public events,Aruba,ABW,1004.0,net total / data are 5 year estimates,2019.0
19,Demographics,Secure Internet servers ,C3_Cancel public events,Aruba,ABW,1401.508738265892,per 1 million people,2019.0
32,Demographics,Mobile cellular subscriptions,C3_Cancel public events,Aruba,ABW,135.134,per 100 people,2019.0
40,Governance,Voice and accountability estimate,C3_Cancel public events,Aruba,ABW,1.294189,score,2019.0
46,Demographics,Age dependency ratio (% of working-age population),C3_Cancel public events,Aruba,ABW,46.36745370689062,proportion,2019.0
51,Social issues ,"Intentional homicides (per 100,000 people)",C3_Cancel public events,Aruba,ABW,1.9272278754,"proportion, pero 100,000 people",2014.0
55,Governance,Control of corruption estimate,C3_Cancel public events,Aruba,ABW,1.217238,score,2019.0
60,Governance,Political stability and absence of violence/terrorism estimate,C3_Cancel public events,Aruba,ABW,1.357372,score,2019.0
61,Demographics,Urban population (% of total population),C3_Cancel public events,Aruba,ABW,43.546,total,2019.0
62,Governance,Regulatory quality estimate,C3_Cancel public events,Aruba,ABW,0.8573601,score,2019.0
64,Environment,CO2 emissions (kt),C3_Cancel public events,Aruba,ABW,883.747,kt,2016.0
75,Health,Mortality due to COVID-19,C3_Cancel public events,Aruba,ABW,47.0,"Number (cumulative total by Dec 26,2020)",2020.0
83,Environment,CO2 emissions (metric tons per capita),C3_Cancel public events,Aruba,ABW,8.426911,metric tons per capita,2016.0
84,Environment,Access to electricity ,C3_Cancel public events,Aruba,ABW,100.0,percent of population,2018.0
88,Demographics,People using at least basic sanitation services (% of population),C3_Cancel public events,Aruba,ABW,97.5434811165022,proportion,2016.0
108,Demographics,"Age dependency ratio, old (% of working-age population)",C3_Cancel public events,Aruba,ABW,20.57685688717561,proportion,2019.0
109,Social issues ,"Literacy rate, adult total (% of people ages 15 and above)",C3_Cancel public events,Aruba,ABW,97.8074188232422,proportion,2018.0
116,Demographics,"Population, total",C3_Cancel public events,Aruba,ABW,106314.0,total,2019.0
117,Demographics,Rural population (% of total population),C3_Cancel public events,Aruba,ABW,56.454,proportion,2019.0
