rank,Category,Indicator,Policy,Country,ISO,value,unit,year
1,Demographics,Individuals using the Internet,H6_Facial Coverings,Algeria,DZA,59.5797,percent of population,2019.0
2,Health,Prevalence of Respiratory infections and tuberculosis,H6_Facial Coverings,Algeria,DZA,0.144193,percent,2019.0
3,Demographics,Fixed telephone subscriptions,H6_Facial Coverings,Algeria,DZA,4635220.0,number,2019.0
4,Economics,Employment in services (% of total employment) (modeled ILO estimate),H6_Facial Coverings,Algeria,DZA,59.6380005,Percentage of total employment,2020.0
5,Health,Prevalence of COVID-19,H6_Facial Coverings,Algeria,DZA,94371.0,"Number (cumulative total by Dec 26,2020)",2020.0
6,Health,Prevalence of Depressive disorders,H6_Facial Coverings,Algeria,DZA,0.044199,percent,2019.0
7,Economics,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",H6_Facial Coverings,Algeria,DZA,14.5559998,Percentage of females of the total population,2020.0
8,Governance,Economic Freedom Score,H6_Facial Coverings,Algeria,DZA,4.97,score,2018.0
10,Demographics,Mobile cellular subscriptions,H6_Facial Coverings,Algeria,DZA,109.356,per 100 people,2019.0
11,Health,"Prevalence of overweight (modeled estimate, % of children under 5)",H6_Facial Coverings,Algeria,DZA,12.9,percent,2020.0
12,Governance,Personal Freedom Score ,H6_Facial Coverings,Algeria,DZA,5.42,score,2018.0
13,Demographics,Fixed broadband subscriptions,H6_Facial Coverings,Algeria,DZA,8.32168,per 100 people,2019.0
14,Social issues ,Net migration,H6_Facial Coverings,Algeria,DZA,-50002.0,net total / data are 5 year estimates,2019.0
15,Health,Prevalence of Hypertensive heart disease,H6_Facial Coverings,Algeria,DZA,0.00303,percent,2019.0
16,Health,Mortality due to COVID-19,H6_Facial Coverings,Algeria,DZA,2647.0,"Number (cumulative total by Dec 26,2020)",2020.0
17,Health,"Physicians (per 1,000 people)",H6_Facial Coverings,Algeria,DZA,1.7193,Ones,2018.0
18,Health,Prevalence of total cancers,H6_Facial Coverings,Algeria,DZA,0.005568,percent,2019.0
19,Environment,Combustible renewables and waste,H6_Facial Coverings,Algeria,DZA,0.0116,percent of total energy,2014.0
20,Governance,Total freedom in the world score ,H6_Facial Coverings,Algeria,DZA,32.0,score,2021.0
21,Economics,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",H6_Facial Coverings,Algeria,DZA,40.9459991,Percentage of total population,2020.0
22,Environment,"Adjusted net savings, including particulate emission damage",H6_Facial Coverings,Algeria,DZA,21.2273126546239,percent of GNI,2017.0
23,Health,Prevalence of obesity,H6_Facial Coverings,Algeria,DZA,27.4,percent,2016.0
25,Health,Prevalence of down syndrome,H6_Facial Coverings,Algeria,DZA,0.000439,percent,2019.0
