rank,Category,Indicator,Policy,Country,ISO,value,unit,year
1,Demographics,Individuals using the Internet,H6_Facial Coverings,Liechtenstein,LIE,98.1,percent of population,2019.0
3,Demographics,Fixed telephone subscriptions,H6_Facial Coverings,Liechtenstein,LIE,14032.0,number,2019.0
4,Health,Prevalence of COVID-19,H6_Facial Coverings,Liechtenstein,LIE,1725.0,"Number (cumulative total by Dec 26,2020)",2020.0
10,Governance,Aggregate score for the Civil Liberties category,H6_Facial Coverings,Liechtenstein,LIE,57.0,score,2021.0
13,Governance,Aggregate score for the Political Rights category,H6_Facial Coverings,Liechtenstein,LIE,33.0,score,2021.0
14,Demographics,Fixed broadband subscriptions,H6_Facial Coverings,Liechtenstein,LIE,45.3747,per 100 people,2019.0
21,Social issues ,"Intentional homicides (per 100,000 people)",H6_Facial Coverings,Liechtenstein,LIE,2.6372698982,"proportion, pero 100,000 people",2018.0
28,Environment,CO2 emissions (kt),H6_Facial Coverings,Liechtenstein,LIE,51.338,kt,2016.0
31,Environment,Renewable energy consumption ,H6_Facial Coverings,Liechtenstein,LIE,63.1344414422166,percent of total final energy consumption,2015.0
40,Environment,CO2 emissions (metric tons per capita),H6_Facial Coverings,Liechtenstein,LIE,1.363269,metric tons per capita,2016.0
41,Governance,Control of corruption estimate,H6_Facial Coverings,Liechtenstein,LIE,1.968311,score,2019.0
42,Social issues ,Press freedom score,H6_Facial Coverings,Liechtenstein,LIE,19.52,score,2020.0
44,Demographics,Mobile cellular subscriptions,H6_Facial Coverings,Liechtenstein,LIE,127.06,per 100 people,2019.0
52,Demographics,Secure Internet servers ,H6_Facial Coverings,Liechtenstein,LIE,48028.61727031221,per 1 million people,2019.0
58,Governance,Regulatory quality estimate,H6_Facial Coverings,Liechtenstein,LIE,1.540814,score,2019.0
59,Governance,Human Development Index,H6_Facial Coverings,Liechtenstein,LIE,0.919,index,2019.0
60,Social issues ,Proportion of seats held by women in national parliaments (%),H6_Facial Coverings,Liechtenstein,LIE,12.0,proportion,2020.0
62,Governance,Serious assault (rate),H6_Facial Coverings,Liechtenstein,LIE,208.34,rate,2018.0
65,Governance,Government effectiveness estimate,H6_Facial Coverings,Liechtenstein,LIE,1.696766,score,2019.0
69,Health,Mortality due to COVID-19,H6_Facial Coverings,Liechtenstein,LIE,22.0,"Number (cumulative total by Dec 26,2020)",2020.0
72,Governance,Voice and accountability estimate,H6_Facial Coverings,Liechtenstein,LIE,1.259364,score,2019.0
76,Governance,Political stability and absence of violence/terrorism estimate,H6_Facial Coverings,Liechtenstein,LIE,1.627746,score,2019.0
79,Governance,Total freedom in the world score ,H6_Facial Coverings,Liechtenstein,LIE,90.0,score,2021.0
82,Governance,Rule of law estimate ,H6_Facial Coverings,Liechtenstein,LIE,1.679333,score,2019.0
84,Environment,Access to electricity ,H6_Facial Coverings,Liechtenstein,LIE,100.0,percent of population,2018.0
