rank,Category,Indicator,Policy,Country,ISO,value,unit,year
1,Demographics,Individuals using the Internet,H6_Facial Coverings,Lithuania,LTU,81.5819,percent of population,2019.0
2,Health,Prevalence of Respiratory infections and tuberculosis,H6_Facial Coverings,Lithuania,LTU,0.2189,percent,2019.0
3,Demographics,Fixed telephone subscriptions,H6_Facial Coverings,Lithuania,LTU,368213.0,number,2019.0
4,Economics,Employment in services (% of total employment) (modeled ILO estimate),H6_Facial Coverings,Lithuania,LTU,67.4349976,Percentage of total employment,2020.0
5,Health,Prevalence of COVID-19,H6_Facial Coverings,Lithuania,LTU,109429.0,"Number (cumulative total by Dec 26,2020)",2020.0
6,Health,Prevalence of Depressive disorders,H6_Facial Coverings,Lithuania,LTU,0.05422,percent,2019.0
7,Economics,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",H6_Facial Coverings,Lithuania,LTU,56.2350006,Percentage of females of the total population,2020.0
8,Governance,Economic Freedom Score,H6_Facial Coverings,Lithuania,LTU,8.1,score,2018.0
10,Demographics,Mobile cellular subscriptions,H6_Facial Coverings,Lithuania,LTU,168.821,per 100 people,2019.0
12,Governance,Personal Freedom Score ,H6_Facial Coverings,Lithuania,LTU,8.64,score,2018.0
13,Demographics,Fixed broadband subscriptions,H6_Facial Coverings,Lithuania,LTU,28.6932,per 100 people,2019.0
14,Social issues ,Net migration,H6_Facial Coverings,Lithuania,LTU,-163902.0,net total / data are 5 year estimates,2019.0
15,Health,Prevalence of Hypertensive heart disease,H6_Facial Coverings,Lithuania,LTU,0.001309,percent,2019.0
16,Health,Mortality due to COVID-19,H6_Facial Coverings,Lithuania,LTU,1005.0,"Number (cumulative total by Dec 26,2020)",2020.0
17,Health,"Physicians (per 1,000 people)",H6_Facial Coverings,Lithuania,LTU,6.3528,Ones,2018.0
18,Health,Prevalence of total cancers,H6_Facial Coverings,Lithuania,LTU,0.023727,percent,2019.0
19,Environment,Combustible renewables and waste,H6_Facial Coverings,Lithuania,LTU,14.99963,percent of total energy,2014.0
20,Governance,Total freedom in the world score ,H6_Facial Coverings,Lithuania,LTU,90.0,score,2021.0
21,Economics,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",H6_Facial Coverings,Lithuania,LTU,61.3779984,Percentage of total population,2020.0
22,Environment,"Adjusted net savings, including particulate emission damage",H6_Facial Coverings,Lithuania,LTU,11.21549477018,percent of GNI,2018.0
23,Health,Prevalence of obesity,H6_Facial Coverings,Lithuania,LTU,26.3,percent,2016.0
24,Social issues ,Gini index (World Bank estimate),H6_Facial Coverings,Lithuania,LTU,37.3,index ,2017.0
25,Health,Prevalence of down syndrome,H6_Facial Coverings,Lithuania,LTU,0.000191,percent,2019.0
26,Environment,"Electricity production from renewable sources, excluding hydroelectric",H6_Facial Coverings,Lithuania,LTU,1329000000.0,kWh,2015.0
27,Social issues ,Life Ladder ,H6_Facial Coverings,Lithuania,LTU,6.25540018081665,score,2021.0
28,Governance,Control of corruption estimate,H6_Facial Coverings,Lithuania,LTU,0.675986,score,2019.0
29,Health,Summary exposure value tobacco,H6_Facial Coverings,Lithuania,LTU,23.1347,Rate (risk-weighted prevalence),2019.0
30,Governance,Fragile States Index Total ,H6_Facial Coverings,Lithuania,LTU,36.47089084336904,score,2020.0
31,Health,Domestic General Government Health Expenditure (GGHE-D) as % General Government Expenditure (GGE),H6_Facial Coverings,Lithuania,LTU,4.3,percent,2018.0
33,Governance,Serious assault (rate),H6_Facial Coverings,Lithuania,LTU,6.6,rate,2018.0
34,Environment,Fossil fuel energy consumption,H6_Facial Coverings,Lithuania,LTU,67.99375,percent of total,2014.0
35,Environment,Electricity production from coal sources ,H6_Facial Coverings,Lithuania,LTU,0.0,percent of total,2015.0
36,Environment,"PM2.5 air pollution, mean annual exposure",H6_Facial Coverings,Lithuania,LTU,11.85328,micrograms per cubic meter,2017.0
37,Environment,Renewable energy consumption ,H6_Facial Coverings,Lithuania,LTU,28.9611792543763,percent of total final energy consumption,2015.0
39,Health,"Incidence of tuberculosis (per 100,000 people)",H6_Facial Coverings,Lithuania,LTU,42.0,Cases,2019.0
40,Environment,"Electricity production from oil, gas and coal sources",H6_Facial Coverings,Lithuania,LTU,52.9356505401597,percent of total,2015.0
42,Environment,CO2 emissions (kt),H6_Facial Coverings,Lithuania,LTU,12962.85,kt,2016.0
43,Health,"Immunization, measles (% of children ages 12-23 months)",H6_Facial Coverings,Lithuania,LTU,93.0,percent,2019.0
44,Economics,Volume of imports,H6_Facial Coverings,Lithuania,LTU,5.428,percent change,2020.0
46,Social issues ,Press freedom score,H6_Facial Coverings,Lithuania,LTU,21.19,score,2020.0
47,Health,"Nurses and midwives (per 1,000 people)",H6_Facial Coverings,Lithuania,LTU,9.8472,Ones,2018.0
48,Social issues ,Proportion of seats held by women in national parliaments (%),H6_Facial Coverings,Lithuania,LTU,24.11347518,proportion,2020.0
49,Health,Prevalence of anxiety disorders,H6_Facial Coverings,Lithuania,LTU,0.049785,percent,2019.0
50,Environment,CO2 emissions (metric tons per capita),H6_Facial Coverings,Lithuania,LTU,4.519456,metric tons per capita,2016.0
