rank,Category,Indicator,Policy,Country,ISO,value,unit,year
1,Demographics,Individuals using the Internet,H6_Facial Coverings,Tuvalu,TUV,49.3183,percent of population,2019.0
2,Health,Prevalence of Respiratory infections and tuberculosis,H6_Facial Coverings,Tuvalu,TUV,0.408519,percent,2019.0
3,Demographics,Fixed telephone subscriptions,H6_Facial Coverings,Tuvalu,TUV,2000.0,number,2019.0
5,Health,Prevalence of COVID-19,H6_Facial Coverings,Tuvalu,TUV,0.0,"Number (cumulative total by Dec 26,2020)",2020.0
6,Health,Prevalence of Depressive disorders,H6_Facial Coverings,Tuvalu,TUV,0.031974,percent,2019.0
10,Demographics,Mobile cellular subscriptions,H6_Facial Coverings,Tuvalu,TUV,70.3606,per 100 people,2019.0
11,Health,"Prevalence of overweight (modeled estimate, % of children under 5)",H6_Facial Coverings,Tuvalu,TUV,6.4,percent,2020.0
13,Demographics,Fixed broadband subscriptions,H6_Facial Coverings,Tuvalu,TUV,3.95778,per 100 people,2019.0
15,Health,Prevalence of Hypertensive heart disease,H6_Facial Coverings,Tuvalu,TUV,0.002918,percent,2019.0
16,Health,Mortality due to COVID-19,H6_Facial Coverings,Tuvalu,TUV,0.0,"Number (cumulative total by Dec 26,2020)",2020.0
17,Health,"Physicians (per 1,000 people)",H6_Facial Coverings,Tuvalu,TUV,0.9174,Ones,2014.0
18,Health,Prevalence of total cancers,H6_Facial Coverings,Tuvalu,TUV,0.006103,percent,2019.0
20,Governance,Total freedom in the world score ,H6_Facial Coverings,Tuvalu,TUV,93.0,score,2021.0
23,Health,Prevalence of obesity,H6_Facial Coverings,Tuvalu,TUV,51.6,percent,2016.0
25,Health,Prevalence of down syndrome,H6_Facial Coverings,Tuvalu,TUV,0.000145,percent,2019.0
28,Governance,Control of corruption estimate,H6_Facial Coverings,Tuvalu,TUV,0.4090785,score,2019.0
29,Health,Summary exposure value tobacco,H6_Facial Coverings,Tuvalu,TUV,26.98035,Rate (risk-weighted prevalence),2019.0
31,Health,Domestic General Government Health Expenditure (GGHE-D) as % General Government Expenditure (GGE),H6_Facial Coverings,Tuvalu,TUV,15.2,percent,2018.0
37,Environment,Renewable energy consumption ,H6_Facial Coverings,Tuvalu,TUV,0.0,percent of total final energy consumption,2015.0
38,Health,"Prevalence of stunting, height for age (modeled estimate, % of children under 5)",H6_Facial Coverings,Tuvalu,TUV,9.7,percent,2020.0
39,Health,"Incidence of tuberculosis (per 100,000 people)",H6_Facial Coverings,Tuvalu,TUV,296.0,Cases,2019.0
41,Demographics,Urban population (% of total population),H6_Facial Coverings,Tuvalu,TUV,63.215,total,2019.0
42,Environment,CO2 emissions (kt),H6_Facial Coverings,Tuvalu,TUV,11.001,kt,2016.0
43,Health,"Immunization, measles (% of children ages 12-23 months)",H6_Facial Coverings,Tuvalu,TUV,96.0,percent,2019.0
47,Health,"Nurses and midwives (per 1,000 people)",H6_Facial Coverings,Tuvalu,TUV,4.2609,Ones,2018.0
48,Social issues ,Proportion of seats held by women in national parliaments (%),H6_Facial Coverings,Tuvalu,TUV,6.25,proportion,2020.0
49,Health,Prevalence of anxiety disorders,H6_Facial Coverings,Tuvalu,TUV,0.042138,percent,2019.0
50,Environment,CO2 emissions (metric tons per capita),H6_Facial Coverings,Tuvalu,TUV,0.980045,metric tons per capita,2016.0
54,Economics,Expenditure on education (% of GDP),H6_Facial Coverings,Tuvalu,TUV,20.40146,percent,2016.0
56,Governance,Political stability and absence of violence/terrorism estimate,H6_Facial Coverings,Tuvalu,TUV,1.204567,score,2019.0
57,Governance,Voice and accountability estimate,H6_Facial Coverings,Tuvalu,TUV,1.122499,score,2019.0
58,Demographics,Secure Internet servers ,H6_Facial Coverings,Tuvalu,TUV,85.86639189421261,per 1 million people,2019.0
59,Health,"Immunization, DPT (% of children ages 12-23 months)",H6_Facial Coverings,Tuvalu,TUV,92.0,percent,2019.0
60,Governance,Regulatory quality estimate,H6_Facial Coverings,Tuvalu,TUV,-0.5554741,score,2019.0
61,Governance,Aggregate score for the Political Rights category,H6_Facial Coverings,Tuvalu,TUV,37.0,score,2021.0
64,Health,Prevalence of Diabetes,H6_Facial Coverings,Tuvalu,TUV,0.112408,percent,2019.0
67,Governance,Aggregate score for the Civil Liberties category,H6_Facial Coverings,Tuvalu,TUV,56.0,score,2021.0
73,Governance,"CPIA transparency, accountability, and corruption in the public sector rating (1=low to 6=high)",H6_Facial Coverings,Tuvalu,TUV,3.5,rating,2019.0
74,Governance,Government effectiveness estimate,H6_Facial Coverings,Tuvalu,TUV,-0.6466321,score,2019.0
76,Social issues ,Progression to secondary school (%),H6_Facial Coverings,Tuvalu,TUV,93.66516,proportion,2015.0
78,Environment,Access to electricity ,H6_Facial Coverings,Tuvalu,TUV,100.0,percent of population,2018.0
79,Economics,Expenditure on social protection (% of GDP),H6_Facial Coverings,Tuvalu,TUV,9.08319,percent,2016.0
