rank,Category,Indicator,Policy,Country,ISO,value,unit,year
61,Health,"Prevalence of stunting, height for age (modeled estimate, % of children under 5)",H6_Facial Coverings,Mauritania,MRT,24.2,percent,2020.0
65,Governance,Government effectiveness estimate,H6_Facial Coverings,Mauritania,MRT,-0.4982125,score,2019.0
68,Health,"Immunization, DPT (% of children ages 12-23 months)",H6_Facial Coverings,Mauritania,MRT,81.0,percent,2019.0
69,Health,Mortality due to COVID-19,H6_Facial Coverings,Mauritania,MRT,225.0,"Number (cumulative total by Dec 26,2020)",2020.0
71,Health,"Prevalence of HIV, total (% of population ages 15-49)",H6_Facial Coverings,Mauritania,MRT,0.2,percent,2019.0
72,Governance,Voice and accountability estimate,H6_Facial Coverings,Mauritania,MRT,-0.7802137,score,2019.0
74,Environment,"PM2.5 air pollution, population exposed to levels exceeding WHO guideline value ",H6_Facial Coverings,Mauritania,MRT,100.0,percent of total,2017.0
76,Governance,Political stability and absence of violence/terrorism estimate,H6_Facial Coverings,Mauritania,MRT,-0.5422166,score,2019.0
77,Economics,Volume of exports,H6_Facial Coverings,Mauritania,MRT,2.82,percent change,2020.0
79,Governance,Total freedom in the world score ,H6_Facial Coverings,Mauritania,MRT,35.0,score,2021.0
80,Economics,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",H6_Facial Coverings,Mauritania,MRT,45.894001,Percentage of total population,2020.0
82,Governance,Rule of law estimate ,H6_Facial Coverings,Mauritania,MRT,-0.5827179,score,2019.0
83,Governance,"CPIA transparency, accountability, and corruption in the public sector rating (1=low to 6=high)",H6_Facial Coverings,Mauritania,MRT,3.0,rating,2019.0
84,Environment,Access to electricity ,H6_Facial Coverings,Mauritania,MRT,44.526912689209,percent of population,2018.0
