rank,Category,Indicator,Policy,Country,ISO,value,unit,year
1,Demographics,Individuals using the Internet,C1_School closing,New Caledonia,NCL,82.0058,percent of population,2019.0
3,Health,Prevalence of COVID-19,C1_School closing,New Caledonia,NCL,37.0,"Number (cumulative total by Dec 26,2020)",2020.0
4,Demographics,Secure Internet servers ,C1_School closing,New Caledonia,NCL,4617.790132036136,per 1 million people,2019.0
6,Demographics,Fixed broadband subscriptions,C1_School closing,New Caledonia,NCL,20.4272,per 100 people,2019.0
7,Health,Mortality due to COVID-19,C1_School closing,New Caledonia,NCL,0.0,"Number (cumulative total by Dec 26,2020)",2020.0
15,Environment,Renewable energy consumption ,C1_School closing,New Caledonia,NCL,4.75922121144079,percent of total final energy consumption,2015.0
16,Economics,"Unemployment, total (% of total labor force) (modeled ILO estimate)",C1_School closing,New Caledonia,NCL,12.7810001,percent of total labor force,2020.0
18,Social issues ,Net migration,C1_School closing,New Caledonia,NCL,2510.0,net total / data are 5 year estimates,2019.0
20,Demographics,Urban population (% of total population),C1_School closing,New Caledonia,NCL,71.104,total,2019.0
21,Environment,CO2 emissions (metric tons per capita),C1_School closing,New Caledonia,NCL,19.2665,metric tons per capita,2016.0
30,Demographics,Fixed telephone subscriptions,C1_School closing,New Caledonia,NCL,77719.0,number,2019.0
34,Demographics,Mobile cellular subscriptions,C1_School closing,New Caledonia,NCL,96.0201,per 100 people,2019.0
37,Economics,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",C1_School closing,New Caledonia,NCL,57.4630013,Percentage of females of the total population,2020.0
40,Environment,CO2 emissions (kt),C1_School closing,New Caledonia,NCL,5328.151,kt,2016.0
42,Economics,Employment in services (% of total employment) (modeled ILO estimate),C1_School closing,New Caledonia,NCL,77.473999,Percentage of total employment,2020.0
49,Health,"Incidence of tuberculosis (per 100,000 people)",C1_School closing,New Caledonia,NCL,9.4,Cases,2019.0
56,Economics,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",C1_School closing,New Caledonia,NCL,62.8320007,Percentage of total population,2020.0
61,Social issues ,"Literacy rate, adult total (% of people ages 15 and above)",C1_School closing,New Caledonia,NCL,97.8000030517578,proportion,2014.0
66,Demographics,"Population, total",C1_School closing,New Caledonia,NCL,287800.0,total,2019.0
67,Environment,Access to electricity ,C1_School closing,New Caledonia,NCL,100.0,percent of population,2018.0
71,Demographics,Rural population (% of total population),C1_School closing,New Caledonia,NCL,28.896,proportion,2019.0
80,Demographics,People using at least basic sanitation services (% of population),C1_School closing,New Caledonia,NCL,100.0,proportion,2017.0
93,Demographics,Age dependency ratio (% of working-age population),C1_School closing,New Caledonia,NCL,46.75811427551567,proportion,2019.0
95,Demographics,People using safely managed drinking water services (% of population),C1_School closing,New Caledonia,NCL,96.660852173958,proportion,2017.0
96,Demographics,"Age dependency ratio, old (% of working-age population)",C1_School closing,New Caledonia,NCL,13.83442543535351,proportion,2019.0
98,Economics,"Output per worker (GDP constant 2011 international $ in PPP -- ILO modelled estimates, Nov. 2019",C1_School closing,New Caledonia,NCL,135018.7,international $ in PPP,2020.0
