rank,Category,Indicator,Policy,Country,ISO,value,unit,year
1,Demographics,Individuals using the Internet,C1_School closing,Somalia,SOM,2.00405,percent of population,2019.0
2,Governance,Corruption Perceptions Index,C1_School closing,Somalia,SOM,12.0,score,2020.0
3,Health,Prevalence of COVID-19,C1_School closing,Somalia,SOM,4662.0,"Number (cumulative total by Dec 26,2020)",2020.0
4,Demographics,Secure Internet servers ,C1_School closing,Somalia,SOM,8.54761458417312,per 1 million people,2019.0
6,Demographics,Fixed broadband subscriptions,C1_School closing,Somalia,SOM,0.671731,per 100 people,2019.0
7,Health,Mortality due to COVID-19,C1_School closing,Somalia,SOM,124.0,"Number (cumulative total by Dec 26,2020)",2020.0
8,Social issues ,Life Ladder ,C1_School closing,Somalia,SOM,4.667941093444824,score,2016.0
9,Health,Prevalence of anxiety disorders,C1_School closing,Somalia,SOM,0.02804,percent,2019.0
10,Health,Summary exposure value tobacco,C1_School closing,Somalia,SOM,12.20393,Rate (risk-weighted prevalence),2019.0
11,Health,"Prevalence of HIV, total (% of population ages 15-49)",C1_School closing,Somalia,SOM,0.1,percent,2019.0
13,Health,Prevalence of down syndrome,C1_School closing,Somalia,SOM,0.000159,percent,2019.0
14,Health,Prevalence of total cancers,C1_School closing,Somalia,SOM,0.00163,percent,2019.0
15,Environment,Renewable energy consumption ,C1_School closing,Somalia,SOM,94.2859666089416,percent of total final energy consumption,2015.0
16,Economics,"Unemployment, total (% of total labor force) (modeled ILO estimate)",C1_School closing,Somalia,SOM,11.3999996,percent of total labor force,2020.0
18,Social issues ,Net migration,C1_School closing,Somalia,SOM,-200002.0,net total / data are 5 year estimates,2019.0
21,Environment,CO2 emissions (metric tons per capita),C1_School closing,Somalia,SOM,0.045496,metric tons per capita,2016.0
22,Governance,Rule of law estimate ,C1_School closing,Somalia,SOM,-2.350358,score,2019.0
23,Governance,Political stability and absence of violence/terrorism estimate,C1_School closing,Somalia,SOM,-2.383227,score,2019.0
24,Health,Prevalence of Hypertensive heart disease,C1_School closing,Somalia,SOM,0.000686,percent,2019.0
27,Governance,Aggregate score for the Political Rights category,C1_School closing,Somalia,SOM,1.0,score,2021.0
28,Health,"Prevalence of stunting, height for age (modeled estimate, % of children under 5)",C1_School closing,Somalia,SOM,27.4,percent,2020.0
30,Demographics,Fixed telephone subscriptions,C1_School closing,Somalia,SOM,65.0,number,2019.0
31,Health,"Nurses and midwives (per 1,000 people)",C1_School closing,Somalia,SOM,0.1119,Ones,2014.0
32,Health,Prevalence of Respiratory infections and tuberculosis,C1_School closing,Somalia,SOM,0.231141,percent,2019.0
34,Demographics,Mobile cellular subscriptions,C1_School closing,Somalia,SOM,48.7964,per 100 people,2019.0
36,Health,Prevalence of Diabetes,C1_School closing,Somalia,SOM,0.016555,percent,2019.0
37,Economics,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",C1_School closing,Somalia,SOM,21.7700005,Percentage of females of the total population,2020.0
38,Health,Prevalence of Depressive disorders,C1_School closing,Somalia,SOM,0.033103,percent,2019.0
39,Environment,"PM2.5 air pollution, mean annual exposure",C1_School closing,Somalia,SOM,32.03458,micrograms per cubic meter,2017.0
40,Environment,CO2 emissions (kt),C1_School closing,Somalia,SOM,645.392,kt,2016.0
42,Economics,Employment in services (% of total employment) (modeled ILO estimate),C1_School closing,Somalia,SOM,13.4350004,Percentage of total employment,2020.0
43,Social issues ,Proportion of seats held by women in national parliaments (%),C1_School closing,Somalia,SOM,24.36363636,proportion,2020.0
47,Health,"Prevalence of overweight (modeled estimate, % of children under 5)",C1_School closing,Somalia,SOM,2.9,percent,2020.0
49,Health,"Incidence of tuberculosis (per 100,000 people)",C1_School closing,Somalia,SOM,258.0,Cases,2019.0
50,Health,"Immunization, measles (% of children ages 12-23 months)",C1_School closing,Somalia,SOM,46.0,percent,2019.0
52,Governance,Regulatory quality estimate,C1_School closing,Somalia,SOM,-2.203132,score,2019.0
53,Health,Prevalence of obesity,C1_School closing,Somalia,SOM,8.3,percent,2016.0
56,Economics,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",C1_School closing,Somalia,SOM,47.4360008,Percentage of total population,2020.0
57,Governance,Aggregate score for the Civil Liberties category,C1_School closing,Somalia,SOM,6.0,score,2021.0
60,Governance,Government effectiveness estimate,C1_School closing,Somalia,SOM,-2.237149,score,2019.0
62,Social issues ,Press freedom score,C1_School closing,Somalia,SOM,55.45,score,2020.0
64,Environment,"PM2.5 air pollution, population exposed to levels exceeding WHO guideline value ",C1_School closing,Somalia,SOM,100.0,percent of total,2017.0
65,Governance,Voice and accountability estimate,C1_School closing,Somalia,SOM,-1.835274,score,2019.0
67,Environment,Access to electricity ,C1_School closing,Somalia,SOM,35.2555351257324,percent of population,2018.0
72,Health,"Physicians (per 1,000 people)",C1_School closing,Somalia,SOM,0.023,Ones,2014.0
75,Governance,Fragile States Index Total ,C1_School closing,Somalia,SOM,110.88895932474605,score,2020.0
76,Health,Prevalence of chronic kidney disease,C1_School closing,Somalia,SOM,0.03002,percent,2019.0
78,Governance,Total freedom in the world score ,C1_School closing,Somalia,SOM,7.0,score,2021.0
85,Governance,"CPIA transparency, accountability, and corruption in the public sector rating (1=low to 6=high)",C1_School closing,Somalia,SOM,2.0,rating,2019.0
97,Governance,Control of corruption estimate,C1_School closing,Somalia,SOM,-1.709963,score,2019.0
114,Health,"Immunization, DPT (% of children ages 12-23 months)",C1_School closing,Somalia,SOM,42.0,percent,2019.0
