rank,Category,Indicator,Policy,Country,ISO,value,unit,year
1,Demographics,Individuals using the Internet,C1_School closing,Peru,PER,59.9505,percent of population,2019.0
2,Governance,Corruption Perceptions Index,C1_School closing,Peru,PER,38.0,score,2020.0
3,Health,Prevalence of COVID-19,C1_School closing,Peru,PER,991518.0,"Number (cumulative total by Dec 26,2020)",2020.0
4,Demographics,Secure Internet servers ,C1_School closing,Peru,PER,384.6455169357376,per 1 million people,2019.0
6,Demographics,Fixed broadband subscriptions,C1_School closing,Peru,PER,7.34701,per 100 people,2019.0
7,Health,Mortality due to COVID-19,C1_School closing,Peru,PER,36901.0,"Number (cumulative total by Dec 26,2020)",2020.0
8,Social issues ,Life Ladder ,C1_School closing,Peru,PER,5.839600086212158,score,2021.0
9,Health,Prevalence of anxiety disorders,C1_School closing,Peru,PER,0.059467,percent,2019.0
10,Health,Summary exposure value tobacco,C1_School closing,Peru,PER,8.189897,Rate (risk-weighted prevalence),2019.0
11,Health,"Prevalence of HIV, total (% of population ages 15-49)",C1_School closing,Peru,PER,0.3,percent,2019.0
12,Health,Domestic General Government Health Expenditure (GGHE-D) as % General Government Expenditure (GGE),C1_School closing,Peru,PER,3.3,percent,2018.0
13,Health,Prevalence of down syndrome,C1_School closing,Peru,PER,0.000177,percent,2019.0
14,Health,Prevalence of total cancers,C1_School closing,Peru,PER,0.008228,percent,2019.0
15,Environment,Renewable energy consumption ,C1_School closing,Peru,PER,25.5039055158479,percent of total final energy consumption,2015.0
16,Economics,"Unemployment, total (% of total labor force) (modeled ILO estimate)",C1_School closing,Peru,PER,3.1960001,percent of total labor force,2020.0
17,Environment,"Adjusted net savings, including particulate emission damage",C1_School closing,Peru,PER,6.59264532209261,percent of GNI,2018.0
18,Social issues ,Net migration,C1_School closing,Peru,PER,495345.0,net total / data are 5 year estimates,2019.0
19,Environment,Electric power consumption ,C1_School closing,Peru,PER,1345.879588874297,kWh per capita,2014.0
20,Demographics,Urban population (% of total population),C1_School closing,Peru,PER,78.099,total,2019.0
21,Environment,CO2 emissions (metric tons per capita),C1_School closing,Peru,PER,1.856501,metric tons per capita,2016.0
22,Governance,Rule of law estimate ,C1_School closing,Peru,PER,-0.4872026,score,2019.0
23,Governance,Political stability and absence of violence/terrorism estimate,C1_School closing,Peru,PER,-0.1417345,score,2019.0
24,Health,Prevalence of Hypertensive heart disease,C1_School closing,Peru,PER,0.001076,percent,2019.0
25,Social issues ,Gini index (World Bank estimate),C1_School closing,Peru,PER,42.8,index ,2018.0
26,Economics,"Central government debt, total",C1_School closing,Peru,PER,23.18324960818861,percent of GDP,2016.0
27,Governance,Aggregate score for the Political Rights category,C1_School closing,Peru,PER,29.0,score,2021.0
28,Health,"Prevalence of stunting, height for age (modeled estimate, % of children under 5)",C1_School closing,Peru,PER,10.8,percent,2020.0
29,Governance,Personal Freedom Score ,C1_School closing,Peru,PER,7.6,score,2018.0
30,Demographics,Fixed telephone subscriptions,C1_School closing,Peru,PER,3082040.0,number,2019.0
31,Health,"Nurses and midwives (per 1,000 people)",C1_School closing,Peru,PER,2.4398,Ones,2018.0
32,Health,Prevalence of Respiratory infections and tuberculosis,C1_School closing,Peru,PER,0.189816,percent,2019.0
33,Governance,Economic Freedom Score,C1_School closing,Peru,PER,7.76,score,2018.0
34,Demographics,Mobile cellular subscriptions,C1_School closing,Peru,PER,123.76,per 100 people,2019.0
35,Social issues ,Proportion of women in managerial positions (%),C1_School closing,Peru,PER,31.96,percent,2018.0
36,Health,Prevalence of Diabetes,C1_School closing,Peru,PER,0.037354,percent,2019.0
37,Economics,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",C1_School closing,Peru,PER,70.5839996,Percentage of females of the total population,2020.0
38,Health,Prevalence of Depressive disorders,C1_School closing,Peru,PER,0.02357,percent,2019.0
39,Environment,"PM2.5 air pollution, mean annual exposure",C1_School closing,Peru,PER,24.78673,micrograms per cubic meter,2017.0
40,Environment,CO2 emissions (kt),C1_School closing,Peru,PER,57414.22,kt,2016.0
41,Environment,"Electricity production from oil, gas and coal sources",C1_School closing,Peru,PER,47.26948664276388,percent of total,2015.0
42,Economics,Employment in services (% of total employment) (modeled ILO estimate),C1_School closing,Peru,PER,57.5270004,Percentage of total employment,2020.0
43,Social issues ,Proportion of seats held by women in national parliaments (%),C1_School closing,Peru,PER,26.15384615,proportion,2020.0
44,Social issues ,"Intentional homicides (per 100,000 people)",C1_School closing,Peru,PER,7.9092238628,"proportion, pero 100,000 people",2017.0
45,Environment,Energy use ,C1_School closing,Peru,PER,66.53292912158106,"(kg of oil equivalent) per $1,000 GDP (constant 2017 PPP)",2014.0
46,Economics,Volume of imports,C1_School closing,Peru,PER,5.273,percent change,2020.0
47,Health,"Prevalence of overweight (modeled estimate, % of children under 5)",C1_School closing,Peru,PER,8.0,percent,2020.0
48,Social issues ,Progression to secondary school (%),C1_School closing,Peru,PER,95.42862,proportion,2017.0
49,Health,"Incidence of tuberculosis (per 100,000 people)",C1_School closing,Peru,PER,119.0,Cases,2019.0
50,Health,"Immunization, measles (% of children ages 12-23 months)",C1_School closing,Peru,PER,85.0,percent,2019.0
51,Economics,Volume of exports,C1_School closing,Peru,PER,3.304,percent change,2020.0
52,Governance,Regulatory quality estimate,C1_School closing,Peru,PER,0.5639061,score,2019.0
53,Health,Prevalence of obesity,C1_School closing,Peru,PER,19.7,percent,2016.0
55,Environment,Energy use (kg of oil equivalent per capita),C1_School closing,Peru,PER,790.2171921577939,kg of oil equivalent per capita,2014.0
56,Economics,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",C1_School closing,Peru,PER,77.9509964,Percentage of total population,2020.0
57,Governance,Aggregate score for the Civil Liberties category,C1_School closing,Peru,PER,42.0,score,2021.0
58,Environment,Electricity production from oil sources,C1_School closing,Peru,PER,1.403079728917535,percent of total,2015.0
59,Environment,Fossil fuel energy consumption,C1_School closing,Peru,PER,79.55568,percent of total,2014.0
60,Governance,Government effectiveness estimate,C1_School closing,Peru,PER,-0.0675457,score,2019.0
61,Social issues ,"Literacy rate, adult total (% of people ages 15 and above)",C1_School closing,Peru,PER,94.4082717895508,proportion,2018.0
62,Social issues ,Press freedom score,C1_School closing,Peru,PER,30.94,score,2020.0
63,Governance,Serious assault (rate),C1_School closing,Peru,PER,145.26,rate,2018.0
64,Environment,"PM2.5 air pollution, population exposed to levels exceeding WHO guideline value ",C1_School closing,Peru,PER,99.9629262855861,percent of total,2017.0
65,Governance,Voice and accountability estimate,C1_School closing,Peru,PER,0.2862839,score,2019.0
66,Demographics,"Population, total",C1_School closing,Peru,PER,32510453.0,total,2019.0
67,Environment,Access to electricity ,C1_School closing,Peru,PER,95.2,percent of population,2018.0
68,Environment,Combustible renewables and waste,C1_School closing,Peru,PER,11.16344,percent of total energy,2014.0
71,Demographics,Rural population (% of total population),C1_School closing,Peru,PER,21.901,proportion,2019.0
72,Health,"Physicians (per 1,000 people)",C1_School closing,Peru,PER,1.3048,Ones,2016.0
73,Social issues ,Proportion of people living below 50 percent of median income (%),C1_School closing,Peru,PER,19.4,proportion,2018.0
75,Governance,Fragile States Index Total ,C1_School closing,Peru,PER,67.62810848276709,score,2020.0
76,Health,Prevalence of chronic kidney disease,C1_School closing,Peru,PER,0.100009,percent,2019.0
77,Environment,"Electricity production from renewable sources, excluding hydroelectric",C1_School closing,Peru,PER,1732000000.0,kWh,2015.0
78,Governance,Total freedom in the world score ,C1_School closing,Peru,PER,71.0,score,2021.0
79,Environment,Electricity production from coal sources ,C1_School closing,Peru,PER,0.8393608422623365,percent of total,2015.0
80,Demographics,People using at least basic sanitation services (% of population),C1_School closing,Peru,PER,74.3429565941762,proportion,2017.0
81,Demographics,Refugee population by country or territory of asylum,C1_School closing,Peru,PER,2850.0,proportion,2019.0
82,Environment,"Energy imports, net ",C1_School closing,Peru,PER,-14.89958814310032,percent of energy use,2014.0
83,Governance,Human Development Index,C1_School closing,Peru,PER,0.777,index,2019.0
86,Social issues ,Coverage of social safety net programs (% of population),C1_School closing,Peru,PER,57.8810472597746,proportion,2017.0
87,Health,Hospital beds (per 10 000 population),C1_School closing,Peru,PER,15.9,Ones,2017.0
88,Social issues ,Proportion of population spending more than 10% of household consumption or income on out-of-pocket health care expenditure (%),C1_School closing,Peru,PER,9.20953273773193,proportion,2018.0
89,Environment,Electricity production from nuclear sources ,C1_School closing,Peru,PER,0.0,percent of total,2014.0
92,Social issues ,"Primary completion rate, total (% of relevant age group)",C1_School closing,Peru,PER,98.7053298950195,proportion,2019.0
93,Demographics,Age dependency ratio (% of working-age population),C1_School closing,Peru,PER,50.71130013966677,proportion,2019.0
95,Demographics,People using safely managed drinking water services (% of population),C1_School closing,Peru,PER,50.3506516238405,proportion,2017.0
96,Demographics,"Age dependency ratio, old (% of working-age population)",C1_School closing,Peru,PER,12.64992111757153,proportion,2019.0
97,Governance,Control of corruption estimate,C1_School closing,Peru,PER,-0.4476908,score,2019.0
109,Governance,Human Freedom Score ,C1_School closing,Peru,PER,7.68,score,2018.0
111,Social issues ,Proportion of population pushed below the $1.90 ($ 2011 PPP) poverty line by out-of-pocket health care expenditure (%),C1_School closing,Peru,PER,0.0237227026373148,proportion,2018.0
114,Health,"Immunization, DPT (% of children ages 12-23 months)",C1_School closing,Peru,PER,88.0,percent,2019.0
