rank,Category,Indicator,Policy,Country,ISO,value,unit,year
1,Demographics,Individuals using the Internet,C1_School closing,Israel,ISR,86.7879,percent of population,2019.0
2,Governance,Corruption Perceptions Index,C1_School closing,Israel,ISR,60.0,score,2020.0
3,Health,Prevalence of COVID-19,C1_School closing,Israel,ISR,362861.0,"Number (cumulative total by Dec 26,2020)",2020.0
4,Demographics,Secure Internet servers ,C1_School closing,Israel,ISR,11115.72575745861,per 1 million people,2019.0
6,Demographics,Fixed broadband subscriptions,C1_School closing,Israel,ISR,29.1218,per 100 people,2019.0
7,Health,Mortality due to COVID-19,C1_School closing,Israel,ISR,3027.0,"Number (cumulative total by Dec 26,2020)",2020.0
8,Social issues ,Life Ladder ,C1_School closing,Israel,ISR,7.157100200653076,score,2021.0
9,Health,Prevalence of anxiety disorders,C1_School closing,Israel,ISR,0.040109,percent,2019.0
10,Health,Summary exposure value tobacco,C1_School closing,Israel,ISR,26.3749,Rate (risk-weighted prevalence),2019.0
12,Health,Domestic General Government Health Expenditure (GGHE-D) as % General Government Expenditure (GGE),C1_School closing,Israel,ISR,4.9,percent,2018.0
13,Health,Prevalence of down syndrome,C1_School closing,Israel,ISR,0.000641,percent,2019.0
14,Health,Prevalence of total cancers,C1_School closing,Israel,ISR,0.019495,percent,2019.0
15,Environment,Renewable energy consumption ,C1_School closing,Israel,ISR,3.70776691254672,percent of total final energy consumption,2015.0
16,Economics,"Unemployment, total (% of total labor force) (modeled ILO estimate)",C1_School closing,Israel,ISR,3.77900004,percent of total labor force,2020.0
17,Environment,"Adjusted net savings, including particulate emission damage",C1_School closing,Israel,ISR,15.6409736844655,percent of GNI,2018.0
18,Social issues ,Net migration,C1_School closing,Israel,ISR,50002.0,net total / data are 5 year estimates,2019.0
19,Environment,Electric power consumption ,C1_School closing,Israel,ISR,6600.898280122205,kWh per capita,2014.0
21,Environment,CO2 emissions (metric tons per capita),C1_School closing,Israel,ISR,7.625352,metric tons per capita,2016.0
22,Governance,Rule of law estimate ,C1_School closing,Israel,ISR,1.04759,score,2019.0
23,Governance,Political stability and absence of violence/terrorism estimate,C1_School closing,Israel,ISR,-0.7785231,score,2019.0
24,Health,Prevalence of Hypertensive heart disease,C1_School closing,Israel,ISR,0.000597,percent,2019.0
25,Social issues ,Gini index (World Bank estimate),C1_School closing,Israel,ISR,39.0,index ,2016.0
27,Governance,Aggregate score for the Political Rights category,C1_School closing,Israel,ISR,33.0,score,2021.0
29,Governance,Personal Freedom Score ,C1_School closing,Israel,ISR,7.26,score,2018.0
30,Demographics,Fixed telephone subscriptions,C1_School closing,Israel,ISR,3040000.0,number,2019.0
31,Health,"Nurses and midwives (per 1,000 people)",C1_School closing,Israel,ISR,5.7002,Ones,2017.0
32,Health,Prevalence of Respiratory infections and tuberculosis,C1_School closing,Israel,ISR,0.125945,percent,2019.0
33,Governance,Economic Freedom Score,C1_School closing,Israel,ISR,7.62,score,2018.0
34,Demographics,Mobile cellular subscriptions,C1_School closing,Israel,ISR,126.77,per 100 people,2019.0
35,Social issues ,Proportion of women in managerial positions (%),C1_School closing,Israel,ISR,34.54,percent,2017.0
36,Health,Prevalence of Diabetes,C1_School closing,Israel,ISR,0.063931,percent,2019.0
37,Economics,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",C1_School closing,Israel,ISR,59.6920013,Percentage of females of the total population,2020.0
38,Health,Prevalence of Depressive disorders,C1_School closing,Israel,ISR,0.045451,percent,2019.0
39,Environment,"PM2.5 air pollution, mean annual exposure",C1_School closing,Israel,ISR,21.3811,micrograms per cubic meter,2017.0
40,Environment,CO2 emissions (kt),C1_School closing,Israel,ISR,65166.26,kt,2016.0
41,Environment,"Electricity production from oil, gas and coal sources",C1_School closing,Israel,ISR,97.66916824961854,percent of total,2015.0
42,Economics,Employment in services (% of total employment) (modeled ILO estimate),C1_School closing,Israel,ISR,82.276001,Percentage of total employment,2020.0
43,Social issues ,Proportion of seats held by women in national parliaments (%),C1_School closing,Israel,ISR,27.5,proportion,2020.0
44,Social issues ,"Intentional homicides (per 100,000 people)",C1_School closing,Israel,ISR,1.492021506,"proportion, pero 100,000 people",2017.0
45,Environment,Energy use ,C1_School closing,Israel,ISR,73.81400399691012,"(kg of oil equivalent) per $1,000 GDP (constant 2017 PPP)",2015.0
46,Economics,Volume of imports,C1_School closing,Israel,ISR,4.372,percent change,2020.0
49,Health,"Incidence of tuberculosis (per 100,000 people)",C1_School closing,Israel,ISR,2.9,Cases,2019.0
50,Health,"Immunization, measles (% of children ages 12-23 months)",C1_School closing,Israel,ISR,98.0,percent,2019.0
51,Economics,Volume of exports,C1_School closing,Israel,ISR,3.408,percent change,2020.0
52,Governance,Regulatory quality estimate,C1_School closing,Israel,ISR,1.280995,score,2019.0
53,Health,Prevalence of obesity,C1_School closing,Israel,ISR,26.1,percent,2016.0
55,Environment,Energy use (kg of oil equivalent per capita),C1_School closing,Israel,ISR,2777.875323683488,kg of oil equivalent per capita,2015.0
56,Economics,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",C1_School closing,Israel,ISR,64.0059967,Percentage of total population,2020.0
57,Governance,Aggregate score for the Civil Liberties category,C1_School closing,Israel,ISR,43.0,score,2021.0
58,Environment,Electricity production from oil sources,C1_School closing,Israel,ISR,0.6523837698128484,percent of total,2015.0
59,Environment,Fossil fuel energy consumption,C1_School closing,Israel,ISR,97.38212,percent of total,2015.0
60,Governance,Government effectiveness estimate,C1_School closing,Israel,ISR,1.325652,score,2019.0
62,Social issues ,Press freedom score,C1_School closing,Israel,ISR,30.84,score,2020.0
64,Environment,"PM2.5 air pollution, population exposed to levels exceeding WHO guideline value ",C1_School closing,Israel,ISR,100.0,percent of total,2017.0
65,Governance,Voice and accountability estimate,C1_School closing,Israel,ISR,0.6869864,score,2019.0
67,Environment,Access to electricity ,C1_School closing,Israel,ISR,100.0,percent of population,2018.0
68,Environment,Combustible renewables and waste,C1_School closing,Israel,ISR,0.037734,percent of total energy,2015.0
72,Health,"Physicians (per 1,000 people)",C1_School closing,Israel,ISR,4.6249,Ones,2018.0
75,Governance,Fragile States Index Total ,C1_School closing,Israel,ISR,75.1239717239818,score,2020.0
76,Health,Prevalence of chronic kidney disease,C1_School closing,Israel,ISR,0.084474,percent,2019.0
77,Environment,"Electricity production from renewable sources, excluding hydroelectric",C1_School closing,Israel,ISR,1190000000.0,kWh,2015.0
78,Governance,Total freedom in the world score ,C1_School closing,Israel,ISR,76.0,score,2021.0
79,Environment,Electricity production from coal sources ,C1_School closing,Israel,ISR,45.40373057640208,percent of total,2015.0
82,Environment,"Energy imports, net ",C1_School closing,Israel,ISR,64.96736332553556,percent of energy use,2015.0
83,Governance,Human Development Index,C1_School closing,Israel,ISR,0.919,index,2019.0
89,Environment,Electricity production from nuclear sources ,C1_School closing,Israel,ISR,0.0,percent of total,2015.0
97,Governance,Control of corruption estimate,C1_School closing,Israel,ISR,0.8059544,score,2019.0
98,Economics,"Output per worker (GDP constant 2011 international $ in PPP -- ILO modelled estimates, Nov. 2019",C1_School closing,Israel,ISR,77986.6,international $ in PPP,2020.0
102,Economics,Unemployment rate (%) - Annual,C1_School closing,Israel,ISR,3.9,percent,2019.0
109,Governance,Human Freedom Score ,C1_School closing,Israel,ISR,7.44,score,2018.0
112,Health,COVID-19 vaccine administered,C1_School closing,Israel,ISR,456200.0,"Number (cumulative total by Dec 26,2020)",2020.0
114,Health,"Immunization, DPT (% of children ages 12-23 months)",C1_School closing,Israel,ISR,98.0,percent,2019.0
