rank,Category,Indicator,Policy,Country,ISO,value,unit,year
1,Demographics,Individuals using the Internet,C1_School closing,Turkey,TUR,73.9767,percent of population,2019.0
2,Governance,Corruption Perceptions Index,C1_School closing,Turkey,TUR,40.0,score,2020.0
3,Health,Prevalence of COVID-19,C1_School closing,Turkey,TUR,1167752.0,"Number (cumulative total by Dec 26,2020)",2020.0
4,Demographics,Secure Internet servers ,C1_School closing,Turkey,TUR,5438.188825394915,per 1 million people,2019.0
6,Demographics,Fixed broadband subscriptions,C1_School closing,Turkey,TUR,17.0587,per 100 people,2019.0
7,Health,Mortality due to COVID-19,C1_School closing,Turkey,TUR,17610.0,"Number (cumulative total by Dec 26,2020)",2020.0
8,Social issues ,Life Ladder ,C1_School closing,Turkey,TUR,4.9475998878479,score,2021.0
9,Health,Prevalence of anxiety disorders,C1_School closing,Turkey,TUR,0.05017,percent,2019.0
10,Health,Summary exposure value tobacco,C1_School closing,Turkey,TUR,31.46364,Rate (risk-weighted prevalence),2019.0
12,Health,Domestic General Government Health Expenditure (GGHE-D) as % General Government Expenditure (GGE),C1_School closing,Turkey,TUR,3.2,percent,2018.0
13,Health,Prevalence of down syndrome,C1_School closing,Turkey,TUR,0.000243,percent,2019.0
14,Health,Prevalence of total cancers,C1_School closing,Turkey,TUR,0.01005,percent,2019.0
15,Environment,Renewable energy consumption ,C1_School closing,Turkey,TUR,13.3742300375217,percent of total final energy consumption,2015.0
16,Economics,"Unemployment, total (% of total labor force) (modeled ILO estimate)",C1_School closing,Turkey,TUR,12.941,percent of total labor force,2020.0
17,Environment,"Adjusted net savings, including particulate emission damage",C1_School closing,Turkey,TUR,12.1491291431677,percent of GNI,2018.0
18,Social issues ,Net migration,C1_School closing,Turkey,TUR,1419610.0,net total / data are 5 year estimates,2019.0
19,Environment,Electric power consumption ,C1_School closing,Turkey,TUR,2847.126382623182,kWh per capita,2014.0
21,Environment,CO2 emissions (metric tons per capita),C1_School closing,Turkey,TUR,4.669467,metric tons per capita,2016.0
22,Governance,Rule of law estimate ,C1_School closing,Turkey,TUR,-0.2829632,score,2019.0
23,Governance,Political stability and absence of violence/terrorism estimate,C1_School closing,Turkey,TUR,-1.342829,score,2019.0
24,Health,Prevalence of Hypertensive heart disease,C1_School closing,Turkey,TUR,0.003368,percent,2019.0
25,Social issues ,Gini index (World Bank estimate),C1_School closing,Turkey,TUR,41.9,index ,2018.0
26,Economics,"Central government debt, total",C1_School closing,Turkey,TUR,31.65334649503345,percent of GDP,2016.0
27,Governance,Aggregate score for the Political Rights category,C1_School closing,Turkey,TUR,16.0,score,2021.0
29,Governance,Personal Freedom Score ,C1_School closing,Turkey,TUR,5.92,score,2018.0
30,Demographics,Fixed telephone subscriptions,C1_School closing,Turkey,TUR,11532900.0,number,2019.0
31,Health,"Nurses and midwives (per 1,000 people)",C1_School closing,Turkey,TUR,2.7107,Ones,2017.0
32,Health,Prevalence of Respiratory infections and tuberculosis,C1_School closing,Turkey,TUR,0.233601,percent,2019.0
33,Governance,Economic Freedom Score,C1_School closing,Turkey,TUR,6.62,score,2018.0
34,Demographics,Mobile cellular subscriptions,C1_School closing,Turkey,TUR,96.8372,per 100 people,2019.0
35,Social issues ,Proportion of women in managerial positions (%),C1_School closing,Turkey,TUR,14.81,percent,2018.0
36,Health,Prevalence of Diabetes,C1_School closing,Turkey,TUR,0.063307,percent,2019.0
37,Economics,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",C1_School closing,Turkey,TUR,33.9339981,Percentage of females of the total population,2020.0
38,Health,Prevalence of Depressive disorders,C1_School closing,Turkey,TUR,0.045968,percent,2019.0
39,Environment,"PM2.5 air pollution, mean annual exposure",C1_School closing,Turkey,TUR,44.31153,micrograms per cubic meter,2017.0
40,Environment,CO2 emissions (kt),C1_School closing,Turkey,TUR,372724.9,kt,2016.0
41,Environment,"Electricity production from oil, gas and coal sources",C1_School closing,Turkey,TUR,67.84588762448287,percent of total,2015.0
42,Economics,Employment in services (% of total employment) (modeled ILO estimate),C1_School closing,Turkey,TUR,55.9059982,Percentage of total employment,2020.0
43,Social issues ,Proportion of seats held by women in national parliaments (%),C1_School closing,Turkey,TUR,17.31748727,proportion,2020.0
44,Social issues ,"Intentional homicides (per 100,000 people)",C1_School closing,Turkey,TUR,2.5904756723,"proportion, pero 100,000 people",2018.0
45,Environment,Energy use ,C1_School closing,Turkey,TUR,63.11241707922158,"(kg of oil equivalent) per $1,000 GDP (constant 2017 PPP)",2015.0
46,Economics,Volume of imports,C1_School closing,Turkey,TUR,7.8,percent change,2020.0
49,Health,"Incidence of tuberculosis (per 100,000 people)",C1_School closing,Turkey,TUR,16.0,Cases,2019.0
50,Health,"Immunization, measles (% of children ages 12-23 months)",C1_School closing,Turkey,TUR,97.0,percent,2019.0
51,Economics,Volume of exports,C1_School closing,Turkey,TUR,3.299,percent change,2020.0
52,Governance,Regulatory quality estimate,C1_School closing,Turkey,TUR,-0.0073169,score,2019.0
53,Health,Prevalence of obesity,C1_School closing,Turkey,TUR,32.1,percent,2016.0
55,Environment,Energy use (kg of oil equivalent per capita),C1_School closing,Turkey,TUR,1651.361453643437,kg of oil equivalent per capita,2015.0
56,Economics,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",C1_School closing,Turkey,TUR,52.7179985,Percentage of total population,2020.0
57,Governance,Aggregate score for the Civil Liberties category,C1_School closing,Turkey,TUR,16.0,score,2021.0
58,Environment,Electricity production from oil sources,C1_School closing,Turkey,TUR,0.8495586038818411,percent of total,2015.0
59,Environment,Fossil fuel energy consumption,C1_School closing,Turkey,TUR,86.84319,percent of total,2015.0
60,Governance,Government effectiveness estimate,C1_School closing,Turkey,TUR,0.048386,score,2019.0
62,Social issues ,Press freedom score,C1_School closing,Turkey,TUR,50.02,score,2020.0
63,Governance,Serious assault (rate),C1_School closing,Turkey,TUR,102.82,rate,2014.0
64,Environment,"PM2.5 air pollution, population exposed to levels exceeding WHO guideline value ",C1_School closing,Turkey,TUR,100.0,percent of total,2017.0
65,Governance,Voice and accountability estimate,C1_School closing,Turkey,TUR,-0.814703,score,2019.0
67,Environment,Access to electricity ,C1_School closing,Turkey,TUR,100.0,percent of population,2018.0
68,Environment,Combustible renewables and waste,C1_School closing,Turkey,TUR,2.262969,percent of total energy,2015.0
72,Health,"Physicians (per 1,000 people)",C1_School closing,Turkey,TUR,1.8492,Ones,2017.0
75,Governance,Fragile States Index Total ,C1_School closing,Turkey,TUR,79.14739400388918,score,2020.0
76,Health,Prevalence of chronic kidney disease,C1_School closing,Turkey,TUR,0.113174,percent,2019.0
77,Environment,"Electricity production from renewable sources, excluding hydroelectric",C1_School closing,Turkey,TUR,16511000000.0,kWh,2015.0
78,Governance,Total freedom in the world score ,C1_School closing,Turkey,TUR,32.0,score,2021.0
79,Environment,Electricity production from coal sources ,C1_School closing,Turkey,TUR,29.0950902083023,percent of total,2015.0
82,Environment,"Energy imports, net ",C1_School closing,Turkey,TUR,75.2078800411834,percent of energy use,2015.0
83,Governance,Human Development Index,C1_School closing,Turkey,TUR,0.82,index,2019.0
89,Environment,Electricity production from nuclear sources ,C1_School closing,Turkey,TUR,0.0,percent of total,2015.0
97,Governance,Control of corruption estimate,C1_School closing,Turkey,TUR,-0.2909701,score,2019.0
98,Economics,"Output per worker (GDP constant 2011 international $ in PPP -- ILO modelled estimates, Nov. 2019",C1_School closing,Turkey,TUR,73020.0,international $ in PPP,2020.0
102,Economics,Unemployment rate (%) - Annual,C1_School closing,Turkey,TUR,14.0,percent,2019.0
109,Governance,Human Freedom Score ,C1_School closing,Turkey,TUR,6.27,score,2018.0
114,Health,"Immunization, DPT (% of children ages 12-23 months)",C1_School closing,Turkey,TUR,99.0,percent,2019.0
